SMc02793,RL0001
ibpA,ibpA
pldB,RL4090
SMc04042,RL4091
SMc04043,RL4092
SMc04044,RL4093
ilvD2,ilvD1
SMc04046,RL0597
azu2,noHit
SMc04048,noHit
SMc04049,noHit
SMc04050,noHit
rpoE4,noHit
SMc04052,RL1303
SMc04053,RL1305
SMc04054,RL1306
SMc04055,RL3263
SMc04056,mocA
SMc04057,RL4110
SMc04058,RL4111
SMc04059,RL4112
glgP,glgP
glgB1,glgB1
glgC,glgC
glgA1,glgA
pgm,pgm
glgX1,glgX
nodN2,nodN2
SMc03928,noHit
SMc03929,pRL120506
soxG2,soxG1
soxA2,soxA1
soxD2,soxD1
soxB2,soxB1
rpsU2,rpsU2
SMc03935,RL4131
SMc03936,RL4133
cyaG1,cyaB
pntB,pntB1
pntAb,pntAB
pntAa,pntAA
SMc03941,RL4137
SMc03942,RL4139
SMc03943,RL4143
SMc04462,RL4144
pckR,RL4145
SMc02976,RL4146
SMc02977,RL4147
SMc02978,RL4148
SMc02979,RL4149
SMc02980,RL1488
SMc02981,RL4059
SMc02982,RL4155
SMc02983,RL4156
SMc02984,RL4157
SMc02985,RL4158
SMc02986,RL4159
SMc02987,noHit
SMc02988,noHit
SMc02989,noHit
SMc03151,RL4160
SMc03152,RL4161
eda2,eda
SMc03154,RL4163
SMc03155,RL4164
SMc03156,RL4166
metQ,pRL90303
metI,pRL90301
metN,pRL90302
SMc03160,abg
SMc03161,RL4170
SMc03162,RL4171
xylA,xylA
xylB,xylB
SMc03165,RL4178
SMc03166,noHit
SMc03167,RL4179
SMc03168,RL4180
SMc03169,RL4181
SMc03170,RL4182
SMc03171,RL4183
gltX,gltX
lysS,lysS
SMc03174,RL4188
SMc03175,RL2825
SMc03176,RL1293
SMc03177,lig
SMc03178,RL2605
phaA1,noHit
phaC1,noHit
phaD1,noHit
phaE1,noHit
phaF1,noHit
phaG1,noHit
SMc03185,noHit
SMc03186,RL1255
cobM,cobM
cobL,cobL
cobK,cobK
cobJ,cobJ
cobI,cobI
cobH,cobH
cobG,cobG
cobF,cobF
ung,ung
modA,RL4685
modB,RL4686
modC,RL4687
SMc03199,mopB
SMc03200,noHit
bkdAa,pRL100303
bkdAb,pRL100304
bkdB,pRL100305
lpdA3,lpdV
purU1,noHit
maiA,RL1866
SMc03207,RL1865
hmgA,hmgA
SMc03209,noHit
SMc03210,RL1862
SMc03211,RL1863
SMc03150,RL0075
SMc03149,noHit
SMc03148,RL0073
SMc03147,toaD
SMc03146,toaE
SMc03145,RL0070
SMc03144,noHit
SMc03143,pRL120542
SMc03142,noHit
SMc03141,noHit
SMc03140,noHit
SMc03139,noHit
SMc03138,noHit
SMc03137,noHit
SMc03136,noHit
SMc03135,noHit
SMc03134,noHit
SMc03133,noHit
SMc03132,noHit
SMc03131,noHit
SMc03130,noHit
SMc03129,pRL90114
SMc03128,pRL90227
SMc03127,pRL90228
SMc03126,pRL90229
SMc03125,pRL90230
SMc03124,pRL90231
SMc03123,pRL90109
SMc03122,pRL110388
SMc03121,pRL110400
SMc03120,pRL110401
SMc03119,pRL110402
SMc03118,pRL110403
SMc03117,pRL110404
SMc03116,pRL110405
TRm5C,noHit
TRm3,pRL70121
TRm5N,noHit
metH,metH
pmi,noHit
SMc03110,RL3365
mak,noHit
SMc03108,noHit
SMc03107,noHit
SMc03106,noHit
dxr,dxr
hemA,hemA1
SMc03103,noHit
SMc03102,noHit
SMc03101,noHit
SMc03100,RL4380
cyaF1,noHit
SMc03098,pRL110069
SMc03097,RL4381
SMc03096,RL4382
SMc03095,noHit
SMc03094,neo
SMc03093,noHit
SMc03092,RL4383
argI1,arcA
cheW3,cheW2
TRm11b,noHit
TRm11a,noHit
mcpY,mcpQ
fdsD,RL4389
fdsC,fdhD
fdsA,fdsA
fdsB,fdsB
fdsG,fdsG
SMc02523,RL4394
SMc02522,RL4396
glpR,pRL90073
glpD,glyD
SMc02519,pRL90075
SMc02518,pRL90076
SMc02517,pRL90077
SMc02516,pRL90078
SMc02515,pRL90079
SMc02514,pRL90080
SMc02513,noHit
SMc02512,noHit
SMc02511,RL0423
fur,mur
sitA,sitA
sitB,sitB
sitC,sitC
sitD,RL3887
SMc02505,noHit
SMc02504,noHit
SMc02503,RL0376
atpC,atpC
atpD,atpD
atpG,atpG
atpA,atpA
atpH,atpH
SMc02497,RL4411
priA,priA
tal,noHit
SMc02494,noHit
SMc02493,noHit
SMc02492,noHit
SMc02491,pRL90121
SMc02490,RL4425
SMc02489,xerC
SMc02488,RL4427
lpdA2,lpdA
SMc02486,RL4430
SMc02485,RL4431
SMc02484,RL3047
sucB,citM
sucA,sucA
sucD,sucD
sucC,sucC
mdh,mdh
SMc02478,RL4440
SMc02477,noHit
SMc02476,noHit
SMc02475,RL4441
SMc02474,RL2328
SMc02473,RL2327
SMc02472,RL2326
SMc02471,RL2325
SMc02470,RL2324
SMc02469,RL2323
SMc02468,RL2322
msrA2,noHit
sdhB,sdhB
sdhA,sdhA
sdhD,sdhD
sdhC,sdhC
SMc03225,noHit
SMc03226,RL4490
SMc03227,RL4491
SMc03228,RL4492
gpsA,gpsA
gcp,gcp
hemC,hemC
hemD,RL4496
SMc03233,RL4497
SMc03234,RL4498
SMc03235,RL4499
SMc03236,RL4500
SMc03237,RL4501
SMc03238,RL4502
ppa,ppa
SMc03240,noHit
SMc03241,RL4505
typA,typA
SMc03243,noHit
SMc03244,RL3670
SMc03245,noHit
SMc03746,RL3398
SMc03747,noHit
SMc03748,RL1103
TRm11b,noHit
TRm11a,noHit
SMc03246,noHit
SMc03247,noHit
SMc03248,pRL70168
SMc03249,pRL70169
SMc03751,pRL100125
SMc03250,pRL100126
SMc03251,noHit
proB2,noHit
SMc03253,noHit
fixT3,noHit
SMc03256,noHit
TRm18,noHit
SMc03258,noHit
SMc03259,pRL100268
TRm17,RL4151
SMc03262,noHit
SMc03263,noHit
SMc03264,noHit
SMc03265,RL0477
SMc03267,noHit
SMc03268,pRL110459
SMc03269,noHit
SMc03754,pRL110455
SMc03272,pRL110456
SMc03277,noHit
TRm28.1,pRL70042
TRm28.2,noHit
ISRm28.3,noHit
TRm27.2,pRL70036
TRm27.1,noHit
TRm18,noHit
SMc03284,noHit
SMc03285,noHit
SMc03286,noHit
SMc03287,noHit
SMc03288,noHit
SMc03289,noHit
SMc03290,noHit
SMc04428,noHit
SMc03293,noHit
SMc03294,noHit
TRm1a,noHit
TRm1b,noHit
SMc03297,noHit
TRm26.3,tnpC
TRm26.2,pRL70047B
TRm26.1,pRL70047A
SMc03761,noHit
SMc03762,noHit
SMc03763,noHit
vsr,noHit
SMc03765,noHit
SMc03766,noHit
aslB,noHit
SMc03768,noHit
SMc03769,noHit
rplU,rplU
rpmA,rpmA
SMc03773,RL4678
SMc03774,RL4679
cgtA,RL4681
proB1,proB
proA,proA
nadD,nadD
SMc03780,RL4689
SMc03781,RL4690
SMc03782,RL4691
ctpA,ctpA
SMc03784,RL4693
ialA,RL4694
bfr,bfr
SMc03787,RL4696
dnaE2,dnaE1
imuB,RL4698
SMc03790,RL4699
SMc03791,RL4700
SMc03792,RL4701
citE,citE
SMc03794,RL4703
leuD,leuD
SMc03796,noHit
metA,metA
galM,galM
SMc03799,noHit
SMc03800,RL4572
SMc03801,RL4571
SMc03802,RL4570
SMc03803,RL4569
ubiH,ubiF
tesB,tesB
glnK,glnK
amtB,amtB
ftsK,RL4563
SMc03809,RL4562
SMc03810,pRL120032
SMc03811,pRL120031
SMc03812,pRL120030
SMc03813,noHit
SMc03814,noHit
SMc03815,noHit
SMc03816,RL0641
SMc03817,noHit
xthA3,xthA
SMc03819,RL4560
SMc03820,RL4559
SMc03821,RL4558
SMc03822,noHit
leuC,RL4555
SMc03824,noHit
SMc03825,pRL110018
argG,argG
SMc03827,RL4517
SMc03828,RL4519
SMc03829,RL4520
SMc03830,RL4521
SMc03831,RL4522
SMc03832,RL4523
SMc03833,RL4525
pcbD,RL4526
ligT,RL4528
SMc03836,RL4529
SMc03837,RL4530
SMc03838,RL4531
SMc03839,RL4532
SMc03840,RL4533
clpP3,clpP2
SMc03842,RL1169
SMc03843,RL1168
SMc03844,RL4534
SMc03845,RL4535
acnA,acnA
ccmA,ccmA
ccmB,ccmB
ccmC,cycZ
ccmD,noHit
ccmG,cycY
SMc03852,RL4541
ispZ,ispZ
ftsY,ftsY
SMc03855,RL4544
dapF,dapF
ffh,ffh
pheAa,RL4548
rpsP,RL4549
rimM,rimM
trmD,trmD
SMc03862,pRL110191
rplS,RL4552
SMc03864,RL4553
SMc03865,RL4554
SMc03866,RL4609
SMc03867,RL4610
SMc03868,pRL110512
thiB,noHit
thiP,noHit
thiQ,noHit
SMc03872,RL4613
rpoH2,RL4614
SMc03874,RL4615
SMc03875,fdxA
SMc03876,hslR
SMc03877,RL4618
phbB,phaB
phbA,phaA
SMc03880,aniA
rpmF,rpmF
gst8,RL4625
mtgA,mtgA
ispA,ispA
hisC2,hisC2
TRm21,noHit
SMc03887,RL3247A
ispG,RL4630
SMc03889,RL4631
SMc03890,RL4632
SMc03891,RL4634
TRm21,noHit
SMc03893,RL4635
SMc03894,RL4636
pyc,RL4638
SMc03896,expR
TRm1b,noHit
TRm1a,noHit
SMc03899,noHit
ndvA,ndvA
SMc03901,noHit
opgC,RL4643
ndvB,ndvB
SMc04882,RL4588
SMc04383,RL4587
SMc04384,noHit
SMc04385,pcd
aatB,noHit
SMc04387,pRL120420
SMc04388,opaA
ttuD1,RL2008
SMc04390,RL1829
SMc04391,noHit
SMc04392,RL1828
SMc04393,RL4249
SMc04394,RL4250
SMc04395,RL1825
SMc04396,RL1824
SMc04397,RL1823
SMc04398,RL1822
SMc04399,RL1821
afr,noHit
SMc04401,RL1820
SMc04402,noHit
dcp,dcp
SMc04404,RL4509
leuB,leuB
SMc04406,RL4708
SMc04407,RL4709
SMc04881,pRL120363
SMc04408,pRL120364
SMc04409,noHit
asd,asd
SMc04411,RL4716
cynT,cynT
pdxK,pdxK
SMc04085,gdhB
SMc04087,RL4721
purH,purH
SMc04089,RL4723
sun,rsmB
htpX,RL4725
SMc04092,RL4726
acsA1,acs
SMc04094,RL4728
SMc04095,prpE
SMc02812,RL4731
leuS,leuS
SMc02803,RL4733
SMc02802,RL4734
parB,parB
parA,parA1
gidB,gidB
gidA,gidA2
thdF,trmE
rho,rho
SMc02795,RL4741
hemE,hemE
lacE,pRL90286
lacF,pRL90285
lacG,noHit
lacZ1,lacZ
lacK1,pRL90283
SM_b20003,proC2
gstR,noHit
gst15,gstA1
SM_b20006,RL1426
katC,katE
SM_b20008,noHit
SM_b20009,RL0361
SM_b20010,noHit
SM_b20011,noHit
SM_b20012,noHit
SM_b20013,noHit
SM_b20014,noHit
SM_b20015,RL1999
SM_b20016,pRL100417
SM_b20017,noHit
SM_b20018,noHit
sucB,noHit
pdh,noHit
SM_b20021,noHit
SM_b20022,RL3034
SM_b20023,hyuA1
SM_b20024,rluB
SM_b20025,RL3891
SM_b20026,RL3890
SM_b20027,RL3889
SM_b20028,noHit
SM_b20029,noHit
rpoE9,pRL110418
SM_b20031,noHit
SM_b20032,noHit
SM_b20033,noHit
SM_b20034,noHit
SM_b20035,noHit
SM_b20036,noHit
aroE2,noHit
SM_b20038,noHit
SM_b20039,RL3118
SM_b20040,RL3117
SM_b20041,pRL120766
SM_b20042,pRL110004
SM_b20043,noHit
repC1,noHit
repB1,repBp12
repA1,repAp12
SM_b20047,noHit
SM_b20048,pRL110208
fusA2,noHit
SM_b20050,noHit
cpo,noHit
SM_b20055,noHit
btuF,RL3052
btuC,RL3051
btuD,RL3050
SM_b20059,noHit
TRm5,noHit
SM_b20061,noHit
SM_b20062,noHit
SM_b20063,noHit
SM_b20064,noHit
SM_b20065,noHit
SM_b20066,noHit
SM_b20067,noHit
SM_b20068,noHit
SM_b20069,noHit
SM_b20070,RL2944
SM_b20071,pRL120167
SM_b20072,noHit
SM_b20073,pRL110421
SM_b20074,noHit
SM_b20075,noHit
SM_b20076,noHit
SM_b20077,noHit
SM_b20078,noHit
SM_b20079,RL0790
SM_b20080,fdhA
SM_b20081,noHit
SM_b20082,noHit
SM_b20083,noHit
SM_b20084,RL4195
SM_b20085,noHit
SM_b20086,noHit
SM_b20087,noHit
SM_b20088,noHit
SM_b20089,pRL120717
SM_b20090,noHit
SM_b20091,noHit
SM_b20092,pRL120737
SM_b20093,pRL120738
SM_b20094,pRL120739
SM_b20095,noHit
SM_b20096,noHit
SM_b20097,noHit
SM_b20098,noHit
SM_b20099,noHit
SM_b20100,noHit
SM_b20101,pRL90166
acoR,noHit
SM_b20103,noHit
SM_b20104,noHit
SM_b20105,pRL120239
SM_b20106,noHit
SM_b20107,noHit
SM_b20108,noHit
SM_b20109,noHit
SM_b20110,noHit
SM_b20111,noHit
SM_b20112,pRL120244
SM_b20113,noHit
SM_b20114,pRL120236
ilvD4,ilvD
SM_b20116,noHit
SM_b20117,noHit
SM_b20118,RL0350
SM_b20119,noHit
SM_b20121,kluA
SM_b20122,noHit
SM_b20123,noHit
SM_b20124,noHit
SM_b20125,noHit
SM_b20126,noHit
SM_b20127,noHit
SM_b20128,pRL120308
SM_b20129,noHit
SM_b20130,noHit
SM_b20131,cutC
SM_b20132,coxL
SM_b20133,noHit
SM_b20134,noHit
SM_b20135,RL4462
SM_b20136,noHit
SM_b20137,noHit
SM_b20138,noHit
SM_b20139,noHit
dapA2,noHit
SM_b20141,pRL120241
SM_b20142,pRL120242
SM_b20143,pRL120243
SM_b20144,pRL120232
SM_b20145,pRL90099
pdxA2,pdxA2
SM_b20147,pRL90098
SM_b20148,pRL90107
SM_b20149,pRL90106
SM_b20150,pRL90264
SM_b20151,noHit
SM_b20152,noHit
SM_b20153,noHit
SM_b20154,pRL90265
SM_b20155,noHit
SM_b20156,noHit
SM_b20157,noHit
SM_b20158,noHit
SM_b20159,noHit
SM_b20160,noHit
SM_b20161,noHit
SM_b20162,noHit
SM_b20163,noHit
SM_b20164,noHit
SM_b20165,noHit
SM_b20166,noHit
SM_b20167,noHit
SM_b20168,noHit
SM_b20169,noHit
fdh,noHit
SM_b20171,noHit
SM_b20172,noHit
SM_b20173,noHit
SM_b20174,noHit
SM_b20175,noHit
SM_b20176,noHit
SM_b20177,noHit
SM_b20178,noHit
SM_b20179,noHit
SM_b20180,noHit
SM_b20181,noHit
SM_b20182,noHit
SM_b20183,noHit
SM_b20184,noHit
SM_b20185,noHit
SM_b20186,gfA
SM_b20194,noHit
ppe,noHit
cbbX,noHit
cbbS,noHit
cbbL,noHit
cbbA,pRL120196
cbbT,noHit
cbbP,noHit
cbbF,noHit
cbbR,noHit
pqqA,noHit
pqqB,noHit
pqqC,noHit
pqqD,noHit
pqqE,noHit
SM_b20209,noHit
SM_b20210,RL1854
SM_b20211,RL1424
SM_b20212,RL1856
SM_b20213,RL2741
SM_b20214,RL4052
SM_b20215,RL4053
SM_b20216,RL2740
SM_b20217,RL3154
SM_b20218,RL2738
SM_b20219,RL2739
SM_b20221,RL2455
SM_b20222,RL3113
smc22-1,noHit
SM_b20226,noHit
ndiA-1,noHit
ndiA-2,noHit
ndiB,noHit
smc22-r,noHit
SM_b20231,noHit
SM_b20232,noHit
SM_b20233,pRL120681
SM_b20234,noHit
SM_b20235,noHit
SM_b20236,noHit
SM_b20238,noHit
rmlB,noHit
SM_b20240,noHit
SM_b20241,noHit
SM_b20242,noHit
SM_b20243,noHit
tyv,noHit
SM_b20245,noHit
SM_b20246,noHit
SM_b20247,noHit
SM_b20248,noHit
SM_b20249,noHit
SM_b20250,gpmB1
SM_b20251,noHit
SM_b20252,noHit
SM_b20253,noHit
SM_b20254,noHit
SM_b20255,RL2689
SM_b20256,RL3152
cyaM,RL3149
SM_b20258,pRL100269
SM_b20259,noHit
SM_b20260,RL1805
SM_b20261,noHit
SM_b20262,pRL120235
SM_b20263,noHit
SM_b20264,noHit
SM_b20265,noHit
SM_b20266,noHit
SM_b20267,noHit
SM_b20268,pRL120535
SM_b20269,pRL120183
SM_b20270,prdF
SM_b20271,noHit
SM_b20272,pRL110299
SM_b20273,noHit
SM_b20274,noHit
SM_b20275,noHit
SM_b20276,noHit
SM_b20277,noHit
SM_b20278,RL1038
SM_b20279,RL1039
SM_b20280,RL1041
SM_b20281,noHit
SM_b20282,noHit
SM_b20283,noHit
SM_b20284,noHit
SM_b20285,RL1040
SM_b20286,noHit
SM_b20287,noHit
SM_b20288,noHit
SM_b20289,noHit
SM_b20290,noHit
SM_b20291,noHit
SM_b20292,noHit
SM_b20293,noHit
SM_b20294,noHit
SM_b20295,noHit
SM_b20296,noHit
SM_b20297,noHit
SM_b20298,pRL120331
nanA,noHit
cyaF7,RL0458
SM_b20301,noHit
SM_b20302,noHit
SM_b20303,noHit
TRm2011-2C,noHit
TRm2011-2,noHit
TRm2011-2N,noHit
SM_b20307,dhaL4
SM_b20312,RL1751
SM_b20313,dhaL3
SM_b20314,dhaK3
SM_b20315,noHit
SM_b20316,noHit
SM_b20317,noHit
SM_b20318,noHit
SM_b20319,RL4264
SM_b20320,noHit
SM_b20321,noHit
SM_b20322,noHit
SM_b20323,noHit
thuR,noHit
thuE,thuE
thuF,thuF
thuG,thuG
thuK,thuK
thuA,RL3686
thuB,RL3685
SM_b20331,noHit
SM_b20332,noHit
betT,noHit
SM_b20334,RL2266
SM_b20335,RL1919
SM_b20336,RL2259
SM_b20337,pRL120296
SM_b20338,pRL120295
SM_b20339,noHit
SM_b20340,noHit
SM_b20341,noHit
SM_b20342,iorB
SM_b20343,iorA
SM_b20344,noHit
SM_b20345,RL4223
SM_b20346,RL4224
SM_b20347,RL4225
SM_b20348,pRL120394
SM_b20349,pRL120393
SM_b20350,pRL120392
SM_b20351,pRL120391
SM_b20352,pRL120390
SM_b20353,pRL120389
SM_b20354,pRL120388
SM_b20355,noHit
SM_b20356,noHit
SM_b20357,noHit
cyaL,noHit
SM_b20359,noHit
SM_b20360,noHit
SM_b20361,RL2301
SM_b20362,noHit
SM_b20363,noHit
SM_b20364,noHit
SM_b20365,noHit
SM_b20366,pRL110031
SM_b20367,noHit
SM_b20368,noHit
SM_b20369,noHit
SM_b20370,RL3029
SM_b20371,noHit
SM_b20372,noHit
SM_b20373,noHit
SM_b20374,noHit
SM_b20375,noHit
SM_b20376,noHit
SM_b20377,noHit
SM_b20378,pRL110161
SM_b20379,noHit
SM_b20380,noHit
SM_b20381,noHit
SM_b20382,noHit
SM_b20383,noHit
SM_b20384,noHit
SM_b20385,noHit
SM_b20386,noHit
SM_b20387,noHit
SM_b20388,noHit
SM_b20389,RL2657
SM_b20390,noHit
SM_b20391,celA
SM_b20392,pRL120397
rbcL,cbbl1
SM_b20394,pRL120395
SM_b20395,noHit
SM_b20396,noHit
SM_b20397,noHit
SM_b20398,noHit
SM_b20399,noHit
SM_b20400,noHit
SM_b20401,noHit
SM_b20402,noHit
SM_b20403,noHit
SM_b20404,noHit
SM_b20405,noHit
hyuA,noHit
hyuB,noHit
SM_b20408,noHit
SM_b20409,noHit
SM_b20410,noHit
SM_b20411,noHit
SM_b20412,noHit
SM_b20413,noHit
SM_b20414,RL3241
SM_b20415,RL3240
ugpB,pRL120011
ugpA,pRL120012
ugpE,pRL120013
ugpC,pRL120014
SM_b20420,noHit
TRm21,noHit
SM_b20422,pRL120042
SM_b20423,opaC
SM_b20424,gabD6
SM_b20425,pRL120045
SM_b20426,pRL120046
ehuA,pRL120047
ehuB,pRL120048
ehuC,pRL120049
ehuD,pRL120050
EutA,pRL120051
eutB,tdcB2
eutC,arcB3
eutD,pRL120054
eutE,pRL120055
SM_b20436,narK
SM_b20441,pRL120399
SM_b20442,pRL120400
SM_b20443,dctQ
SM_b20444,dctM
SM_b20445,pRL120403
uxuA,uxuA
SM_b20447,RL3088
SM_b20448,RL3089
SM_b20449,RL3090
SM_b20450,RL3091
SM_b20451,RL3092
SM_b20452,RL3093
SM_b20453,RL4240
SM_b20454,noHit
SM_b20455,RL0480
SM_b20456,RL4027
SM_b20457,RL0561
SM_b20458,RL0560
SM_b20459,RL0559
SM_b20460,RL0558
SM_b20461,noHit
SM_b20462,RL0081
SM_b20463,RL0556
SM_b20464,noHit
SM_b20465,pRL100467
SM_b20466,noHit
SM_b20467,noHit
SM_b20468,noHit
SM_b20469,noHit
SM_b20470,noHit
SM_b20471,noHit
SM_b20472,noHit
SM_b20473,noHit
SM_b20474,noHit
SM_b20475,RL2996
SM_b20476,noHit
SM_b20477,noHit
SM_b20478,noHit
SM_b20479,noHit
SM_b20480,noHit
asnO,noHit
SM_b20482,noHit
SM_b20483,pRL120189
SM_b20484,pRL120191
SM_b20485,pRL120192
SM_b20486,pRL120193
SM_b20487,pRL120194
SM_b20488,pRL120195
SM_b20489,noHit
fucA2,noHit
SM_b20491,pRL100367
SM_b20492,RL3778
SM_b20493,RL3779
SM_b20494,RL3780
SM_b20495,noHit
SM_b20496,pRL120764
lyx,pRL120763
SM_b20498,pRL120762
SM_b20499,pRL120761
SM_b20500,pRL120760
SM_b20501,pRL120759
SM_b20502,pRL120758
SM_b20503,pRL120757
SM_b20504,pRL120756
tfxG,pRL120705
SM_b20506,RL4229
SM_b20507,RL4230
SM_b20508,RL4231
SM_b20509,RL4232
dgoA,RL4233
SM_b20511,RL4227
SM_b20513,noHit
SM_b20514,noHit
SM_b20515,noHit
SM_b20516,noHit
SM_b20517,noHit
SM_b20518,noHit
SM_b20519,noHit
SM_b20520,noHit
SM_b20521,noHit
SM_b20522,RL0506
SM_b20523,noHit
SM_b20525,noHit
SM_b20527,noHit
SM_b20528,noHit
SM_b20529,noHit
SM_b20530,noHit
rpoE7,RL3020
SM_b20532,noHit
SM_b20533,noHit
SM_b20534,noHit
SM_b20535,RL0085
SM_b20536,RL0084
SM_b20537,RL0083
SM_b20538,RL0082
cyaF6,noHit
SM_b20540,noHit
SM_b20541,noHit
SM_b20542,RL2136
SM_b20544,noHit
SM_b20543,noHit
SM_b20545,noHit
SM_b20546,noHit
SM_b20547,noHit
SM_b20548,noHit
SM_b20549,noHit
SM_b20550,pRL110586
SM_b20551,noHit
SM_b20552,noHit
SM_b20553,noHit
SM_b20554,noHit
SM_b20555,noHit
SM_b20556,noHit
SM_b20557,noHit
SM_b20558,noHit
SM_b20559,pRL110333
SM_b20560,noHit
SM_b20561,noHit
SM_b20562,noHit
SM_b20563,noHit
kdsB2,lpcB
SM_b20804,noHit
SM_b20805,noHit
SM_b20806,noHit
SM_b20807,noHit
SM_b20808,noHit
kpsF1,noHit
SM_b20810,noHit
SM_b20811,noHit
SM_b20812,noHit
SM_b20813,noHit
SM_b20814,noHit
SM_b20815,noHit
SM_b20816,noHit
SM_b20817,pRL110623
mocD,pRL110622
mocE,pRL110621
mocF,pRL110620
SM_b20821,pRL110619
rkpT2,noHit
rkpZ2,noHit
SM_b20824,noHit
SM_b20825,noHit
SM_b20826,noHit
SM_b20827,noHit
SM_b20828,noHit
SM_b21663,noHit
SM_b21664,noHit
SM_b21665,noHit
SM_b20829,noHit
kpsF2,kdsD
rkpR,noHit
kpsT,noHit
kpsM,noHit
rkpZ1,noHit
SM_b20835,RL0771
SM_b20836,noHit
SM_b20837,noHit
SM_b20838,noHit
SM_b20839,noHit
SM_b20840,noHit
SM_b20841,noHit
SM_b20842,noHit
algI,noHit
SM_b21013,noHit
SM_b21014,noHit
SM_b21015,noHit
SM_b21016,noHit
SM_b21017,noHit
SM_b21018,noHit
SM_b21019,noHit
SM_b21021,noHit
SM_b21022,noHit
SM_b21023,noHit
SM_b21024,noHit
SM_b21025,noHit
SM_b21026,noHit
SM_b21027,noHit
SM_b21028,noHit
SM_b21029,noHit
SM_b21030,noHit
SM_b21031,noHit
SM_b21032,noHit
SM_b21034,noHit
SM_b21035,RL0683
SM_b21036,noHit
SM_b21037,pRL120333
SM_b21038,pRL120336
SM_b21039,pRL120337
SM_b21040,noHit
SM_b21041,noHit
pepT,pepT
SM_b21043,noHit
SM_b21044,noHit
SM_b21695,noHit
SM_b21698,noHit
exoI2,pRL110266
SM_b21696,noHit
SM_b21697,noHit
TRm10-1a,noHit
TRm10-1b-1,noHit
SM_b21045,noHit
TRm10-1b-2,noHit
SM_b21047,noHit
SM_b21048,noHit
SM_b21049,noHit
wzx1,noHit
SM_b21051,noHit
SM_b21052,noHit
SM_b21053,noHit
SM_b21054,noHit
SM_b21055,noHit
SM_b21056,noHit
SM_b21057,noHit
SM_b21058,noHit
SM_b21059,noHit
SM_b21060,noHit
SM_b21061,noHit
SM_b21062,noHit
SM_b21063,noHit
SM_b21064,noHit
SM_b21065,noHit
SM_b21066,noHit
SM_b21067,noHit
SM_b21068,noHit
SM_b21069,noHit
exoP2,noHit
SM_b21071,exoY
SM_b21072,noHit
exoF2,noHit
SM_b21074,RL3822
SM_b21075,RL3817
SM_b21076,noHit
SM_b21077,noHit
SM_b21078,noHit
SM_b21079,noHit
SM_b21080,pRL90149
manB,noHit
manC/manA,noHit
SM_b21083,noHit
SM_b21084,noHit
SM_b21085,noHit
SM_b21086,noHit
traA2,traAch
SM_b21088,noHit
SM_b21089,noHit
SM_b21090,noHit
lysM,RL2574
SM_b21092,noHit
SM_b21093,noHit
argH2,noHit
SM_b21095,noHit
SM_b21096,noHit
SM_b21097,noHit
SM_b21098,noHit
SM_b21099,noHit
SM_b21100,noHit
SM_b21101,pRL110601
SM_b21102,pRL110600
SM_b21103,noHit
SM_b21104,noHit
SM_b21105,RL3860
SM_b21106,noHit
manR,pRL120237
SM_b21108,noHit
SM_b21109,noHit
SM_b21110,pRL100293
SM_b21111,pRL110599
hpaG,RL0016
SM_b21113,pRL110598
nrtA,RL1993
SM_b21115,nasT
SM_b21116,RL3636
SM_b21117,noHit
gntK,idnK1
SM_b21120,noHit
ivdH,ivdH
mccA,mccc2
SM_b21123,noHit
mccB,mccc1
hmgL,noHit
eccH2,noHit
SM_b21127,noHit
SM_b21128,noHit
SM_b21129,pRL120180
cysA2,pRL110371
cysP2,pRL110372
SM_b21132,pRL110373
SM_b21133,pRL110374
SM_b21134,pRL110498
SM_b21135,pRL120071
SM_b21136,pRL120072
SM_b21137,pRL120073
SM_b21138,pRL120074
SM_b21139,noHit
SM_b21140,pRL100414
SM_b21216,RL3814
SM_b21217,RL3813
SM_b21218,RL3812
SM_b21219,RL3811
SM_b21220,RL3810
SM_b21221,RL3809
SM_b21222,RL3808
nodP2,noHit
nodQ2,noHit
SM_b21225,noHit
SM_b21226,noHit
SM_b21227,noHit
SM_b21228,noHit
SM_b21229,noHit
SM_b21230,noHit
SM_b21231,noHit
SM_b21232,noHit
TRm1b,noHit
TRm1a,noHit
SM_b21235,noHit
SM_b21236,noHit
SM_b21237,noHit
SM_b21238,noHit
SM_b21239,noHit
SM_b21240,noHit
SM_b21241,noHit
SM_b21242,noHit
SM_b21243,noHit
SM_b21244,noHit
exoF3,noHit
SM_b21246,noHit
SM_b21247,noHit
SM_b21248,RL0822
SM_b21249,noHit
SM_b21250,noHit
SM_b21251,noHit
SM_b21252,pRL110067
SM_b21253,pRL110068
SM_b21254,pRL110071
SM_b21255,pRL110058
SM_b21256,pRL110056
SM_b21257,pRL110055
SM_b21258,noHit
SM_b21259,noHit
SM_b21260,pRL110054
SM_b21261,pRL110053
SM_b21262,pRL110052
SM_b21263,pRL110051
redA,pRL110050
redB,pRL110049
SM_b21266,pRL110048
SM_b21267,noHit
SM_b21268,noHit
SM_b21269,pRL110047
SM_b21270,pRL110046
SM_b21271,noHit
SM_b21272,RL3877
SM_b21273,RL3878
SM_b21274,RL3879
SM_b21275,RL3880
SM_b21277,iunH2
adeC2,ade3
SM_b21279,hipO
SM_b21280,RL3870
SM_b21281,noHit
SM_b21283,noHit
SM_b21284,noHit
SM_b21285,noHit
xdhA1,noHit
