SMc02793,mlr4488
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,mlr2824
SMc00658,noHit
SMc00657,msl2821
SMc00656,msl3681
SMc00655,mlr2817
ctrA,mll2816
SMc00653,mlr2815
chpT,mlr2813
SMc00651,mll2811
SMc00650,mll2809
SMc00649,mlr2808
SMc00648,mll3738
rluD,mlr3740
rpoH1,mlr3741
SMc00644,noHit
purA,mll3873
SMc00642,mlr3874
serA,mll3875
serC,mll3876
SMc00639,noHit
SMc00638,mll3878
glmM,mll3879
ftsH,mll3882
SMc02940,mll3884
SMc02941,mll3886
pal,mll3887
tolB,mll3888
tolA,mll3889
tolR,mll3890
tolQ,mll3891
SMc03959,mll4606
SMc03960,mll3892
sqdB,noHit
sqdD,noHit
sqdC,noHit
SMc03964,mll3894
ruvB,mll3895
ruvA,mll3898
ruvC,mll3901
SMc03968,noHit
SMc03969,mll3945
SMc03970,noHit
mexF2,mlr3285
mexE2,mlr3284
SMc03973,mll3953
SMc03974,mll3954
SMc03975,mll3515
SMc03976,mll3746
SMc03977,msl3747
tkt2,mlr3749
gap,mlr3750
SMc03980,mlr0268
pgk,mlr3753
TRm5,noHit
fbaB,mlr3754
SMc03984,noHit
cyaF2,noHit
SMc03986,noHit
SMc03987,mlr3769
SMc03988,msr3768
SMc03989,mll3903
rpmE,msr3935
SMc03991,mll3934
SMc03992,mlr3926
SMc03993,mlr3925
suhB,mlr3921
SMc03995,mlr3914
thiE2,mlr3913
SMc03997,mll3907
SMc03998,msr3770
SMc03999,msl3793
SMc04000,msr3794
purE,mlr3809
purK,mlr3811
rpmJ,msr3814
SMc04004,mlr3815
pykA,mll3819
SMc04006,mll3821
SMc04007,mlr3822
SMc04008,mlr3823
SMc04009,mll3968
SMc04010,mll2999
tacA,mll3001
pepF,mlr3002
pabB,mlr3005
SMc04014,mlr3007
SMc04015,noHit
hss,mlr3014
omp10,mlr3016
SMc04018,noHit
hemH,mlr3019
SMc04020,mlr3021
SMc04021,mlr3022
SMc04022,mlr3024
exoN2,mll3025
SMc04024,mlr3027
SMc04025,mlr3028
gltD,mll3029
gltB,mll3030
SMc04029,mlr3032
SMc04030,mlr6784
pip2,mll0601
SMc04032,noHit
pip3,noHit
SMc04034,noHit
SMc04035,noHit
SMc04036,noHit
SMc04037,noHit
TRm17N,noHit
TRm17C,noHit
ibpA,mll3033
pldB,mlr3034
SMc04042,mll3039
SMc04043,mll3040
SMc04044,mlr3041
ilvD2,mlr5361
SMc04046,msr3371
azu2,noHit
SMc04048,noHit
SMc04049,noHit
SMc04050,noHit
rpoE4,noHit
SMc04052,mlr2509
SMc04053,noHit
SMc04054,mlr1649
SMc04055,mll4082
SMc04056,mlr4087
SMc04057,mll2876
SMc04058,mll2875
SMc04059,noHit
glgP,mlr7586
glgB1,mlr7587
glgC,mlr7588
glgA1,mlr7589
pgm,mlr7590
glgX1,mlr7591
nodN2,mlr3097
SMc03928,noHit
SMc03929,noHit
soxG2,mll3107
soxA2,mll3108
soxD2,msl3109
soxB2,mll3111
rpsU2,noHit
SMc03935,mlr3120
SMc03936,noHit
cyaG1,noHit
pntB,mlr5184
pntAb,mlr5183
pntAa,mlr5181
SMc03941,noHit
SMc03942,mlr5176
SMc03943,mll5165
SMc04462,mlr5162
pckR,mlr5161
SMc02976,mlr5157
SMc02977,mlr1298
SMc02978,mll5156
SMc02979,mll5154
SMc02980,noHit
SMc02981,noHit
SMc02982,mll2972
SMc02983,mll2974
SMc02984,mlr2977
SMc02985,mlr2979
SMc02986,mlr2980
SMc02987,mll9357
SMc02988,noHit
SMc02989,msl2982
SMc03151,mll2986
SMc03152,mll2991
eda2,mlr2994
SMc03154,mll4592
SMc03155,mll4591
SMc03156,mll2992
metQ,mll4794
metI,mll4791
metN,mll4792
SMc03160,noHit
SMc03161,mll3361
SMc03162,mll3362
xylA,mlr5036
xylB,mlr5033
SMc03165,mll7360
SMc03166,mlr8178
SMc03167,mlr4819
SMc03168,mlr4818
SMc03169,mll4816
SMc03170,mll8212
SMc03171,mll3952
gltX,mlr0628
lysS,noHit
SMc03174,noHit
SMc03175,noHit
SMc03176,mll5484
SMc03177,mll5481
SMc03178,mlr2027
phaA1,noHit
phaC1,noHit
phaD1,noHit
phaE1,noHit
phaF1,noHit
phaG1,noHit
SMc03185,mll7814
SMc03186,mlr7815
cobM,mlr1385
cobL,mlr1383
cobK,mll1382
cobJ,mlr1381
cobI,mlr1380
cobH,mlr1379
cobG,mlr1378
cobF,mlr1461
ung,noHit
modA,mll1465
modB,mll1464
modC,mll1463
SMc03199,mll1462
SMc03200,mlr9020
bkdAa,mll4473
bkdAb,mll4472
bkdB,mll4471
lpdA3,mll4470
purU1,noHit
maiA,mlr1135
SMc03207,mlr8306
hmgA,mlr8303
SMc03209,mll8302
SMc03210,mlr8310
SMc03211,mll8309
SMc03150,noHit
SMc03149,noHit
SMc03148,noHit
SMc03147,mll2583
SMc03146,mll2582
SMc03145,noHit
SMc03144,noHit
SMc03143,mlr2298
SMc03142,noHit
SMc03141,noHit
SMc03140,noHit
SMc03139,noHit
SMc03138,noHit
SMc03137,noHit
SMc03136,noHit
SMc03135,noHit
SMc03134,mlr5305
SMc03133,noHit
SMc03132,noHit
SMc03131,noHit
SMc03130,noHit
SMc03129,noHit
SMc03128,mlr9273
SMc03127,mll9144
SMc03126,mlr5895
SMc03125,mlr9270
SMc03124,mlr9267
SMc03123,mll3605
SMc03122,noHit
SMc03121,noHit
SMc03120,noHit
SMc03119,mll4885
SMc03118,mll4888
SMc03117,mll4887
SMc03116,noHit
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
metH,noHit
pmi,noHit
SMc03110,mlr5144
mak,mlr7234
SMc03108,noHit
SMc03107,noHit
SMc03106,noHit
dxr,noHit
hemA,mll5695
SMc03103,mll1127
SMc03102,mll1128
SMc03101,mll1129
SMc03100,mll9560
cyaF1,noHit
SMc03098,noHit
SMc03097,mll1662
SMc03096,noHit
SMc03095,noHit
SMc03094,mlr2696
SMc03093,noHit
SMc03092,mlr6779
argI1,mll6778
cheW3,noHit
TRm11b,noHit
TRm11a,mll6383
mcpY,noHit
fdsD,mll5393
fdsC,mll5395
fdsA,mll5396
fdsB,mll5397
fdsG,mll5398
SMc02523,mll5399
SMc02522,mlr2780
glpR,mll0711
glpD,mll0710
SMc02519,mll0708
SMc02518,mll0706
SMc02517,mll0705
SMc02516,mll0704
SMc02515,msl0703
SMc02514,mll0702
SMc02513,noHit
SMc02512,noHit
SMc02511,mlr5337
fur,noHit
sitA,mll8313
sitB,mll8315
sitC,noHit
sitD,noHit
SMc02505,noHit
SMc02504,mll4468
SMc02503,mlr4469
atpC,mll4059
atpD,mll4060
atpG,mll4063
atpA,mll4065
atpH,mll4066
SMc02497,mll4068
priA,mll4071
tal,mlr4072
SMc02494,noHit
SMc02493,noHit
SMc02492,noHit
SMc02491,noHit
SMc02490,noHit
SMc02489,mlr4290
SMc02488,mlr4292
lpdA2,mll4296
SMc02486,mll4297
SMc02485,mll4298
SMc02484,noHit
sucB,mll4300
sucA,mll4301
sucD,mll4303
sucC,mll4306
mdh,mll4308
SMc02478,mll4310
SMc02477,noHit
SMc02476,noHit
SMc02475,mll4312
SMc02474,noHit
SMc02473,noHit
SMc02472,mlr7001
SMc02471,noHit
SMc02470,noHit
SMc02469,noHit
SMc02468,mll2313
msrA2,noHit
sdhB,mll4260
sdhA,mll4263
sdhD,mll4265
sdhC,mll4266
SMc03225,noHit
SMc03226,mlr4229
SMc03227,mlr4228
SMc03228,msr4226
gpsA,mlr4225
gcp,mlr4224
hemC,mll4223
hemD,mll4221
SMc03233,noHit
SMc03234,mll4218
SMc03235,mll4217
SMc03236,mll4216
SMc03237,mlr4214
SMc03238,mll4156
ppa,mll4120
SMc03240,mlr4119
SMc03241,mll4122
typA,mll4112
SMc03243,mll4115
SMc03244,noHit
SMc03245,mll3370
SMc03746,noHit
SMc03747,noHit
SMc03748,noHit
TRm11b,noHit
TRm11a,mll6383
SMc03246,mll4043
SMc03247,noHit
SMc03248,mlr6150
SMc03249,noHit
SMc03751,noHit
SMc03250,noHit
SMc03251,noHit
proB2,mlr6298
SMc03253,mlr6283
fixT3,noHit
SMc03256,noHit
TRm18,mlr9230
SMc03258,mll6291
SMc03259,mlr6292
TRm17,noHit
SMc03262,noHit
SMc03263,noHit
SMc03264,noHit
SMc03265,mll6285
SMc03267,mlr6286
SMc03268,mlr6287
SMc03269,mlr6288
SMc03754,mlr6289
SMc03272,mlr6290
SMc03277,mlr6372
TRm28.1,noHit
TRm28.2,noHit
ISRm28.3,noHit
TRm27.2,mll6223
TRm27.1,mll6224
TRm18,mlr9230
SMc03284,noHit
SMc03285,noHit
SMc03286,noHit
SMc03287,noHit
SMc03288,noHit
SMc03289,noHit
SMc03290,noHit
SMc04428,noHit
SMc03293,noHit
SMc03294,noHit
TRm1a,noHit
TRm1b,noHit
SMc03297,noHit
TRm26.3,noHit
TRm26.2,noHit
TRm26.1,noHit
SMc03761,noHit
SMc03762,noHit
SMc03763,noHit
vsr,noHit
SMc03765,noHit
SMc03766,noHit
aslB,noHit
SMc03768,noHit
SMc03769,noHit
rplU,noHit
rpmA,msl4017
SMc03773,mll4016
SMc03774,noHit
cgtA,mll4013
proB1,mll4011
proA,mll4009
nadD,mll4008
SMc03780,mll4005
SMc03781,mll4004
SMc03782,mll4002
ctpA,mll4000
SMc03784,mll3999
ialA,mll3998
bfr,mlr5526
SMc03787,msr5525
dnaE2,mlr4428
imuB,mlr4427
SMc03790,mlr4426
SMc03791,mll4425
SMc03792,msr4423
citE,mlr4422
SMc03794,noHit
leuD,mll4408
SMc03796,mll4402
metA,noHit
galM,mll1167
SMc03799,noHit
SMc03800,mll4433
SMc03801,mll4432
SMc03802,mll4430
SMc03803,msl4429
ubiH,mlr4251
tesB,mll4250
glnK,mll4247
amtB,mll4246
ftsK,noHit
SMc03809,mll4242
SMc03810,mlr7232
SMc03811,mlr7231
SMc03812,mlr7229
SMc03813,noHit
SMc03814,noHit
SMc03815,noHit
SMc03816,noHit
SMc03817,noHit
xthA3,mll4241
SMc03819,mlr4239
SMc03820,mlr4237
SMc03821,mll4235
SMc03822,mll7959
leuC,mll4272
SMc03824,noHit
SMc03825,noHit
argG,mlr4366
SMc03827,mll4363
SMc03828,mll0623
SMc03829,mll0622
SMc03830,mll0624
SMc03831,mlr4359
SMc03832,mlr4354
SMc03833,mlr4351
pcbD,mlr4350
ligT,mlr4348
SMc03836,mlr4347
SMc03837,mll4346
SMc03838,mll4345
SMc03839,mll4343
SMc03840,mll4342
clpP3,mlr0748
SMc03842,noHit
SMc03843,mlr0745
SMc03844,mlr4340
SMc03845,mlr4337
acnA,mlr4335
ccmA,mll4333
ccmB,mll4332
ccmC,mlr8327
ccmD,msl4331
ccmG,mll4330
SMc03852,mll5005
ispZ,mlr4321
ftsY,noHit
SMc03855,mlr4319
dapF,mlr4318
ffh,mlr4379
pheAa,mlr4380
rpsP,mlr4381
rimM,mll4288
trmD,mll4287
SMc03862,mlr4286
rplS,mll4283
SMc03864,mll4278
SMc03865,mll4276
SMc03866,mlr3870
SMc03867,mlr3869
SMc03868,noHit
thiB,mll3867
thiP,mll3865
thiQ,mll3864
SMc03872,mll3863
rpoH2,mlr3862
SMc03874,mlr3857
SMc03875,mlr3855
SMc03876,mlr3853
SMc03877,mlr3852
phbB,mlr3848
phbA,mlr3847
SMc03880,mll3846
rpmF,msl3782
gst8,mlr8180
mtgA,mll3783
ispA,mlr3784
hisC2,mlr5786
TRm21,noHit
SMc03887,mll6377
ispG,mll3792
SMc03889,mlr3825
SMc03890,mlr6641
SMc03891,mll3861
TRm21,noHit
SMc03893,mll3859
SMc03894,mll3858
pyc,mll3969
SMc03896,noHit
TRm1b,noHit
TRm1a,noHit
SMc03899,noHit
ndvA,mlr8326
SMc03901,noHit
opgC,mlr8375
ndvB,mlr8325
SMc04882,mlr2880
SMc04383,noHit
SMc04384,noHit
SMc04385,mll2867
aatB,noHit
SMc04387,noHit
SMc04388,noHit
ttuD1,mlr5146
SMc04390,mlr3058
SMc04391,mlr3057
SMc04392,mlr3056
SMc04393,mlr3054
SMc04394,mlr3053
SMc04395,mlr3052
SMc04396,mlr3050
SMc04397,mlr3049
SMc04398,mlr3048
SMc04399,mlr3047
afr,mlr3046
SMc04401,mlr3045
SMc04402,mll3044
dcp,mlr4139
SMc04404,noHit
leuB,mll4399
SMc04406,mlr0012
SMc04407,mlr0338
SMc04881,noHit
SMc04408,noHit
SMc04409,noHit
asd,mll4392
SMc04411,noHit
cynT,mlr4135
pdxK,mlr4132
SMc04085,mll4104
SMc04087,mll4103
purH,mlr4101
SMc04089,mlr4100
sun,mlr4098
htpX,mlr4097
SMc04092,msl4095
acsA1,mlr4089
SMc04094,mll3765
SMc04095,mll5286
SMc02812,mlr4078
leuS,mll4077
SMc02803,mll4075
SMc02802,mlr4475
parB,mll4477
parA,mll4479
gidB,mll4481
gidA,mll4482
thdF,mll4483
rho,mll4485
SMc02795,mll4486
hemE,mll4487
lacE,mlr6435
lacF,mlr6436
lacG,noHit
lacZ1,noHit
lacK1,mlr6440
SM_b20003,noHit
gstR,mlr3528
gst15,mll2536
SM_b20006,noHit
katC,mlr2101
SM_b20008,mll9685
SM_b20009,noHit
SM_b20010,noHit
SM_b20011,noHit
SM_b20012,noHit
SM_b20013,noHit
SM_b20014,noHit
SM_b20015,mll1678
SM_b20016,noHit
SM_b20017,noHit
SM_b20018,mll1682
sucB,noHit
pdh,noHit
SM_b20021,noHit
SM_b20022,noHit
SM_b20023,mlr1573
SM_b20024,mlr2177
SM_b20025,noHit
SM_b20026,noHit
SM_b20027,noHit
SM_b20028,noHit
SM_b20029,mll6874
rpoE9,mll6869
SM_b20031,noHit
SM_b20032,noHit
SM_b20033,noHit
SM_b20034,noHit
SM_b20035,noHit
SM_b20036,noHit
aroE2,noHit
SM_b20038,noHit
SM_b20039,mlr1139
SM_b20040,mll1137
SM_b20041,mll0867
SM_b20042,mlr9369
SM_b20043,noHit
repC1,noHit
repB1,mll9653
repA1,noHit
SM_b20047,noHit
SM_b20048,mll8317
fusA2,mlr2549
SM_b20050,noHit
cpo,mlr0978
SM_b20055,noHit
btuF,noHit
btuC,mlr8229
btuD,mlr8227
SM_b20059,noHit
TRm5,noHit
SM_b20061,noHit
SM_b20062,noHit
SM_b20063,msr1301
SM_b20064,noHit
SM_b20065,noHit
SM_b20066,noHit
SM_b20067,noHit
SM_b20068,noHit
SM_b20069,noHit
SM_b20070,noHit
SM_b20071,mlr4084
SM_b20072,noHit
SM_b20073,noHit
SM_b20074,noHit
SM_b20075,noHit
SM_b20076,noHit
SM_b20077,noHit
SM_b20078,noHit
SM_b20079,noHit
SM_b20080,noHit
SM_b20081,noHit
SM_b20082,noHit
SM_b20083,noHit
SM_b20084,noHit
SM_b20085,noHit
SM_b20086,noHit
SM_b20087,noHit
SM_b20088,noHit
SM_b20089,noHit
SM_b20090,noHit
SM_b20091,noHit
SM_b20092,noHit
SM_b20093,noHit
SM_b20094,noHit
SM_b20095,noHit
SM_b20096,noHit
SM_b20097,noHit
SM_b20098,noHit
SM_b20099,noHit
SM_b20100,noHit
SM_b20101,noHit
acoR,noHit
SM_b20103,mlr1435
SM_b20104,noHit
SM_b20105,noHit
SM_b20106,noHit
SM_b20107,noHit
SM_b20108,noHit
SM_b20109,noHit
SM_b20110,noHit
SM_b20111,noHit
SM_b20112,noHit
SM_b20113,noHit
SM_b20114,mlr2332
ilvD4,noHit
SM_b20116,mll0692
SM_b20117,mll0693
SM_b20118,noHit
SM_b20119,noHit
SM_b20121,noHit
SM_b20122,noHit
SM_b20123,mlr6981
SM_b20124,noHit
SM_b20125,noHit
SM_b20126,noHit
SM_b20127,noHit
SM_b20128,mll1290
SM_b20129,noHit
SM_b20130,noHit
SM_b20131,noHit
SM_b20132,noHit
SM_b20133,noHit
SM_b20134,noHit
SM_b20135,noHit
SM_b20136,noHit
SM_b20137,noHit
SM_b20138,noHit
SM_b20139,noHit
dapA2,noHit
SM_b20141,noHit
SM_b20142,noHit
SM_b20143,noHit
SM_b20144,noHit
SM_b20145,noHit
pdxA2,noHit
SM_b20147,noHit
SM_b20148,noHit
SM_b20149,noHit
SM_b20150,noHit
SM_b20151,noHit
SM_b20152,noHit
SM_b20153,noHit
SM_b20154,noHit
SM_b20155,noHit
SM_b20156,noHit
SM_b20157,noHit
SM_b20158,noHit
SM_b20159,noHit
SM_b20160,noHit
SM_b20161,noHit
SM_b20162,noHit
SM_b20163,mlr1131
SM_b20164,noHit
SM_b20165,noHit
SM_b20166,noHit
SM_b20167,noHit
SM_b20168,noHit
SM_b20169,noHit
fdh,mlr0872
SM_b20171,noHit
SM_b20172,noHit
SM_b20173,noHit
SM_b20174,noHit
SM_b20175,noHit
SM_b20176,noHit
SM_b20177,noHit
SM_b20178,noHit
SM_b20179,noHit
SM_b20180,noHit
SM_b20181,noHit
SM_b20182,noHit
SM_b20183,noHit
SM_b20184,noHit
SM_b20185,noHit
SM_b20186,mlr0874
SM_b20194,noHit
ppe,mlr4760
cbbX,noHit
cbbS,noHit
cbbL,noHit
cbbA,mll7273
cbbT,noHit
cbbP,noHit
cbbF,noHit
cbbR,noHit
pqqA,noHit
pqqB,noHit
pqqC,noHit
pqqD,noHit
pqqE,noHit
SM_b20209,noHit
SM_b20210,noHit
SM_b20211,noHit
SM_b20212,noHit
SM_b20213,noHit
SM_b20214,mll6686
SM_b20215,mll5195
SM_b20216,mlr6683
SM_b20217,mlr0173
SM_b20218,mlr2741
SM_b20219,mlr2740
SM_b20221,mlr6682
SM_b20222,mlr1120
smc22-1,noHit
SM_b20226,noHit
ndiA-1,noHit
ndiA-2,noHit
ndiB,noHit
smc22-r,noHit
SM_b20231,noHit
SM_b20232,noHit
SM_b20233,noHit
SM_b20234,noHit
SM_b20235,noHit
SM_b20236,noHit
SM_b20238,noHit
rmlB,noHit
SM_b20240,noHit
SM_b20241,noHit
SM_b20242,noHit
SM_b20243,noHit
tyv,noHit
SM_b20245,mlr7558
SM_b20246,noHit
SM_b20247,noHit
SM_b20248,noHit
SM_b20249,noHit
SM_b20250,noHit
SM_b20251,noHit
SM_b20252,noHit
SM_b20253,noHit
SM_b20254,noHit
SM_b20255,noHit
SM_b20256,noHit
cyaM,noHit
SM_b20258,noHit
SM_b20259,mll6811
SM_b20260,noHit
SM_b20261,noHit
SM_b20262,noHit
SM_b20263,noHit
SM_b20264,noHit
SM_b20265,noHit
SM_b20266,noHit
SM_b20267,mll3980
SM_b20268,mll3979
SM_b20269,mll1737
SM_b20270,mlr6810
SM_b20271,mll0741
SM_b20272,mlr2429
SM_b20273,noHit
SM_b20274,noHit
SM_b20275,noHit
SM_b20276,noHit
SM_b20277,mlr5990
SM_b20278,mlr4105
SM_b20279,noHit
SM_b20280,noHit
SM_b20281,noHit
SM_b20282,noHit
SM_b20283,noHit
SM_b20284,noHit
SM_b20285,noHit
SM_b20286,noHit
SM_b20287,noHit
SM_b20288,noHit
SM_b20289,noHit
SM_b20290,noHit
SM_b20291,noHit
SM_b20292,noHit
SM_b20293,msl0146
SM_b20294,noHit
SM_b20295,noHit
SM_b20296,noHit
SM_b20297,noHit
SM_b20298,noHit
nanA,noHit
cyaF7,noHit
SM_b20301,noHit
SM_b20302,msl0931
SM_b20303,msl4563
TRm2011-2C,noHit
TRm2011-2,noHit
TRm2011-2N,noHit
SM_b20307,mll7278
SM_b20312,noHit
SM_b20313,noHit
SM_b20314,noHit
SM_b20315,noHit
SM_b20316,noHit
SM_b20317,noHit
SM_b20318,noHit
SM_b20319,noHit
SM_b20320,noHit
SM_b20321,noHit
SM_b20322,noHit
SM_b20323,noHit
thuR,noHit
thuE,noHit
thuF,noHit
thuG,mlr7227
thuK,noHit
thuA,mll3105
thuB,mll3104
SM_b20331,noHit
SM_b20332,noHit
betT,noHit
SM_b20334,mll5466
SM_b20335,noHit
SM_b20336,noHit
SM_b20337,mlr7466
SM_b20338,mll7465
SM_b20339,noHit
SM_b20340,noHit
SM_b20341,noHit
SM_b20342,mll3836
SM_b20343,mll3837
SM_b20344,noHit
SM_b20345,mlr7298
SM_b20346,mlr7297
SM_b20347,mlr7295
SM_b20348,mll7016
SM_b20349,mll7014
SM_b20350,mll7013
SM_b20351,mll7012
SM_b20352,mll7011
SM_b20353,mll7010
SM_b20354,mll7009
SM_b20355,noHit
SM_b20356,noHit
SM_b20357,noHit
cyaL,noHit
SM_b20359,noHit
SM_b20360,noHit
SM_b20361,mll0869
SM_b20362,mlr4874
SM_b20363,noHit
SM_b20364,noHit
SM_b20365,noHit
SM_b20366,mlr1005
SM_b20367,mlr0908
SM_b20368,noHit
SM_b20369,noHit
SM_b20370,noHit
SM_b20371,noHit
SM_b20372,noHit
SM_b20373,noHit
SM_b20374,noHit
SM_b20375,noHit
SM_b20376,noHit
SM_b20377,noHit
SM_b20378,noHit
SM_b20379,noHit
SM_b20380,noHit
SM_b20381,noHit
SM_b20382,noHit
SM_b20383,mlr6078
SM_b20384,noHit
SM_b20385,noHit
SM_b20386,noHit
SM_b20387,noHit
SM_b20388,noHit
SM_b20389,mlr5400
SM_b20390,noHit
SM_b20391,noHit
SM_b20392,mlr7008
rbcL,mll7006
SM_b20394,mll7005
SM_b20395,mlr1927
SM_b20396,noHit
SM_b20397,noHit
SM_b20398,noHit
SM_b20399,noHit
SM_b20400,noHit
SM_b20401,noHit
SM_b20402,noHit
SM_b20403,noHit
SM_b20404,noHit
SM_b20405,mll5244
hyuA,mlr5245
hyuB,mlr5246
SM_b20408,mlr5247
SM_b20409,mlr5248
SM_b20410,mll2746
SM_b20411,noHit
SM_b20412,noHit
SM_b20413,noHit
SM_b20414,noHit
SM_b20415,noHit
ugpB,mll3503
ugpA,mll3502
ugpE,mll3501
ugpC,noHit
SM_b20420,mll4939
TRm21,noHit
SM_b20422,mll7125
SM_b20423,mll7127
SM_b20424,mll7128
SM_b20425,mll7129
SM_b20426,mlr7131
ehuA,mlr7132
ehuB,mlr7133
ehuC,mlr7135
ehuD,mlr7136
EutA,mlr7137
eutB,mlr7138
eutC,mlr7139
eutD,mlr7141
eutE,mlr7142
SM_b20436,noHit
SM_b20441,noHit
SM_b20442,noHit
SM_b20443,noHit
SM_b20444,noHit
SM_b20445,noHit
uxuA,mlr6866
SM_b20447,mll6708
SM_b20448,mll6703
SM_b20449,mll6702
SM_b20450,mll6700
SM_b20451,mll6699
SM_b20452,mll6698
SM_b20453,noHit
SM_b20454,noHit
SM_b20455,mlr0535
SM_b20456,mll0534
SM_b20457,mll6710
SM_b20458,mll7879
SM_b20459,mll7878
SM_b20460,mlr7873
SM_b20461,noHit
SM_b20462,mll7872
SM_b20463,noHit
SM_b20464,noHit
SM_b20465,noHit
SM_b20466,noHit
SM_b20467,noHit
SM_b20468,noHit
SM_b20469,noHit
SM_b20470,noHit
SM_b20471,noHit
SM_b20472,mlr6171
SM_b20473,noHit
SM_b20474,noHit
SM_b20475,mll5357
SM_b20476,mlr6670
SM_b20477,mll7246
SM_b20478,noHit
SM_b20479,noHit
SM_b20480,noHit
asnO,noHit
SM_b20482,noHit
SM_b20483,noHit
SM_b20484,noHit
SM_b20485,noHit
SM_b20486,noHit
SM_b20487,noHit
SM_b20488,mll3595
SM_b20489,noHit
fucA2,noHit
SM_b20491,mlr6855
SM_b20492,mll1982
SM_b20493,mll1981
SM_b20494,mlr1983
SM_b20495,noHit
SM_b20496,mlr7098
lyx,noHit
SM_b20498,noHit
SM_b20499,noHit
SM_b20500,noHit
SM_b20501,noHit
SM_b20502,noHit
SM_b20503,noHit
SM_b20504,noHit
tfxG,noHit
SM_b20506,mll7080
SM_b20507,mll7081
SM_b20508,mll7082
SM_b20509,mll7079
dgoA,mll7085
SM_b20511,mll7083
SM_b20513,noHit
SM_b20514,noHit
SM_b20515,noHit
SM_b20516,noHit
SM_b20517,noHit
SM_b20518,noHit
SM_b20519,noHit
SM_b20520,noHit
SM_b20521,noHit
SM_b20522,noHit
SM_b20523,mll4270
SM_b20525,noHit
SM_b20527,noHit
SM_b20528,noHit
SM_b20529,noHit
SM_b20530,noHit
rpoE7,mll3493
SM_b20532,mll3492
SM_b20533,noHit
SM_b20534,noHit
SM_b20535,noHit
SM_b20536,noHit
SM_b20537,noHit
SM_b20538,noHit
cyaF6,noHit
SM_b20540,noHit
SM_b20541,mlr6247
SM_b20542,mlr6244
SM_b20544,noHit
SM_b20543,noHit
SM_b20545,noHit
SM_b20546,mlr9590
SM_b20547,noHit
SM_b20548,noHit
SM_b20549,noHit
SM_b20550,noHit
SM_b20551,msr9401
SM_b20552,noHit
SM_b20553,noHit
SM_b20554,noHit
SM_b20555,noHit
SM_b20556,noHit
SM_b20557,noHit
SM_b20558,noHit
SM_b20559,noHit
SM_b20560,noHit
SM_b20561,noHit
SM_b20562,noHit
SM_b20563,noHit
kdsB2,noHit
SM_b20804,noHit
SM_b20805,noHit
SM_b20806,noHit
SM_b20807,noHit
SM_b20808,noHit
kpsF1,noHit
SM_b20810,mll5669
SM_b20811,noHit
SM_b20812,noHit
SM_b20813,noHit
SM_b20814,noHit
SM_b20815,noHit
SM_b20816,noHit
SM_b20817,mll4997
mocD,mlr4998
mocE,mlr4999
mocF,mlr5000
SM_b20821,mll1731
rkpT2,noHit
rkpZ2,noHit
SM_b20824,noHit
SM_b20825,noHit
SM_b20826,noHit
SM_b20827,noHit
SM_b20828,noHit
SM_b21663,noHit
SM_b21664,noHit
SM_b21665,noHit
SM_b20829,noHit
kpsF2,mll3023
rkpR,noHit
kpsT,mll7564
kpsM,noHit
rkpZ1,noHit
SM_b20835,noHit
SM_b20836,noHit
SM_b20837,noHit
SM_b20838,noHit
SM_b20839,mlr8001
SM_b20840,noHit
SM_b20841,noHit
SM_b20842,noHit
algI,noHit
SM_b21013,noHit
SM_b21014,noHit
SM_b21015,noHit
SM_b21016,noHit
SM_b21017,noHit
SM_b21018,noHit
SM_b21019,noHit
SM_b21021,noHit
SM_b21022,noHit
SM_b21023,noHit
SM_b21024,noHit
SM_b21025,noHit
SM_b21026,noHit
SM_b21027,noHit
SM_b21028,noHit
SM_b21029,noHit
SM_b21030,noHit
SM_b21031,noHit
SM_b21032,noHit
SM_b21034,noHit
SM_b21035,noHit
SM_b21036,mlr9732
SM_b21037,noHit
SM_b21038,noHit
SM_b21039,noHit
SM_b21040,noHit
SM_b21041,noHit
pepT,noHit
SM_b21043,noHit
SM_b21044,noHit
SM_b21695,noHit
SM_b21698,noHit
exoI2,noHit
SM_b21696,mll9619
SM_b21697,noHit
TRm10-1a,noHit
TRm10-1b-1,noHit
SM_b21045,noHit
TRm10-1b-2,noHit
SM_b21047,noHit
SM_b21048,noHit
SM_b21049,noHit
wzx1,noHit
SM_b21051,noHit
SM_b21052,noHit
SM_b21053,noHit
SM_b21054,noHit
SM_b21055,noHit
SM_b21056,noHit
SM_b21057,noHit
SM_b21058,noHit
SM_b21059,noHit
SM_b21060,noHit
SM_b21061,noHit
SM_b21062,noHit
SM_b21063,noHit
SM_b21064,noHit
SM_b21065,noHit
SM_b21066,noHit
SM_b21067,noHit
SM_b21068,noHit
SM_b21069,noHit
exoP2,noHit
SM_b21071,noHit
SM_b21072,noHit
exoF2,noHit
SM_b21074,noHit
SM_b21075,noHit
SM_b21076,noHit
SM_b21077,noHit
SM_b21078,noHit
SM_b21079,noHit
SM_b21080,noHit
manB,noHit
manC/manA,mlr7607
SM_b21083,mlr8759
SM_b21084,noHit
SM_b21085,noHit
SM_b21086,noHit
traA2,noHit
SM_b21088,noHit
SM_b21089,mll7158
SM_b21090,mll7157
lysM,mlr0125
SM_b21092,noHit
SM_b21093,noHit
argH2,noHit
