SMc02793,DK53_1986
SMc03975,noHit
SMc03976,DK53_1670
SMc03977,DK53_1671
tkt2,tkt
gap,gap
SMc03980,noHit
pgk,DK53_1674
TRm5,noHit
fbaB,noHit
SMc03984,noHit
cyaF2,noHit
SMc03986,DK53_1675
SMc03987,noHit
SMc03988,DK53_1683
SMc03989,DK53_1653
rpmE,rpmE
SMc03991,DK53_1661
SMc03992,DK53_1660
SMc03993,DK53_1659
suhB,suhB
SMc03995,DK53_1656
thiE2,DK53_1655
SMc03997,DK53_2549
SMc03998,noHit
SMc03999,DK53_1686
SMc04000,DK53_1687
purE,purE
purK,purK
rpmJ,rpmJ
SMc04004,DK53_1691
pykA,pyk
SMc04006,DK53_1693
SMc04007,DK53_1694
SMc04008,noHit
SMc04009,DK53_1695
SMc04010,noHit
tacA,DK53_3052
pepF,DK53_3053
pabB,pabB
SMc04014,DK53_3055
SMc04015,noHit
hss,hss
omp10,omp10
SMc04018,noHit
hemH,hemH
SMc04020,qmcA
SMc04021,DK53_3060
SMc04022,DK53_3062
exoN2,galU
SMc04024,DK53_3064
SMc04025,DK53_3077
gltD,gltD
gltB,DK53_3080
SMc04029,psald
SMc04030,DK53_1053
pip2,noHit
SMc04032,noHit
pip3,noHit
SMc04034,noHit
SMc04035,noHit
SMc04036,noHit
SMc04037,noHit
TRm17N,noHit
TRm17C,noHit
ibpA,DK53_3082
pldB,DK53_3084
SMc04042,hisN
SMc04043,DK53_3086
SMc04044,DK53_3087
ilvD2,ilvD
SMc04046,DK53_1958
azu2,noHit
SMc04048,noHit
SMc04049,noHit
SMc04050,noHit
rpoE4,noHit
SMc04052,DK53_2721
SMc04053,noHit
SMc04054,DK53_2720
SMc04055,noHit
SMc04056,noHit
SMc04057,noHit
SMc04058,noHit
SMc04059,noHit
glgP,noHit
glgB1,noHit
glgC,noHit
glgA1,noHit
pgm,pgm
glgX1,noHit
nodN2,DK53_2271
SMc03928,noHit
SMc03929,DK53_2779
soxG2,DK53_240
soxA2,noHit
soxD2,soxD
soxB2,DK53_234
rpsU2,rpsU
SMc03935,DK53_2275
SMc03936,noHit
cyaG1,noHit
pntB,pntB
pntAb,DK53_2267
pntAa,DK53_2266
SMc03941,DK53_2265
SMc03942,DK53_2262
SMc03943,DK53_2260
SMc04462,DK53_2259
pckR,DK53_2258
SMc02976,noHit
SMc02977,DK53_2255
SMc02978,DK53_2254
SMc02979,DK53_2253
SMc02980,noHit
SMc02981,noHit
SMc02982,noHit
SMc02983,DK53_3037
SMc02984,DK53_3039
SMc02985,DK53_3040
SMc02986,DK53_3041
SMc02987,noHit
SMc02988,noHit
SMc02989,DK53_3043
SMc03151,DK53_3044
SMc03152,DK53_868
eda2,eda
SMc03154,noHit
SMc03155,noHit
SMc03156,DK53_3048
metQ,DK53_7
metI,DK53_2277
metN,DK53_2278
SMc03160,noHit
SMc03161,DK53_562
SMc03162,DK53_561
xylA,xylA
xylB,xylB
SMc03165,DK53_565
SMc03166,noHit
SMc03167,DK53_3022
SMc03168,noHit
SMc03169,DK53_3019
SMc03170,noHit
SMc03171,DK53_1667
gltX,noHit
lysS,noHit
SMc03174,noHit
SMc03175,noHit
SMc03176,noHit
SMc03177,noHit
SMc03178,noHit
phaA1,cpa3
phaC1,DK53_2704
phaD1,DK53_2703
phaE1,DK53_2702
phaF1,DK53_2701
phaG1,DK53_2700
SMc03185,noHit
SMc03186,noHit
cobM,cobM
cobL,cbiT
cobK,DK53_1279
cobJ,noHit
cobI,cobI
cobH,DK53_1266
cobG,noHit
cobF,noHit
ung,noHit
modA,modA
modB,modB
modC,modC
SMc03199,noHit
SMc03200,DK53_2520
bkdAa,bkdA1
bkdAb,bkdA2
bkdB,bkdB
lpdA3,lpdA
purU1,noHit
maiA,noHit
SMc03207,noHit
hmgA,noHit
SMc03209,noHit
SMc03210,noHit
SMc03211,noHit
SMc03150,noHit
SMc03149,noHit
SMc03148,noHit
SMc03147,noHit
SMc03146,noHit
SMc03145,noHit
SMc03144,noHit
SMc03143,noHit
SMc03142,noHit
SMc03141,noHit
SMc03140,noHit
SMc03139,noHit
SMc03138,noHit
SMc03137,noHit
SMc03136,noHit
SMc03135,noHit
SMc03134,noHit
SMc03133,noHit
SMc03132,noHit
SMc03131,noHit
SMc03130,noHit
SMc03129,noHit
SMc03128,noHit
SMc03127,noHit
SMc03126,DK53_2149
SMc03125,noHit
SMc03124,noHit
SMc03123,noHit
SMc03122,DK53_2286
SMc03121,DK53_2285
SMc03120,DK53_2284
SMc03119,DK53_2283
SMc03118,DK53_2282
SMc03117,DK53_2281
SMc03116,DK53_2280
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
metH,metH
pmi,DK53_556
SMc03110,DK53_1379
mak,noHit
SMc03108,noHit
SMc03107,noHit
SMc03106,noHit
dxr,noHit
hemA,hemA
SMc03103,noHit
SMc03102,noHit
SMc03101,noHit
SMc03100,noHit
cyaF1,noHit
SMc03098,noHit
SMc03097,DK53_64
SMc03096,noHit
SMc03095,noHit
SMc03094,noHit
SMc03093,noHit
SMc03092,DK53_2337
argI1,rocF
cheW3,noHit
TRm11b,noHit
TRm11a,noHit
mcpY,noHit
fdsD,noHit
fdsC,DK53_2526
fdsA,noHit
fdsB,noHit
fdsG,noHit
SMc02523,noHit
SMc02522,noHit
glpR,DK53_207
glpD,DK53_208
SMc02519,noHit
SMc02518,noHit
SMc02517,noHit
SMc02516,noHit
SMc02515,noHit
SMc02514,noHit
SMc02513,noHit
SMc02512,noHit
SMc02511,noHit
fur,DK53_1607
sitA,noHit
sitB,noHit
sitC,noHit
sitD,noHit
SMc02505,noHit
SMc02504,noHit
SMc02503,DK53_2583
atpC,atpC
atpD,atpD
atpG,atpG
atpA,atpA
atpH,atpH
SMc02497,DK53_1735
priA,priA
tal,fsa
SMc02494,noHit
SMc02493,noHit
SMc02492,noHit
SMc02491,noHit
SMc02490,noHit
SMc02489,DK53_1844
SMc02488,DK53_1845
lpdA2,lpdA
SMc02486,noHit
SMc02485,noHit
SMc02484,DK53_1848
sucB,sucB
sucA,sucA
sucD,sucD
sucC,sucC
mdh,mdh
SMc02478,DK53_1855
SMc02477,noHit
SMc02476,noHit
SMc02475,DK53_1856
SMc02474,noHit
SMc02473,noHit
SMc02472,noHit
SMc02471,noHit
SMc02470,noHit
SMc02469,noHit
SMc02468,noHit
msrA2,noHit
sdhB,DK53_1828
sdhA,sdhA
sdhD,sdhD
sdhC,sdhC
SMc03225,noHit
SMc03226,DK53_1820
SMc03227,DK53_1819
SMc03228,DK53_1818
gpsA,DK53_1817
gcp,DK53_1816
hemC,hemC
hemD,DK53_1814
SMc03233,noHit
SMc03234,DK53_1812
SMc03235,noHit
SMc03236,noHit
SMc03237,DK53_1809
SMc03238,DK53_1913
ppa,ppa
SMc03240,noHit
SMc03241,noHit
typA,typA
SMc03243,noHit
SMc03244,noHit
SMc03245,DK53_590
SMc03746,noHit
SMc03747,noHit
SMc03748,noHit
TRm11b,noHit
TRm11a,noHit
SMc03246,noHit
SMc03247,noHit
SMc03248,DK53_2170
SMc03249,noHit
SMc03751,noHit
SMc03250,noHit
SMc03251,noHit
proB2,noHit
SMc03253,noHit
fixT3,noHit
SMc03256,noHit
TRm18,noHit
SMc03258,DK53_1664
SMc03259,noHit
TRm17,noHit
SMc03262,noHit
SMc03263,noHit
SMc03264,noHit
SMc03265,noHit
SMc03267,noHit
SMc03268,noHit
SMc03269,noHit
SMc03754,noHit
SMc03272,DK53_2151
SMc03277,noHit
TRm28.1,DK53_2656
TRm28.2,DK53_2657
ISRm28.3,noHit
TRm27.2,noHit
TRm27.1,noHit
TRm18,noHit
SMc03284,noHit
SMc03285,noHit
SMc03286,noHit
SMc03287,noHit
SMc03288,noHit
SMc03289,noHit
SMc03290,noHit
SMc04428,noHit
SMc03293,noHit
SMc03294,noHit
TRm1a,noHit
TRm1b,noHit
SMc03297,noHit
TRm26.3,noHit
TRm26.2,noHit
TRm26.1,noHit
SMc03761,noHit
SMc03762,noHit
SMc03763,noHit
vsr,noHit
SMc03765,noHit
SMc03766,noHit
aslB,noHit
SMc03768,noHit
SMc03769,noHit
rplU,rplU
rpmA,rpmA
SMc03773,DK53_1777
SMc03774,noHit
cgtA,cgtA
proB1,proB
proA,proA
nadD,nadD
SMc03780,noHit
SMc03781,DK53_1769
SMc03782,DK53_1767
ctpA,DK53_1766
SMc03784,noHit
ialA,rppH
bfr,bfr
SMc03787,DK53_2650
dnaE2,dnaE
imuB,DK53_84
SMc03790,DK53_85
SMc03791,DK53_2354
SMc03792,DK53_2357
citE,DK53_2356
SMc03794,noHit
leuD,leuD
SMc03796,noHit
metA,metA
galM,galm
SMc03799,noHit
SMc03800,DK53_2343
SMc03801,trxA
SMc03802,DK53_2345
SMc03803,DK53_2347
ubiH,DK53_1826
tesB,tesB
glnK,noHit
amtB,amt
ftsK,DK53_1823
SMc03809,DK53_1921
SMc03810,noHit
SMc03811,noHit
SMc03812,noHit
SMc03813,noHit
SMc03814,noHit
SMc03815,noHit
SMc03816,noHit
SMc03817,noHit
xthA3,DK53_1922
SMc03819,DK53_1923
SMc03820,DK53_1924
SMc03821,DK53_1925
SMc03822,noHit
leuC,leuC
SMc03824,noHit
SMc03825,noHit
argG,argG
SMc03827,DK53_89
SMc03828,DK53_1973
SMc03829,DK53_1972
SMc03830,DK53_1971
SMc03831,rlmN
SMc03832,DK53_92
SMc03833,DK53_94
pcbD,DK53_95
ligT,DK53_97
SMc03836,DK53_99
SMc03837,DK53_100
SMc03838,DK53_101
SMc03839,DK53_102
SMc03840,noHit
clpP3,noHit
SMc03842,noHit
SMc03843,noHit
SMc03844,DK53_105
SMc03845,DK53_106
acnA,acnA
ccmA,ccmA
ccmB,ccmB
ccmC,ccmC
ccmD,noHit
ccmG,cycY
SMc03852,noHit
ispZ,ispZ
ftsY,noHit
SMc03855,DK53_1858
dapF,dapF
ffh,ffh
pheAa,DK53_1755
rpsP,rpsP
rimM,rimM
trmD,trmD
SMc03862,noHit
rplS,rplS
SMc03864,noHit
SMc03865,noHit
SMc03866,ccmA
SMc03867,DK53_1698
SMc03868,noHit
thiB,thiB
thiP,thiP
thiQ,thiQ
SMc03872,DK53_1702
rpoH2,DK53_1704
SMc03874,DK53_1705
SMc03875,DK53_1706
SMc03876,DK53_1707
SMc03877,DK53_1708
phbB,noHit
phbA,phbA
SMc03880,noHit
rpmF,rpmF
gst8,noHit
mtgA,mtgA
ispA,ispA
hisC2,noHit
TRm21,noHit
SMc03887,noHit
ispG,ispG
SMc03889,DK53_1716
SMc03890,noHit
SMc03891,DK53_2539
TRm21,noHit
SMc03893,DK53_2538
SMc03894,DK53_2537
pyc,pyc
SMc03896,noHit
TRm1b,noHit
TRm1a,noHit
SMc03899,noHit
ndvA,ndvA
SMc03901,noHit
opgC,DK53_1654
ndvB,DK53_124
SMc04882,DK53_2331
SMc04383,DK53_2330
SMc04384,noHit
SMc04385,DK53_2329
aatB,noHit
SMc04387,DK53_2313
SMc04388,DK53_2312
ttuD1,DK53_391
SMc04390,DK53_1960
SMc04391,DK53_1961
SMc04392,DK53_1962
SMc04393,DK53_2532
SMc04394,DK53_2531
SMc04395,DK53_2530
SMc04396,noHit
SMc04397,aldh2C4
SMc04398,DK53_1964
SMc04399,DK53_1966
afr,afr
SMc04401,DK53_1968
SMc04402,DK53_1969
dcp,DK53_2359
SMc04404,noHit
leuB,leuB
SMc04406,DK53_745
SMc04407,DK53_2350
SMc04881,noHit
SMc04408,noHit
SMc04409,noHit
asd,asd
SMc04411,DK53_1757
cynT,DK53_1758
pdxK,DK53_1759
SMc04085,DK53_1750
SMc04087,DK53_1749
purH,purH
SMc04089,DK53_1747
sun,DK53_1746
htpX,DK53_1745
SMc04092,DK53_1744
acsA1,acs
SMc04094,DK53_1681
SMc04095,DK53_1676
SMc02812,DK53_1740
leuS,leuS
SMc02803,DK53_1738
SMc02802,holA
parB,DK53_1975
parA,DK53_1976
gidB,gidB
gidA,gidA
thdF,trmE
rho,rho
SMc02795,DK53_1984
hemE,hemE
lacE,noHit
lacF,noHit
lacG,noHit
lacZ1,noHit
lacK1,noHit
SM_b20003,noHit
gstR,noHit
gst15,DK53_1456
SM_b20006,noHit
katC,noHit
SM_b20008,noHit
SM_b20009,noHit
SM_b20010,noHit
SM_b20011,noHit
SM_b20012,noHit
SM_b20013,noHit
SM_b20014,noHit
SM_b20015,DK53_2248
SM_b20016,DK53_2247
SM_b20017,noHit
SM_b20018,noHit
sucB,sucB
pdh,noHit
SM_b20021,noHit
SM_b20022,noHit
SM_b20023,DK53_2540
SM_b20024,noHit
SM_b20025,noHit
SM_b20026,noHit
SM_b20027,noHit
SM_b20028,noHit
SM_b20029,noHit
rpoE9,noHit
SM_b20031,noHit
SM_b20032,noHit
SM_b20033,noHit
SM_b20034,noHit
SM_b20035,noHit
SM_b20036,noHit
aroE2,noHit
SM_b20038,noHit
SM_b20039,DK53_1822
SM_b20040,DK53_1821
SM_b20041,noHit
SM_b20042,DK53_2511
SM_b20043,noHit
repC1,noHit
repB1,repB
repA1,noHit
SM_b20047,noHit
SM_b20048,hutC
fusA2,noHit
SM_b20050,noHit
cpo,noHit
SM_b20055,noHit
btuF,DK53_2471
btuC,DK53_2472
btuD,DK53_2473
SM_b20059,noHit
TRm5,noHit
SM_b20061,noHit
SM_b20062,noHit
SM_b20063,noHit
SM_b20064,noHit
SM_b20065,noHit
SM_b20066,noHit
SM_b20067,noHit
SM_b20068,noHit
SM_b20069,noHit
SM_b20070,noHit
SM_b20071,noHit
SM_b20072,noHit
SM_b20073,noHit
SM_b20074,noHit
SM_b20075,noHit
SM_b20076,noHit
SM_b20077,noHit
SM_b20078,noHit
SM_b20079,noHit
SM_b20080,noHit
SM_b20081,noHit
SM_b20082,noHit
SM_b20083,noHit
SM_b20084,noHit
SM_b20085,noHit
SM_b20086,noHit
SM_b20087,noHit
SM_b20088,noHit
SM_b20089,noHit
SM_b20090,noHit
SM_b20091,noHit
SM_b20092,noHit
SM_b20093,noHit
SM_b20094,noHit
SM_b20095,noHit
SM_b20096,noHit
SM_b20097,noHit
SM_b20098,noHit
SM_b20099,noHit
SM_b20100,noHit
SM_b20101,DK53_2235
acoR,noHit
SM_b20103,noHit
SM_b20104,noHit
SM_b20105,noHit
SM_b20106,noHit
SM_b20107,noHit
SM_b20108,noHit
SM_b20109,noHit
SM_b20110,noHit
SM_b20111,nikE
SM_b20112,noHit
SM_b20113,noHit
SM_b20114,noHit
ilvD4,noHit
SM_b20116,noHit
SM_b20117,noHit
SM_b20118,noHit
SM_b20119,noHit
SM_b20121,noHit
SM_b20122,noHit
SM_b20123,noHit
SM_b20124,noHit
SM_b20125,noHit
SM_b20126,noHit
SM_b20127,noHit
SM_b20128,noHit
SM_b20129,noHit
SM_b20130,noHit
SM_b20131,noHit
SM_b20132,noHit
SM_b20133,noHit
SM_b20134,noHit
SM_b20135,noHit
SM_b20136,noHit
SM_b20137,noHit
SM_b20138,noHit
SM_b20139,noHit
dapA2,noHit
SM_b20141,noHit
SM_b20142,noHit
SM_b20143,noHit
SM_b20144,noHit
SM_b20145,noHit
pdxA2,noHit
SM_b20147,noHit
SM_b20148,noHit
SM_b20149,noHit
SM_b20150,noHit
SM_b20151,noHit
SM_b20152,noHit
SM_b20153,noHit
SM_b20154,noHit
SM_b20155,noHit
SM_b20156,noHit
SM_b20157,noHit
SM_b20158,noHit
SM_b20159,noHit
SM_b20160,noHit
SM_b20161,noHit
SM_b20162,noHit
SM_b20163,noHit
SM_b20164,noHit
SM_b20165,noHit
SM_b20166,noHit
SM_b20167,noHit
SM_b20168,noHit
SM_b20169,noHit
fdh,noHit
SM_b20171,noHit
SM_b20172,noHit
SM_b20173,noHit
SM_b20174,noHit
SM_b20175,noHit
SM_b20176,noHit
SM_b20177,noHit
SM_b20178,noHit
SM_b20179,noHit
SM_b20180,noHit
SM_b20181,noHit
SM_b20182,noHit
SM_b20183,noHit
SM_b20184,noHit
SM_b20185,noHit
SM_b20186,noHit
SM_b20194,noHit
ppe,noHit
cbbX,noHit
cbbS,noHit
cbbL,noHit
cbbA,fba
cbbT,noHit
cbbP,noHit
cbbF,DK53_2364
cbbR,noHit
pqqA,noHit
pqqB,noHit
pqqC,noHit
pqqD,noHit
pqqE,noHit
SM_b20209,noHit
SM_b20210,noHit
SM_b20211,noHit
SM_b20212,noHit
SM_b20213,noHit
SM_b20214,noHit
SM_b20215,noHit
SM_b20216,noHit
SM_b20217,noHit
SM_b20218,DK53_2727
SM_b20219,DK53_2726
SM_b20221,noHit
SM_b20222,noHit
smc22-1,noHit
SM_b20226,noHit
ndiA-1,noHit
ndiA-2,noHit
ndiB,noHit
smc22-r,noHit
SM_b20231,noHit
SM_b20232,DK53_3152
SM_b20233,noHit
SM_b20234,noHit
SM_b20235,noHit
SM_b20236,noHit
SM_b20238,noHit
rmlB,noHit
SM_b20240,noHit
SM_b20241,noHit
SM_b20242,noHit
SM_b20243,noHit
tyv,noHit
SM_b20245,noHit
SM_b20246,noHit
SM_b20247,noHit
SM_b20248,noHit
SM_b20249,noHit
SM_b20250,noHit
SM_b20251,noHit
SM_b20252,noHit
SM_b20253,noHit
SM_b20254,noHit
SM_b20255,noHit
SM_b20256,noHit
cyaM,noHit
SM_b20258,DK53_2909
SM_b20259,dapA
SM_b20260,noHit
SM_b20261,DK53_2907
SM_b20262,noHit
SM_b20263,noHit
SM_b20264,noHit
SM_b20265,noHit
SM_b20266,noHit
SM_b20267,DK53_1727
SM_b20268,prpA
SM_b20269,noHit
SM_b20270,DK53_372
SM_b20271,noHit
SM_b20272,noHit
SM_b20273,noHit
SM_b20274,noHit
SM_b20275,noHit
SM_b20276,noHit
SM_b20277,noHit
SM_b20278,noHit
SM_b20279,noHit
SM_b20280,noHit
SM_b20281,noHit
SM_b20282,noHit
SM_b20283,noHit
SM_b20284,noHit
SM_b20285,noHit
SM_b20286,noHit
SM_b20287,noHit
SM_b20288,noHit
SM_b20289,noHit
SM_b20290,noHit
SM_b20291,noHit
SM_b20292,DK53_1178
SM_b20293,noHit
SM_b20294,noHit
SM_b20295,noHit
SM_b20296,noHit
SM_b20297,noHit
SM_b20298,noHit
nanA,noHit
cyaF7,noHit
SM_b20301,noHit
SM_b20302,noHit
SM_b20303,noHit
TRm2011-2C,noHit
TRm2011-2,noHit
TRm2011-2N,noHit
SM_b20307,dhaL
SM_b20312,noHit
SM_b20313,dhaL
SM_b20314,DK53_1581
SM_b20315,noHit
SM_b20316,noHit
SM_b20317,noHit
SM_b20318,noHit
SM_b20319,DK53_1027
SM_b20320,noHit
SM_b20321,noHit
SM_b20322,noHit
SM_b20323,DK53_1883
thuR,DK53_2851
thuE,DK53_2850
thuF,DK53_2849
thuG,DK53_2848
thuK,DK53_2847
thuA,DK53_2846
thuB,DK53_2845
SM_b20331,noHit
SM_b20332,noHit
betT,noHit
SM_b20334,noHit
SM_b20335,DK53_365
SM_b20336,DK53_1433
SM_b20337,noHit
SM_b20338,noHit
SM_b20339,noHit
SM_b20340,noHit
SM_b20341,noHit
SM_b20342,noHit
SM_b20343,noHit
SM_b20344,noHit
SM_b20345,DK53_2323
SM_b20346,DK53_2322
SM_b20347,noHit
SM_b20348,noHit
SM_b20349,DK53_2376
SM_b20350,DK53_2373
SM_b20351,ccmA
SM_b20352,DK53_2375
SM_b20353,noHit
SM_b20354,noHit
SM_b20355,noHit
SM_b20356,noHit
SM_b20357,noHit
cyaL,noHit
SM_b20359,noHit
SM_b20360,noHit
SM_b20361,noHit
SM_b20362,DK53_2504
SM_b20363,DK53_2503
SM_b20364,DK53_2502
SM_b20365,DK53_2501
SM_b20366,noHit
SM_b20367,noHit
SM_b20368,noHit
SM_b20369,noHit
SM_b20370,noHit
SM_b20371,noHit
SM_b20372,noHit
SM_b20373,noHit
SM_b20374,noHit
SM_b20375,noHit
SM_b20376,noHit
SM_b20377,noHit
SM_b20378,DK53_2168
SM_b20379,DK53_200
SM_b20380,noHit
SM_b20381,noHit
SM_b20382,noHit
SM_b20383,noHit
SM_b20384,noHit
SM_b20385,noHit
SM_b20386,noHit
SM_b20387,noHit
SM_b20388,noHit
SM_b20389,noHit
SM_b20390,noHit
SM_b20391,noHit
SM_b20392,noHit
rbcL,noHit
SM_b20394,noHit
SM_b20395,noHit
SM_b20396,noHit
SM_b20397,noHit
SM_b20398,noHit
SM_b20399,noHit
SM_b20400,noHit
SM_b20401,noHit
SM_b20402,noHit
SM_b20403,noHit
SM_b20404,noHit
SM_b20405,noHit
hyuA,noHit
hyuB,noHit
SM_b20408,noHit
SM_b20409,noHit
SM_b20410,noHit
SM_b20411,noHit
SM_b20412,noHit
SM_b20413,noHit
SM_b20414,noHit
SM_b20415,noHit
ugpB,DK53_2560
ugpA,DK53_2559
ugpE,DK53_2558
ugpC,DK53_2557
SM_b20420,noHit
TRm21,noHit
SM_b20422,noHit
SM_b20423,noHit
SM_b20424,noHit
SM_b20425,noHit
SM_b20426,noHit
ehuA,noHit
ehuB,noHit
ehuC,noHit
ehuD,noHit
EutA,noHit
eutB,noHit
eutC,noHit
eutD,noHit
eutE,noHit
SM_b20436,noHit
SM_b20441,noHit
SM_b20442,noHit
SM_b20443,noHit
SM_b20444,noHit
SM_b20445,noHit
uxuA,uxuA
SM_b20447,noHit
SM_b20448,noHit
SM_b20449,noHit
SM_b20450,noHit
SM_b20451,noHit
SM_b20452,noHit
SM_b20453,noHit
SM_b20454,noHit
SM_b20455,noHit
SM_b20456,noHit
SM_b20457,DK53_2660
SM_b20458,DK53_2668
SM_b20459,galE
SM_b20460,DK53_2666
SM_b20461,DK53_2664
SM_b20462,DK53_2663
SM_b20463,noHit
SM_b20464,noHit
SM_b20465,noHit
SM_b20466,noHit
SM_b20467,noHit
SM_b20468,noHit
SM_b20469,noHit
SM_b20470,noHit
SM_b20471,noHit
SM_b20472,noHit
SM_b20473,noHit
SM_b20474,noHit
SM_b20475,noHit
SM_b20476,DK53_2227
SM_b20477,DK53_2152
SM_b20478,noHit
SM_b20479,DK53_2231
SM_b20480,noHit
asnO,noHit
SM_b20482,noHit
SM_b20483,DK53_2887
SM_b20484,noHit
SM_b20485,noHit
SM_b20486,noHit
SM_b20487,noHit
SM_b20488,noHit
SM_b20489,noHit
fucA2,noHit
SM_b20491,noHit
SM_b20492,noHit
SM_b20493,noHit
SM_b20494,noHit
SM_b20495,noHit
SM_b20496,noHit
lyx,noHit
SM_b20498,noHit
SM_b20499,noHit
SM_b20500,noHit
SM_b20501,noHit
SM_b20502,noHit
SM_b20503,noHit
SM_b20504,noHit
tfxG,noHit
SM_b20506,noHit
SM_b20507,noHit
SM_b20508,noHit
SM_b20509,noHit
dgoA,noHit
SM_b20511,noHit
SM_b20513,noHit
SM_b20514,noHit
SM_b20515,noHit
SM_b20516,noHit
SM_b20517,noHit
SM_b20518,noHit
SM_b20519,noHit
SM_b20520,noHit
SM_b20521,noHit
SM_b20522,noHit
SM_b20523,DK53_440
SM_b20525,noHit
SM_b20527,noHit
SM_b20528,noHit
SM_b20529,noHit
SM_b20530,noHit
rpoE7,DK53_3109
SM_b20532,DK53_3108
SM_b20533,noHit
SM_b20534,noHit
SM_b20535,noHit
SM_b20536,noHit
SM_b20537,noHit
SM_b20538,noHit
cyaF6,noHit
SM_b20540,noHit
SM_b20541,DK53_2658
SM_b20542,noHit
SM_b20544,noHit
SM_b20543,noHit
SM_b20545,noHit
SM_b20546,noHit
SM_b20547,noHit
SM_b20548,noHit
SM_b20549,noHit
SM_b20550,noHit
SM_b20551,noHit
SM_b20552,noHit
SM_b20553,noHit
SM_b20554,noHit
SM_b20555,noHit
SM_b20556,noHit
SM_b20557,DK53_2053
SM_b20558,noHit
SM_b20559,noHit
SM_b20560,noHit
SM_b20561,noHit
SM_b20562,noHit
SM_b20563,noHit
kdsB2,noHit
SM_b20804,noHit
SM_b20805,noHit
SM_b20806,noHit
SM_b20807,noHit
SM_b20808,noHit
kpsF1,noHit
SM_b20810,noHit
SM_b20811,noHit
SM_b20812,noHit
SM_b20813,noHit
SM_b20814,noHit
SM_b20815,noHit
SM_b20816,noHit
SM_b20817,noHit
mocD,noHit
mocE,noHit
mocF,noHit
SM_b20821,noHit
rkpT2,noHit
rkpZ2,noHit
SM_b20824,noHit
SM_b20825,noHit
SM_b20826,noHit
SM_b20827,noHit
SM_b20828,noHit
SM_b21663,noHit
SM_b21664,noHit
SM_b21665,noHit
SM_b20829,noHit
kpsF2,DK53_3061
rkpR,noHit
kpsT,DK53_539
kpsM,noHit
rkpZ1,noHit
SM_b20835,noHit
SM_b20836,noHit
SM_b20837,noHit
SM_b20838,noHit
SM_b20839,noHit
SM_b20840,noHit
SM_b20841,noHit
SM_b20842,noHit
algI,noHit
SM_b21013,noHit
SM_b21014,noHit
SM_b21015,noHit
SM_b21016,noHit
SM_b21017,noHit
SM_b21018,noHit
SM_b21019,noHit
SM_b21021,noHit
SM_b21022,noHit
SM_b21023,noHit
SM_b21024,noHit
SM_b21025,noHit
SM_b21026,noHit
SM_b21027,noHit
SM_b21028,noHit
SM_b21029,noHit
SM_b21030,noHit
SM_b21031,noHit
SM_b21032,noHit
SM_b21034,noHit
SM_b21035,DK53_304
SM_b21036,noHit
SM_b21037,noHit
SM_b21038,noHit
SM_b21039,noHit
SM_b21040,noHit
SM_b21041,noHit
pepT,noHit
SM_b21043,noHit
SM_b21044,noHit
SM_b21695,noHit
SM_b21698,noHit
exoI2,noHit
SM_b21696,noHit
SM_b21697,noHit
TRm10-1a,noHit
TRm10-1b-1,noHit
SM_b21045,noHit
TRm10-1b-2,noHit
SM_b21047,noHit
SM_b21048,noHit
SM_b21049,noHit
wzx1,noHit
SM_b21051,noHit
SM_b21052,noHit
SM_b21053,noHit
SM_b21054,noHit
SM_b21055,noHit
SM_b21056,noHit
SM_b21057,noHit
SM_b21058,noHit
SM_b21059,noHit
SM_b21060,noHit
SM_b21061,noHit
SM_b21062,noHit
SM_b21063,noHit
SM_b21064,noHit
SM_b21065,noHit
SM_b21066,noHit
SM_b21067,noHit
SM_b21068,noHit
SM_b21069,noHit
exoP2,noHit
SM_b21071,noHit
SM_b21072,noHit
exoF2,noHit
SM_b21074,noHit
SM_b21075,noHit
SM_b21076,noHit
SM_b21077,noHit
SM_b21078,noHit
SM_b21079,DK53_205
SM_b21080,noHit
manB,noHit
manC/manA,noHit
SM_b21083,noHit
SM_b21084,noHit
SM_b21085,noHit
SM_b21086,noHit
traA2,noHit
SM_b21088,noHit
SM_b21089,noHit
SM_b21090,noHit
lysM,DK53_2717
SM_b21092,noHit
SM_b21093,noHit
argH2,noHit
SM_b21095,noHit
SM_b21096,DK53_1878
SM_b21097,noHit
SM_b21098,noHit
SM_b21099,noHit
SM_b21100,noHit
SM_b21101,DK53_241
SM_b21102,DK53_242
SM_b21103,DK53_243
SM_b21104,DK53_244
SM_b21105,DK53_245
SM_b21106,DK53_246
manR,DK53_247
SM_b21108,DK53_248
SM_b21109,DK53_249
SM_b21110,noHit
SM_b21111,bdh2
hpaG,DK53_252
SM_b21113,DK53_253
nrtA,noHit
SM_b21115,noHit
SM_b21116,noHit
SM_b21117,noHit
gntK,noHit
SM_b21120,noHit
ivdH,DK53_35
mccA,DK53_34
SM_b21123,noHit
mccB,DK53_33
hmgL,DK53_32
eccH2,DK53_31
SM_b21127,noHit
SM_b21128,noHit
SM_b21129,noHit
cysA2,cysA
cysP2,cysW
SM_b21132,cysT
SM_b21133,DK53_120
SM_b21134,DK53_2483
SM_b21135,noHit
SM_b21136,noHit
SM_b21137,DK53_1876
SM_b21138,noHit
SM_b21139,DK53_2475
SM_b21140,DK53_2244
SM_b21216,noHit
SM_b21217,noHit
SM_b21218,noHit
SM_b21219,noHit
SM_b21220,noHit
