SMc02793,OV14_0877
SMc01962,OV14_4057
SMc01963,OV14_4058
SMc01964,OV14_4059
SMc01965,OV14_4060
SMc01966,OV14_4061
speB2,speB
SMc01968,OV14_4066
SMc01969,OV14_4067
SMc01970,OV14_4068
puuC,OV14_4069
puuB,OV14_4079
puuA,glnA1
SMc01974,OV14_4081
SMc01975,OV14_4085
SMc01976,mdeA
SMc01977,OV14_4087
SMc01978,OV14_4088
SMc01979,OV14_4089
SMc01980,OV14_4090
SMc01981,OV14_4091
coxM,coxM
coxN,coxN
coxO,coxO
coxP,coxP
SMc01986,OV14_4096
SMc01987,OV14_a0030
SMc01988,noHit
SMc01989,noHit
SMc01990,noHit
SMc01991,noHit
SMc01992,noHit
SMc01993,noHit
SMc02016,noHit
SMc02017,noHit
SMc02018,noHit
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,noHit
SMc02025,OV14_a1079
SMc02026,noHit
SMc02027,OV14_a1081
SMc02028,dppC
SMc02029,OV14_a1083
SMc02030,OV14_a1088
SMc02031,noHit
SMc02032,noHit
SMc02033,noHit
SMc02034,noHit
SMc02035,noHit
SMc02036,noHit
SMc02037,OV14_a1800
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,OV14_a1232
pgiA1,noHit
eda1,OV14_b1218
SMc02044,noHit
SMc02045,OV14_b1211
SMc02332,OV14_b1210
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,noHit
SMc02452,noHit
SMc02337,rbsA3
SMc02338,noHit
SMc02339,noHit
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,OV14_a0093
SMc02344,noHit
SMc02345,noHit
SMc02346,OV14_a1830
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,OV14_b0386
SMc02352,glnA3
SMc02353,noHit
SMc02354,OV14_0165
SMc02355,OV14_0163
SMc02356,OV14_0160
SMc02357,noHit
SMc02358,OV14_0159
SMc02359,OV14_0158
SMc02360,noHit
SMc02412,noHit
SMc02413,OV14_0166
SMc02414,noHit
SMc02415,noHit
SMc02416,noHit
SMc02417,OV14_a1518
SMc02418,dppB
SMc02419,dppC
SMc02420,codA1
SMc02421,noHit
SMc02423,OV14_a0657
SMc02424,OV14_a0656
SMc02425,OV14_a0653
SMc02426,OV14_b0293
hyuE,OV14_a0655
SMc02428,noHit
SMc02429,noHit
TRm17,noHit
SMc02431,noHit
SMc02432,OV14_4113
clpB,clpB
SMc02434,OV14_0001
hemK1,OV14_0002
prfA,OV14_0003
ptsP,pstP
lysC,lysC
SMc02439,OV14_0016
ubiG,ubiG
SMc02441,OV14_0019
SMc02442,OV14_0020
grxC,OV14_0021
SMc02444,OV14_0022
SMc02445,OV14_0023
SMc02446,noHit
SMc02447,OV14_0025
mutT,OV14_0026
SMc02449,OV14_0027
argJ,argJ
SMc02451,OV14_0029
secA,secA
SMc00744,OV14_1063
SMc00743,OV14_0032
SMc00742,OV14_0033
acsA3,OV14_0034
SMc00740,noHit
SMc00739,noHit
SMc00738,OV14_0094
SMc00737,OV14_0095
SMc00736,OV14_0096
SMc00735,gltX2
SMc00734,OV14_0098
SMc00733,OV14_0099
SMc00732,OV14_0100
SMc00731,OV14_0101
SMc00730,OV14_0102
etfB1,OV14_b0595
etfA1,noHit
hbdA,hbdA
tlpA,OV14_0109
argH1,argH
SMc00724,OV14_0111
lysA,OV14_0112
SMc00722,OV14_0113
TRm22,noHit
SMc00720,OV14_0114
hpt,OV14_0115
SMc00718,noHit
ftsE,ftsE
ftsX,ftsX
SMc00715,OV14_0119
SMc00714,plsC
chaC,OV14_0121
SMc00712,OV14_0122
tyrC,tyrC
hisC1,hisC1
SMc00709,OV14_0125
gloB,OV14_0126
SMc00707,OV14_0127
SMc00706,OV14_0128
SMc00705,OV14_0129
rpmB,OV14_0130
SMc00703,OV14_0131
SMc00702,OV14_0132
cobT,cobT
SMc00700,cobS
SMc00699,OV14_0135
SMc00698,OV14_0136
SMc00697,OV14_0137
aroB,aroB
aroK,OV14_0139
SMc00694,noHit
SMc00693,noHit
SMc00692,OV14_0140
xerD,xerD
accA,accA
SMc00689,OV14_0143
SMc00688,OV14_0144
SMc00687,OV14_b1394
SMc00686,noHit
SMc00684,OV14_0148
SMc00683,OV14_0149
hipO1,OV14_0150
lrp1,OV14_0151
SMc00680,OV14_0152
SMc00679,OV14_0154
SMc00678,OV14_0155
SMc00677,OV14_0156
SMc00676,OV14_0157
SMc00675,OV14_0167
hutC,OV14_0169
SMc00673,OV14_0170
hisX,OV14_0171
hisW,OV14_0172
hisV,OV14_0173
hutH2,OV14_0174
SMc00668,noHit
SMc00667,OV14_0175
SMc00666,noHit
SMc00665,noHit
SMc00664,noHit
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,trmU
SMc00658,OV14_0184
SMc00657,OV14_0185
SMc00656,OV14_0186
SMc00655,OV14_0188
ctrA,OV14_0189
SMc00653,OV14_0190
chpT,OV14_0191
SMc00651,OV14_0192
SMc00650,OV14_0193
SMc00649,OV14_0194
SMc00648,OV14_0195
rluD,rluD
rpoH1,OV14_0197
SMc00644,OV14_0198
purA,purA
SMc00642,OV14_0200
serA,OV14_0202
serC,serC
SMc00639,OV14_0205
SMc00638,OV14_0206
glmM,OV14_0207
ftsH,ftsH
SMc02940,OV14_0209
SMc02941,OV14_0210
pal,OV14_0212
tolB,tolB1
tolA,tolA
tolR,tolR
tolQ,tolQ
SMc03959,OV14_b0410
SMc03960,OV14_0219
sqdB,sqdB
sqdD,OV14_0222
sqdC,OV14_0223
SMc03964,OV14_0227
ruvB,ruvB
ruvA,ruvA
ruvC,ruvC
SMc03968,OV14_0232
SMc03969,OV14_0234
SMc03970,OV14_0236
mexF2,mexF
mexE2,OV14_0238
SMc03973,OV14_0240
SMc03974,OV14_0241
SMc03975,OV14_0244
SMc03976,OV14_0245
SMc03977,OV14_0246
tkt2,OV14_0247
gap,OV14_0248
SMc03980,OV14_0249
pgk,OV14_0250
TRm5,OV14_a0735
fbaB,fbaB
SMc03984,OV14_0252
cyaF2,cyaF
SMc03986,noHit
SMc03987,OV14_0262
SMc03988,OV14_0263
SMc03989,OV14_0264
rpmE,OV14_0265
SMc03991,OV14_0266
SMc03992,OV14_0269
SMc03993,OV14_0270
suhB,suhB
SMc03995,OV14_0272
thiE2,thiE
SMc03997,OV14_0274
SMc03998,OV14_0275
SMc03999,OV14_0276
SMc04000,OV14_0277
purE,OV14_0278
purK,purK
rpmJ,OV14_0280
SMc04004,OV14_0281
pykA,OV14_0285
SMc04006,OV14_0286
SMc04007,OV14_0287
SMc04008,OV14_0288
SMc04009,OV14_0289
SMc04010,OV14_0290
tacA,OV14_0291
pepF,OV14_0292
pabB,OV14_0293
SMc04014,OV14_0294
SMc04015,OV14_0295
hss,OV14_0297
omp10,OV14_0298
SMc04018,OV14_0300
hemH,hemH
SMc04020,OV14_0302
SMc04021,OV14_0303
SMc04022,OV14_0304
exoN2,exoN
SMc04024,OV14_0306
SMc04025,OV14_0307
gltD,gltD
gltB,gltB1
SMc04029,OV14_0311
SMc04030,noHit
pip2,noHit
SMc04032,noHit
pip3,noHit
SMc04034,OV14_b0247
SMc04035,OV14_a0436
SMc04036,OV14_b0249
SMc04037,dppA
TRm17N,noHit
TRm17C,noHit
ibpA,OV14_0314
pldB,OV14_0315
SMc04042,OV14_0316
SMc04043,OV14_0317
SMc04044,OV14_0318
ilvD2,ilvD1
SMc04046,OV14_0331
azu2,noHit
SMc04048,noHit
SMc04049,noHit
SMc04050,noHit
rpoE4,noHit
SMc04052,OV14_0333
SMc04053,OV14_0335
SMc04054,OV14_0336
SMc04055,OV14_0338
SMc04056,mocA
SMc04057,OV14_0342
SMc04058,OV14_0343
SMc04059,OV14_0344
glgP,OV14_0345
glgB1,glgB
glgC,glgC
glgA1,glgA
pgm,OV14_0351
glgX1,OV14_0352
nodN2,nodN
SMc03928,noHit
SMc03929,adhC3
soxG2,soxG1
soxA2,soxA1
soxD2,soxD1
soxB2,soxB1
rpsU2,OV14_0359
SMc03935,OV14_0360
SMc03936,OV14_0361
cyaG1,cyaG
pntB,pntB
pntAb,OV14_0364
pntAa,pntA2
SMc03941,OV14_0367
SMc03942,OV14_0369
SMc03943,OV14_0372
SMc04462,OV14_0373
pckR,OV14_0374
SMc02976,OV14_0375
SMc02977,OV14_0376
SMc02978,OV14_0381
SMc02979,OV14_0382
SMc02980,OV14_0385
SMc02981,OV14_0387
SMc02982,OV14_0390
SMc02983,speF
SMc02984,OV14_0393
SMc02985,OV14_0394
SMc02986,OV14_0395
SMc02987,OV14_a0881
SMc02988,noHit
SMc02989,noHit
SMc03151,OV14_0398
SMc03152,OV14_0399
eda2,OV14_0400
SMc03154,OV14_0401
SMc03155,OV14_0402
SMc03156,OV14_0403
metQ,OV14_0405
metI,metI
metN,metN
SMc03160,OV14_0411
SMc03161,OV14_0412
SMc03162,OV14_0413
xylA,xylA
xylB,xylB
SMc03165,OV14_0417
SMc03166,OV14_0419
SMc03167,OV14_0421
SMc03168,OV14_0422
SMc03169,OV14_0423
SMc03170,OV14_0424
SMc03171,OV14_0425
gltX,gltX1
lysS,lysS
SMc03174,OV14_0430
SMc03175,OV14_0431
SMc03176,OV14_0432
SMc03177,OV14_0433
SMc03178,OV14_0435
phaA1,OV14_0436
phaC1,OV14_0437
phaD1,OV14_0438
phaE1,phaE
phaF1,phaF
phaG1,phaG
SMc03185,OV14_a0880
SMc03186,OV14_a0879
cobM,cobM
cobL,cobL
cobK,cobK
cobJ,cobJ
cobI,cobI
cobH,cobH
cobG,cobG
cobF,cobF
ung,OV14_0451
modA,modA
modB,modB
modC,modC
SMc03199,OV14_0455
SMc03200,OV14_0457
bkdAa,bkdA1
bkdAb,bkdA2
bkdB,bkdB
lpdA3,lpdA2
purU1,purU3
maiA,OV14_0465
SMc03207,OV14_0466
hmgA,hmgA
SMc03209,OV14_0469
SMc03210,OV14_0470
SMc03211,OV14_0471
SMc03150,OV14_0477
SMc03149,noHit
SMc03148,OV14_0479
SMc03147,OV14_0480
SMc03146,OV14_0481
SMc03145,OV14_0482
SMc03144,noHit
SMc03143,OV14_a1896
SMc03142,noHit
SMc03141,noHit
SMc03140,OV14_b0621
SMc03139,OV14_b0620
SMc03138,OV14_b0619
SMc03137,noHit
SMc03136,noHit
SMc03135,noHit
SMc03134,noHit
SMc03133,OV14_b0618
SMc03132,OV14_b0617
SMc03131,OV14_b0616
SMc03130,noHit
SMc03129,noHit
SMc03128,noHit
SMc03127,noHit
SMc03126,noHit
SMc03125,noHit
SMc03124,noHit
SMc03123,noHit
SMc03122,OV14_0498
SMc03121,OV14_0499
SMc03120,OV14_0500
SMc03119,OV14_0501
SMc03118,OV14_0502
SMc03117,OV14_0503
SMc03116,OV14_0504
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
metH,metH
pmi,OV14_0525
SMc03110,OV14_0526
mak,OV14_0527
SMc03108,noHit
SMc03107,noHit
SMc03106,OV14_0543
dxr,OV14_0544
hemA,hemA
SMc03103,OV14_0546
SMc03102,OV14_0547
SMc03101,OV14_0548
SMc03100,noHit
cyaF1,noHit
SMc03098,noHit
SMc03097,OV14_0551
SMc03096,noHit
SMc03095,noHit
SMc03094,noHit
SMc03093,OV14_0555
SMc03092,OV14_0556
argI1,arcA1
cheW3,cheW2
TRm11b,noHit
TRm11a,noHit
mcpY,OV14_0560
fdsD,fdsD
fdsC,OV14_0562
fdsA,fdsA
fdsB,fdsB
fdsG,fdsG
SMc02523,OV14_0566
SMc02522,OV14_0567
glpR,glpR
glpD,glpD2
SMc02519,OV14_0571
SMc02518,OV14_0572
SMc02517,OV14_0573
SMc02516,OV14_0574
SMc02515,OV14_0575
SMc02514,OV14_0576
SMc02513,noHit
SMc02512,noHit
SMc02511,OV14_0584
fur,OV14_0585
sitA,OV14_0586
sitB,OV14_0587
sitC,OV14_0588
sitD,OV14_0589
SMc02505,OV14_0596
SMc02504,OV14_0597
SMc02503,OV14_0598
atpC,atpC
atpD,atpD
atpG,atpG
atpA,atpA
atpH,atpH
SMc02497,OV14_0606
priA,OV14_0607
tal,OV14_0608
SMc02494,noHit
SMc02493,noHit
SMc02492,noHit
SMc02491,noHit
SMc02490,OV14_0610
SMc02489,xerC
SMc02488,OV14_0612
lpdA2,lpdA1
SMc02486,OV14_0615
SMc02485,OV14_0616
SMc02484,OV14_0617
sucB,sucB2
sucA,sucA
sucD,sucD
sucC,sucC
mdh,OV14_0624
SMc02478,OV14_0625
SMc02477,noHit
SMc02476,noHit
SMc02475,noHit
SMc02474,noHit
SMc02473,noHit
SMc02472,OV14_b0075
SMc02471,noHit
SMc02470,noHit
SMc02469,noHit
SMc02468,noHit
msrA2,noHit
sdhB,sdhB
sdhA,sdhA
sdhD,OV14_0629
sdhC,OV14_0630
SMc03225,OV14_0631
SMc03226,OV14_0633
SMc03227,OV14_0634
SMc03228,OV14_0635
gpsA,gpsA
gcp,OV14_0637
hemC,hemC
hemD,OV14_0640
SMc03233,OV14_0641
SMc03234,OV14_0642
SMc03235,OV14_0643
SMc03236,OV14_0644
SMc03237,OV14_0645
SMc03238,OV14_0646
ppa,OV14_0648
SMc03240,noHit
SMc03241,OV14_0650
typA,OV14_0651
SMc03243,OV14_0652
SMc03244,noHit
SMc03245,OV14_0654
SMc03746,OV14_0655
SMc03747,OV14_0657
SMc03748,noHit
TRm11b,noHit
TRm11a,noHit
SMc03246,noHit
SMc03247,noHit
SMc03248,noHit
SMc03249,noHit
SMc03751,noHit
SMc03250,noHit
SMc03251,noHit
proB2,noHit
SMc03253,noHit
fixT3,noHit
SMc03256,noHit
TRm18,noHit
SMc03258,OV14_a0430
SMc03259,noHit
TRm17,noHit
SMc03262,noHit
SMc03263,noHit
SMc03264,noHit
SMc03265,noHit
SMc03267,noHit
SMc03268,OV14_0540
SMc03269,noHit
SMc03754,OV14_0533
SMc03272,noHit
SMc03277,noHit
TRm28.1,noHit
TRm28.2,noHit
ISRm28.3,noHit
TRm27.2,noHit
TRm27.1,noHit
TRm18,noHit
SMc03284,noHit
SMc03285,noHit
SMc03286,noHit
SMc03287,noHit
SMc03288,noHit
SMc03289,noHit
SMc03290,noHit
SMc04428,noHit
SMc03293,noHit
SMc03294,noHit
TRm1a,noHit
TRm1b,noHit
SMc03297,noHit
TRm26.3,OV14_a0808
TRm26.2,OV14_a0807
TRm26.1,OV14_a0806
SMc03761,noHit
SMc03762,noHit
SMc03763,noHit
vsr,noHit
SMc03765,noHit
SMc03766,noHit
aslB,noHit
SMc03768,noHit
SMc03769,noHit
rplU,OV14_0663
rpmA,OV14_0664
SMc03773,OV14_0666
SMc03774,OV14_0667
cgtA,OV14_0669
proB1,proB
proA,proA
nadD,nadD
SMc03780,OV14_0673
SMc03781,OV14_0675
SMc03782,OV14_0677
ctpA,noHit
SMc03784,OV14_0679
ialA,OV14_0680
bfr,OV14_0681
SMc03787,OV14_0682
dnaE2,dnaE1
imuB,OV14_0685
SMc03790,OV14_0686
SMc03791,OV14_0687
SMc03792,OV14_0688
citE,OV14_0689
SMc03794,noHit
leuD,leuD
SMc03796,OV14_0694
metA,metA
galM,galM
SMc03799,noHit
SMc03800,OV14_0701
SMc03801,OV14_0702
SMc03802,OV14_0703
SMc03803,OV14_0704
ubiH,OV14_0706
tesB,OV14_0707
glnK,OV14_0708
amtB,OV14_0709
ftsK,ftsK2
SMc03809,OV14_0712
SMc03810,noHit
SMc03811,noHit
SMc03812,noHit
SMc03813,noHit
SMc03814,noHit
SMc03815,noHit
SMc03816,noHit
SMc03817,noHit
xthA3,xthA1
SMc03819,OV14_0716
SMc03820,OV14_0717
SMc03821,OV14_0718
SMc03822,OV14_0721
leuC,leuC
SMc03824,OV14_0768
SMc03825,OV14_0767
argG,argG
SMc03827,OV14_0764
SMc03828,OV14_0763
SMc03829,noHit
SMc03830,noHit
SMc03831,OV14_0760
SMc03832,OV14_0759
SMc03833,OV14_0758
pcbD,OV14_0757
ligT,OV14_0756
SMc03836,OV14_0755
SMc03837,OV14_0754
SMc03838,OV14_0753
SMc03839,OV14_0752
SMc03840,OV14_0751
clpP3,noHit
SMc03842,noHit
SMc03843,noHit
SMc03844,OV14_0750
SMc03845,OV14_0749
acnA,acnA
ccmA,OV14_0747
ccmB,ccmB
ccmC,ccmC
ccmD,noHit
ccmG,OV14_0743
SMc03852,OV14_0742
ispZ,OV14_0741
ftsY,ftsY
SMc03855,OV14_0739
dapF,dapF
ffh,OV14_0734
pheAa,OV14_0733
rpsP,OV14_0732
rimM,rimM
trmD,trmD
SMc03862,OV14_0729
rplS,OV14_0727
SMc03864,OV14_0725
SMc03865,OV14_0724
SMc03866,OV14_0769
SMc03867,OV14_0770
SMc03868,OV14_a1589
thiB,OV14_0773
thiP,OV14_0774
thiQ,OV14_0775
SMc03872,OV14_0776
rpoH2,OV14_0777
SMc03874,OV14_0779
SMc03875,OV14_0780
SMc03876,OV14_0781
SMc03877,OV14_0782
phbB,OV14_0783
phbA,OV14_0785
SMc03880,OV14_0787
rpmF,noHit
gst8,OV14_0790
mtgA,mtgA
ispA,OV14_0793
hisC2,hisC2
TRm21,noHit
SMc03887,OV14_0795
ispG,OV14_0796
SMc03889,OV14_0798
SMc03890,OV14_0800
SMc03891,OV14_0801
TRm21,noHit
SMc03893,OV14_0802
SMc03894,OV14_0803
pyc,OV14_0804
SMc03896,OV14_0805
TRm1b,noHit
TRm1a,noHit
SMc03899,noHit
ndvA,ndvA
SMc03901,noHit
opgC,OV14_0808
ndvB,ndvB
SMc04882,OV14_0811
SMc04383,OV14_0813
SMc04384,OV14_0814
SMc04385,OV14_0815
aatB,attA1
SMc04387,OV14_0817
SMc04388,OV14_0818
ttuD1,ttuD2
SMc04390,OV14_0821
SMc04391,OV14_0822
SMc04392,OV14_0823
SMc04393,OV14_0824
SMc04394,OV14_0825
SMc04395,OV14_0826
SMc04396,OV14_0827
SMc04397,OV14_0829
SMc04398,OV14_0830
SMc04399,OV14_0831
afr,OV14_0832
SMc04401,OV14_0833
SMc04402,OV14_0834
dcp,OV14_0836
SMc04404,OV14_0837
leuB,leuB
SMc04406,OV14_0840
SMc04407,OV14_0841
SMc04881,noHit
SMc04408,noHit
SMc04409,noHit
asd,OV14_0847
SMc04411,OV14_0848
cynT,OV14_0849
pdxK,OV14_0850
SMc04085,OV14_0852
SMc04087,OV14_0853
purH,purH
SMc04089,OV14_0855
sun,OV14_0856
htpX,OV14_0857
SMc04092,OV14_0858
acsA1,ascA
SMc04094,OV14_0860
SMc04095,OV14_0863
SMc02812,OV14_0864
leuS,leuS
SMc02803,OV14_0867
SMc02802,OV14_0868
parB,OV14_0869
parA,OV14_0870
gidB,gidB
gidA,gidA
thdF,OV14_0873
rho,rho
SMc02795,OV14_0875
hemE,hemE
lacE,lacE
lacF,lacF
lacG,lacG
lacZ1,lacZ
lacK1,OV14_b1326
SM_b20003,noHit
gstR,OV14_a1856
gst15,OV14_a1854
SM_b20006,noHit
katC,noHit
SM_b20008,noHit
SM_b20009,OV14_a1438
SM_b20010,noHit
SM_b20011,noHit
SM_b20012,noHit
SM_b20013,OV14_a1140
SM_b20014,OV14_a1141
SM_b20015,OV14_a1142
SM_b20016,OV14_a1143
SM_b20017,rbsA1
SM_b20018,OV14_a1145
sucB,sucB2
pdh,noHit
SM_b20021,noHit
SM_b20022,OV14_b0022
SM_b20023,OV14_a1156
SM_b20024,OV14_a1840
SM_b20025,OV14_a1839
SM_b20026,OV14_a1838
SM_b20027,OV14_a1837
SM_b20028,noHit
SM_b20029,OV14_3361
rpoE9,OV14_3362
SM_b20031,noHit
SM_b20032,noHit
SM_b20033,OV14_a1264
SM_b20034,OV14_a1265
SM_b20035,OV14_a1266
SM_b20036,OV14_a1267
aroE2,OV14_a1268
SM_b20038,noHit
SM_b20039,OV14_a0218
SM_b20040,OV14_a0215
SM_b20041,OV14_a1103
SM_b20042,OV14_a1548
SM_b20043,OV14_3762
repC1,repC
repB1,repB1
repA1,repA1
SM_b20047,noHit
SM_b20048,OV14_a1541
fusA2,fusA
SM_b20050,noHit
cpo,cpo1
SM_b20055,OV14_3278
btuF,noHit
btuC,OV14_3260
btuD,noHit
SM_b20059,noHit
TRm5,OV14_a0735
SM_b20061,noHit
SM_b20062,noHit
SM_b20063,noHit
SM_b20064,noHit
SM_b20065,noHit
SM_b20066,noHit
SM_b20067,noHit
SM_b20068,OV14_a0712
SM_b20069,noHit
SM_b20070,OV14_b0225
SM_b20071,OV14_1954
SM_b20072,noHit
SM_b20073,noHit
SM_b20074,noHit
SM_b20075,noHit
SM_b20076,noHit
SM_b20077,noHit
SM_b20078,noHit
SM_b20079,noHit
SM_b20080,noHit
SM_b20081,noHit
SM_b20082,noHit
SM_b20083,noHit
SM_b20084,noHit
SM_b20085,noHit
SM_b20086,noHit
SM_b20087,noHit
SM_b20088,noHit
SM_b20089,OV14_b0695
SM_b20090,noHit
SM_b20091,noHit
SM_b20092,noHit
SM_b20093,noHit
SM_b20094,noHit
SM_b20095,noHit
SM_b20096,noHit
SM_b20097,noHit
SM_b20098,noHit
SM_b20099,noHit
SM_b20100,noHit
SM_b20101,noHit
acoR,OV14_b0059
SM_b20103,noHit
SM_b20104,noHit
SM_b20105,noHit
SM_b20106,noHit
SM_b20107,noHit
SM_b20108,noHit
SM_b20109,noHit
SM_b20110,noHit
SM_b20111,noHit
SM_b20112,noHit
SM_b20113,noHit
SM_b20114,noHit
ilvD4,noHit
SM_b20116,noHit
SM_b20117,noHit
SM_b20118,noHit
SM_b20119,noHit
SM_b20121,noHit
SM_b20122,noHit
SM_b20123,OV14_b0327
SM_b20124,OV14_b0326
SM_b20125,OV14_b0325
SM_b20126,OV14_b0324
SM_b20127,OV14_b0323
SM_b20128,codA1
SM_b20129,noHit
SM_b20130,OV14_b0318
SM_b20131,OV14_b0317
SM_b20132,OV14_b0316
SM_b20133,OV14_b0315
SM_b20134,noHit
SM_b20135,ubiX
SM_b20136,OV14_b0311
SM_b20137,noHit
SM_b20138,noHit
SM_b20139,noHit
dapA2,dapA
SM_b20141,OV14_b0340
SM_b20142,OV14_b0339
SM_b20143,OV14_b0338
SM_b20144,dppA
SM_b20145,OV14_b0333
pdxA2,pdxA1
SM_b20147,OV14_b0331
SM_b20148,OV14_b0330
SM_b20149,OV14_b0329
SM_b20150,OV14_a1879
SM_b20151,noHit
SM_b20152,noHit
SM_b20153,OV14_a1883
SM_b20154,OV14_a1884
SM_b20155,OV14_a1885
SM_b20156,OV14_a1886
SM_b20157,noHit
SM_b20158,noHit
SM_b20159,suhB
SM_b20160,noHit
SM_b20161,noHit
SM_b20162,noHit
SM_b20163,noHit
SM_b20164,noHit
SM_b20165,noHit
SM_b20166,noHit
SM_b20167,noHit
SM_b20168,noHit
SM_b20169,noHit
fdh,noHit
SM_b20171,noHit
SM_b20172,noHit
SM_b20173,noHit
SM_b20174,noHit
SM_b20175,noHit
SM_b20176,noHit
SM_b20177,noHit
SM_b20178,noHit
SM_b20179,noHit
SM_b20180,noHit
SM_b20181,noHit
SM_b20182,noHit
SM_b20183,noHit
SM_b20184,noHit
SM_b20185,noHit
SM_b20186,gfa2
SM_b20194,noHit
ppe,noHit
cbbX,noHit
cbbS,noHit
cbbL,noHit
cbbA,noHit
cbbT,noHit
cbbP,noHit
cbbF,noHit
cbbR,noHit
pqqA,noHit
pqqB,noHit
pqqC,noHit
pqqD,noHit
pqqE,noHit
SM_b20209,noHit
SM_b20210,fabG2
SM_b20211,OV14_b0170
SM_b20212,noHit
SM_b20213,OV14_a1379
SM_b20214,OV14_a0014
SM_b20215,OV14_a0017
SM_b20216,OV14_a1378
SM_b20217,OV14_a0016
SM_b20218,envZ
SM_b20219,OV14_a1377
SM_b20221,OV14_b0465
SM_b20222,OV14_b0464
smc22-1,noHit
SM_b20226,noHit
ndiA-1,noHit
ndiA-2,noHit
ndiB,noHit
smc22-r,noHit
SM_b20231,noHit
SM_b20232,noHit
SM_b20233,noHit
SM_b20234,noHit
SM_b20235,noHit
SM_b20236,noHit
SM_b20238,noHit
rmlB,noHit
SM_b20240,noHit
SM_b20241,noHit
SM_b20242,noHit
SM_b20243,noHit
tyv,noHit
SM_b20245,noHit
SM_b20246,noHit
SM_b20247,noHit
SM_b20248,noHit
SM_b20249,noHit
SM_b20250,noHit
SM_b20251,noHit
SM_b20252,noHit
SM_b20253,noHit
SM_b20254,noHit
SM_b20255,noHit
SM_b20256,OV14_b0029
cyaM,OV14_b0028
SM_b20258,OV14_a1326
SM_b20259,noHit
SM_b20260,noHit
SM_b20261,mdh
SM_b20262,hpaE
SM_b20263,OV14_a1332
SM_b20264,OV14_a1333
SM_b20265,OV14_a1334
SM_b20266,OV14_a1335
SM_b20267,OV14_a1336
SM_b20268,OV14_a1337
SM_b20269,OV14_a1338
SM_b20270,OV14_a0432
SM_b20271,OV14_a1100
SM_b20272,noHit
SM_b20273,noHit
SM_b20274,noHit
SM_b20275,noHit
SM_b20276,noHit
SM_b20277,OV14_a0671
SM_b20278,noHit
SM_b20279,noHit
SM_b20280,noHit
SM_b20281,OV14_b1433
SM_b20282,OV14_b1434
SM_b20283,potH
SM_b20284,OV14_b1436
SM_b20285,OV14_b0438
SM_b20286,noHit
SM_b20287,noHit
SM_b20288,noHit
SM_b20289,noHit
SM_b20290,OV14_b0308
SM_b20291,noHit
SM_b20292,noHit
SM_b20293,noHit
SM_b20294,noHit
SM_b20295,noHit
SM_b20296,noHit
SM_b20297,noHit
SM_b20298,noHit
nanA,noHit
cyaF7,noHit
SM_b20301,noHit
SM_b20302,noHit
SM_b20303,noHit
TRm2011-2C,noHit
TRm2011-2,noHit
TRm2011-2N,noHit
SM_b20307,OV14_a1236
SM_b20312,OV14_a1235
SM_b20313,OV14_a1234
SM_b20314,OV14_a1233
SM_b20315,OV14_a0031
SM_b20316,OV14_a0032
SM_b20317,rbsA5
SM_b20318,OV14_a0035
SM_b20319,OV14_a0189
SM_b20320,OV14_a1028
SM_b20321,OV14_a1029
SM_b20322,noHit
SM_b20323,noHit
thuR,thuR
thuE,thuE
thuF,thuF
thuG,thuG
thuK,thuK
thuA,thuA
thuB,OV14_3970
SM_b20331,OV14_3319
SM_b20332,noHit
betT,noHit
SM_b20334,OV14_a0310
SM_b20335,OV14_1419
SM_b20336,OV14_3533
SM_b20337,OV14_b1402
SM_b20338,noHit
SM_b20339,noHit
SM_b20340,noHit
SM_b20341,noHit
SM_b20342,OV14_b0401
SM_b20343,noHit
SM_b20344,noHit
SM_b20345,OV14_a0133
SM_b20346,OV14_a0132
SM_b20347,OV14_a0131
SM_b20348,OV14_b0214
SM_b20349,OV14_b0213
SM_b20350,OV14_b0212
SM_b20351,OV14_b0211
SM_b20352,OV14_b0210
SM_b20353,OV14_b0209
SM_b20354,OV14_b0208
SM_b20355,noHit
SM_b20356,noHit
SM_b20357,noHit
cyaL,noHit
SM_b20359,noHit
SM_b20360,noHit
SM_b20361,noHit
SM_b20362,OV14_a0238
SM_b20363,OV14_a0239
SM_b20364,OV14_a0240
SM_b20365,OV14_a0241
SM_b20366,OV14_a0242
SM_b20367,noHit
SM_b20368,OV14_b0421
SM_b20369,OV14_b0422
SM_b20370,macB
SM_b20371,noHit
SM_b20372,noHit
SM_b20373,noHit
SM_b20374,noHit
SM_b20375,noHit
SM_b20376,noHit
SM_b20377,noHit
SM_b20378,gabD
SM_b20379,OV14_a1582
SM_b20380,noHit
SM_b20381,noHit
SM_b20382,noHit
SM_b20383,noHit
SM_b20384,noHit
SM_b20385,noHit
SM_b20386,noHit
SM_b20387,noHit
SM_b20388,noHit
SM_b20389,noHit
SM_b20390,noHit
SM_b20391,celA
