SMc02793,blr0637
SMc03165,blr3394
SMc03166,noHit
SMc03167,emrB
SMc03168,blr7958
SMc03169,blr6623
SMc03170,bll6698
SMc03171,bll4584
gltX,gltX
lysS,noHit
SMc03174,noHit
SMc03175,noHit
SMc03176,bll1145
SMc03177,noHit
SMc03178,noHit
phaA1,noHit
phaC1,blr7319
phaD1,noHit
phaE1,noHit
phaF1,noHit
phaG1,noHit
SMc03185,noHit
SMc03186,noHit
cobM,cobM
cobL,cobL
cobK,cobK
cobJ,cobJ
cobI,cobI
cobH,cobH
cobG,noHit
cobF,cobF
ung,noHit
modA,modA
modB,modB
modC,modC
SMc03199,noHit
SMc03200,bll6711
bkdAa,bkdA1
bkdAb,bkdA2
bkdB,bkdB
lpdA3,lpdA
purU1,noHit
maiA,bll0109
SMc03207,bll6422
hmgA,bll0343
SMc03209,blr2331
SMc03210,blr0340
SMc03211,bll0339
SMc03150,noHit
SMc03149,noHit
SMc03148,noHit
SMc03147,noHit
SMc03146,noHit
SMc03145,noHit
SMc03144,noHit
SMc03143,noHit
SMc03142,noHit
SMc03141,noHit
SMc03140,noHit
SMc03139,noHit
SMc03138,noHit
SMc03137,noHit
SMc03136,noHit
SMc03135,noHit
SMc03134,noHit
SMc03133,noHit
SMc03132,bll5856
SMc03131,noHit
SMc03130,noHit
SMc03129,noHit
SMc03128,bll4540
SMc03127,bll4541
SMc03126,bll4542
SMc03125,bll4543
SMc03124,bll4544
SMc03123,noHit
SMc03122,bll3953
SMc03121,blr0998
SMc03120,blr4037
SMc03119,blr4038
SMc03118,blr4040
SMc03117,blr4041
SMc03116,noHit
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
metH,metH
pmi,noHit
SMc03110,noHit
mak,noHit
SMc03108,bll7673
SMc03107,noHit
SMc03106,noHit
dxr,dxr
hemA,hemA
SMc03103,blr0337
SMc03102,blr0336
SMc03101,blr0335
SMc03100,noHit
cyaF1,noHit
SMc03098,blr7068
SMc03097,noHit
SMc03096,noHit
SMc03095,noHit
SMc03094,noHit
SMc03093,bll1073
SMc03092,noHit
argI1,bll6122
cheW3,noHit
TRm11b,noHit
TRm11a,noHit
mcpY,noHit
fdsD,bsl3134
fdsC,bll0288
fdsA,fdhF
fdsB,nuoF
fdsG,nuoE
SMc02523,blr3139
SMc02522,noHit
glpR,blr2433
glpD,glpD
SMc02519,blr2437
SMc02518,blr2438
SMc02517,blr2439
SMc02516,blr2440
SMc02515,blr2441
SMc02514,blr2442
SMc02513,noHit
SMc02512,blr6162
SMc02511,bll5329
fur,fur
sitA,bll7769
sitB,bll7771
sitC,noHit
sitD,noHit
SMc02505,noHit
SMc02504,noHit
SMc02503,noHit
atpC,atpC
atpD,atpD
atpG,atpG
atpA,atpA
atpH,atpH
SMc02497,noHit
priA,priA
tal,noHit
SMc02494,noHit
SMc02493,noHit
SMc02492,noHit
SMc02491,noHit
SMc02490,noHit
SMc02489,xerC
SMc02488,noHit
lpdA2,lpdA
SMc02486,scdh1
SMc02485,noHit
SMc02484,noHit
sucB,sucB
sucA,sucA
sucD,sucD
sucC,sucC
mdh,mdh
SMc02478,bll0457
SMc02477,bll3011
SMc02476,bsl3012
SMc02475,noHit
SMc02474,noHit
SMc02473,blr3391
SMc02472,blr3390
SMc02471,blr3389
SMc02470,noHit
SMc02469,blr3392
SMc02468,blr3393
msrA2,noHit
sdhB,sdhB
sdhA,sdhA
sdhD,sdhD
sdhC,sdhC
SMc03225,noHit
SMc03226,noHit
SMc03227,blr0569
SMc03228,bsl2673
gpsA,gpsA
gcp,gcp
hemC,hemC
hemD,bll0566
SMc03233,noHit
SMc03234,bll0564
SMc03235,bll0555
SMc03236,guaA
SMc03237,bll5620
SMc03238,bsl0551
ppa,ppa
SMc03240,blr5788
SMc03241,blr0547
typA,typA
SMc03243,blr0534
SMc03244,noHit
SMc03245,noHit
SMc03746,noHit
SMc03747,noHit
SMc03748,noHit
TRm11b,noHit
TRm11a,noHit
SMc03246,noHit
SMc03247,noHit
SMc03248,blr0018
SMc03249,noHit
SMc03751,blr8292
SMc03250,noHit
SMc03251,noHit
proB2,noHit
SMc03253,noHit
fixT3,noHit
SMc03256,noHit
TRm18,bll1898
SMc03258,noHit
SMc03259,bll4423
TRm17,noHit
SMc03262,noHit
SMc03263,noHit
SMc03264,noHit
SMc03265,bll6812
SMc03267,noHit
SMc03268,bll6709
SMc03269,bll5596
SMc03754,blr3342
SMc03272,blr5599
SMc03277,noHit
TRm28.1,blr1573
TRm28.2,noHit
ISRm28.3,noHit
TRm27.2,blr1707
TRm27.1,blr1706
TRm18,bll1898
SMc03284,noHit
SMc03285,noHit
SMc03286,noHit
SMc03287,noHit
SMc03288,noHit
SMc03289,noHit
SMc03290,noHit
SMc04428,noHit
SMc03293,noHit
SMc03294,noHit
TRm1a,noHit
TRm1b,noHit
SMc03297,noHit
TRm26.3,noHit
TRm26.2,noHit
TRm26.1,noHit
SMc03761,noHit
SMc03762,noHit
SMc03763,noHit
vsr,noHit
SMc03765,noHit
SMc03766,noHit
aslB,noHit
SMc03768,noHit
SMc03769,noHit
rplU,rplU
rpmA,rpmA
SMc03773,blr0422
SMc03774,noHit
cgtA,cgtA
proB1,proB
proA,proA
nadD,nadD
SMc03780,noHit
SMc03781,blr0432
SMc03782,blr0433
ctpA,ctpA
SMc03784,blr0435
ialA,blr0436
bfr,bfr
SMc03787,noHit
dnaE2,dnaE
imuB,blr3025
SMc03790,noHit
SMc03791,blr0494
SMc03792,noHit
citE,citE
SMc03794,noHit
leuD,leuD
SMc03796,blr7761
metA,noHit
galM,blr3206
SMc03799,noHit
SMc03800,noHit
SMc03801,trxA
SMc03802,blr0595
SMc03803,bsr0601
ubiH,bll0603
tesB,tesB
glnK,glnK
amtB,amtB
ftsK,noHit
SMc03809,blr0617
SMc03810,noHit
SMc03811,noHit
SMc03812,noHit
SMc03813,blr1123
SMc03814,noHit
SMc03815,noHit
SMc03816,noHit
SMc03817,noHit
xthA3,blr0618
SMc03819,bll0619
SMc03820,bll0620
SMc03821,blr0621
SMc03822,blr5857
leuC,leuC
SMc03824,noHit
SMc03825,noHit
argG,noHit
SMc03827,noHit
SMc03828,noHit
SMc03829,noHit
SMc03830,noHit
SMc03831,bll0525
SMc03832,bll0526
SMc03833,bll0531
pcbD,bll0532
ligT,ligT
SMc03836,bll0459
SMc03837,blr0460
SMc03838,blr0461
SMc03839,blr0462
SMc03840,blr0463
clpP3,clpP
SMc03842,blr0610
SMc03843,blr0609
SMc03844,bll0464
SMc03845,bll0465
acnA,acnA
ccmA,ccmA
ccmB,ccmB
ccmC,ccmC
ccmD,noHit
ccmG,ccmG
SMc03852,bll0647
ispZ,bll0472
ftsY,noHit
SMc03855,bll0476
dapF,dapF
ffh,ffh
pheAa,noHit
rpsP,rpsP
rimM,rimM
trmD,trmD
SMc03862,noHit
rplS,rplS
SMc03864,noHit
SMc03865,blr2225
SMc03866,bll3965
SMc03867,noHit
SMc03868,blr3562
thiB,noHit
thiP,noHit
thiQ,noHit
SMc03872,noHit
rpoH2,noHit
SMc03874,noHit
SMc03875,bll0157
SMc03876,noHit
SMc03877,mgpS
phbB,phbB
phbA,phbA
SMc03880,blr0227
rpmF,rpmF
gst8,bll5167
mtgA,mtgA
ispA,ispA
hisC2,hisC
TRm21,noHit
SMc03887,noHit
ispG,gcpE
SMc03889,blr6253
SMc03890,noHit
SMc03891,noHit
TRm21,noHit
SMc03893,noHit
SMc03894,blr8119
pyc,noHit
SMc03896,noHit
TRm1b,noHit
TRm1a,noHit
SMc03899,noHit
ndvA,chvA
SMc03901,noHit
opgC,blr1102
ndvB,noHit
SMc04882,noHit
SMc04383,noHit
SMc04384,noHit
SMc04385,noHit
aatB,noHit
SMc04387,bll2220
SMc04388,bioA
ttuD1,blr7830
SMc04390,noHit
SMc04391,noHit
SMc04392,noHit
SMc04393,blr4845
SMc04394,blr4844
SMc04395,blr4843
SMc04396,blr4842
SMc04397,noHit
SMc04398,noHit
SMc04399,bll0888
afr,noHit
SMc04401,noHit
SMc04402,noHit
dcp,dcp
SMc04404,noHit
leuB,leuB
SMc04406,noHit
SMc04407,noHit
SMc04881,noHit
SMc04408,noHit
SMc04409,noHit
asd,asd
SMc04411,blr3859
cynT,cah
pdxK,blr4233
SMc04085,blr7995
SMc04087,bll0582
purH,purH
SMc04089,blr0580
sun,sun
htpX,htpx
SMc04092,bsl0578
acsA1,blr0573
SMc04094,bll1313
SMc04095,acs
SMc02812,bll0623
leuS,leuS
SMc02803,blr0628
SMc02802,blr0629
parB,noHit
parA,parA
gidB,gidB
gidA,gidA
thdF,thdF
rho,rho
SMc02795,bll0636
hemE,hemE
lacE,noHit
lacF,noHit
lacG,noHit
lacZ1,noHit
lacK1,noHit
SM_b20003,noHit
gstR,blr7836
gst15,blr7418
SM_b20006,noHit
katC,noHit
SM_b20008,blr5213
SM_b20009,blr5870
SM_b20010,noHit
SM_b20011,noHit
SM_b20012,noHit
SM_b20013,noHit
SM_b20014,noHit
SM_b20015,noHit
SM_b20016,noHit
SM_b20017,noHit
SM_b20018,noHit
sucB,sucB
pdh,noHit
SM_b20021,noHit
SM_b20022,noHit
SM_b20023,noHit
SM_b20024,noHit
SM_b20025,bll6513
SM_b20026,blr3453
SM_b20027,bll6514
SM_b20028,noHit
SM_b20029,noHit
rpoE9,blr7812
SM_b20031,noHit
SM_b20032,noHit
SM_b20033,blr6822
SM_b20034,noHit
SM_b20035,noHit
SM_b20036,noHit
aroE2,aroE
SM_b20038,noHit
SM_b20039,blr0404
SM_b20040,bll0403
SM_b20041,noHit
SM_b20042,noHit
SM_b20043,noHit
repC1,noHit
repB1,noHit
repA1,noHit
SM_b20047,noHit
SM_b20048,blr6245
fusA2,bll7414
SM_b20050,blr1250
cpo,noHit
SM_b20055,blr4954
btuF,noHit
btuC,noHit
btuD,noHit
SM_b20059,noHit
TRm5,bll2163
SM_b20061,noHit
SM_b20062,noHit
SM_b20063,noHit
SM_b20064,noHit
SM_b20065,noHit
SM_b20066,noHit
SM_b20067,noHit
SM_b20068,bsl1363
SM_b20069,noHit
SM_b20070,noHit
SM_b20071,bll0251
SM_b20072,noHit
SM_b20073,noHit
SM_b20074,noHit
SM_b20075,noHit
SM_b20076,noHit
SM_b20077,noHit
SM_b20078,bll6290
SM_b20079,noHit
SM_b20080,blr6532
SM_b20081,noHit
SM_b20082,noHit
SM_b20083,noHit
SM_b20084,bsl5717
SM_b20085,noHit
SM_b20086,noHit
SM_b20087,noHit
SM_b20088,bll4651
SM_b20089,noHit
SM_b20090,noHit
SM_b20091,noHit
SM_b20092,noHit
SM_b20093,noHit
SM_b20094,noHit
SM_b20095,poxB
SM_b20096,noHit
SM_b20097,noHit
SM_b20098,noHit
SM_b20099,bll0902
SM_b20100,noHit
SM_b20101,noHit
acoR,bll7291
SM_b20103,bll7689
SM_b20104,noHit
SM_b20105,blr0382
SM_b20106,bll3929
SM_b20107,noHit
SM_b20108,noHit
SM_b20109,noHit
SM_b20110,noHit
SM_b20111,noHit
SM_b20112,noHit
SM_b20113,noHit
SM_b20114,bll0377
ilvD4,ilvD
SM_b20116,blr2754
SM_b20117,bll5217
SM_b20118,noHit
SM_b20119,noHit
SM_b20121,noHit
SM_b20122,noHit
SM_b20123,blr7098
SM_b20124,noHit
SM_b20125,noHit
SM_b20126,noHit
SM_b20127,noHit
SM_b20128,bll3847
SM_b20129,noHit
SM_b20130,noHit
SM_b20131,noHit
SM_b20132,blr6161
SM_b20133,noHit
SM_b20134,noHit
SM_b20135,blr3530
SM_b20136,blr3531
SM_b20137,noHit
SM_b20138,noHit
SM_b20139,noHit
dapA2,noHit
SM_b20141,noHit
SM_b20142,noHit
SM_b20143,noHit
SM_b20144,noHit
SM_b20145,noHit
pdxA2,pdxA
SM_b20147,blr3888
SM_b20148,noHit
SM_b20149,noHit
SM_b20150,noHit
SM_b20151,noHit
SM_b20152,noHit
SM_b20153,noHit
SM_b20154,noHit
SM_b20155,noHit
SM_b20156,noHit
SM_b20157,noHit
SM_b20158,noHit
SM_b20159,noHit
SM_b20160,noHit
SM_b20161,noHit
SM_b20162,bll0331
SM_b20163,blr0328
SM_b20164,noHit
SM_b20165,noHit
SM_b20166,bll6198
SM_b20167,blr6197
SM_b20168,blr6195
SM_b20169,noHit
fdh,adhC
SM_b20171,noHit
SM_b20172,noHit
SM_b20173,mxaF'
SM_b20174,blr6214
SM_b20175,bll6196
SM_b20176,bll6194
SM_b20177,bll6187
SM_b20178,blr6188
SM_b20179,blr6189
SM_b20180,noHit
SM_b20181,blr6199
SM_b20182,blr6200
SM_b20183,blr6201
SM_b20184,blr6190
SM_b20185,blr6191
SM_b20186,blr6216
SM_b20194,noHit
ppe,noHit
cbbX,cbbX
cbbS,cbbS
cbbL,cbbL
cbbA,cbbA
cbbT,noHit
cbbP,cbbP
cbbF,cbbF
cbbR,cbbR
pqqA,pqqA
pqqB,blr6736
pqqC,pqqC
pqqD,pqqD
pqqE,pqqE
SM_b20209,bsr5938
SM_b20210,blr5937
SM_b20211,bll5936
SM_b20212,blr6269
SM_b20213,noHit
SM_b20214,noHit
SM_b20215,blr4281
SM_b20216,blr1197
SM_b20217,bll3419
SM_b20218,noHit
SM_b20219,blr6651
SM_b20221,bll6264
SM_b20222,bll4011
smc22-1,noHit
SM_b20226,noHit
ndiA-1,noHit
ndiA-2,bll8033
ndiB,noHit
smc22-r,noHit
SM_b20231,noHit
SM_b20232,bll4140
SM_b20233,bll4139
SM_b20234,noHit
SM_b20235,noHit
SM_b20236,noHit
SM_b20238,noHit
rmlB,noHit
SM_b20240,noHit
SM_b20241,noHit
SM_b20242,noHit
SM_b20243,noHit
tyv,noHit
SM_b20245,noHit
SM_b20246,noHit
SM_b20247,noHit
SM_b20248,noHit
SM_b20249,noHit
SM_b20250,bluF
SM_b20251,noHit
SM_b20252,noHit
SM_b20253,noHit
SM_b20254,noHit
SM_b20255,noHit
SM_b20256,blr0571
cyaM,bll0570
SM_b20258,bll2319
SM_b20259,noHit
SM_b20260,noHit
SM_b20261,noHit
SM_b20262,noHit
SM_b20263,noHit
SM_b20264,noHit
SM_b20265,noHit
SM_b20266,noHit
SM_b20267,noHit
SM_b20268,noHit
SM_b20269,noHit
SM_b20270,noHit
SM_b20271,noHit
SM_b20272,blr4009
SM_b20273,noHit
SM_b20274,noHit
SM_b20275,noHit
SM_b20276,bll2911
SM_b20277,bll2910
SM_b20278,bll0234
SM_b20279,bll0235
SM_b20280,blr0238
SM_b20281,noHit
SM_b20282,noHit
SM_b20283,noHit
SM_b20284,noHit
SM_b20285,blr0237
SM_b20286,noHit
SM_b20287,noHit
SM_b20288,noHit
SM_b20289,noHit
SM_b20290,noHit
SM_b20291,noHit
SM_b20292,noHit
SM_b20293,noHit
SM_b20294,noHit
SM_b20295,noHit
SM_b20296,noHit
SM_b20297,noHit
SM_b20298,noHit
nanA,noHit
cyaF7,noHit
SM_b20301,noHit
SM_b20302,bsr1472
SM_b20303,noHit
TRm2011-2C,noHit
TRm2011-2,noHit
TRm2011-2N,noHit
SM_b20307,blr3572
SM_b20312,noHit
SM_b20313,noHit
SM_b20314,noHit
SM_b20315,noHit
SM_b20316,noHit
SM_b20317,noHit
SM_b20318,noHit
SM_b20319,blr3961
SM_b20320,bll4424
SM_b20321,bll4425
SM_b20322,bll4426
SM_b20323,blr4427
thuR,noHit
thuE,noHit
thuF,noHit
thuG,noHit
thuK,noHit
thuA,noHit
thuB,noHit
SM_b20331,noHit
SM_b20332,noHit
betT,noHit
SM_b20334,bll4742
SM_b20335,blr7980
SM_b20336,noHit
SM_b20337,noHit
SM_b20338,noHit
SM_b20339,noHit
SM_b20340,noHit
SM_b20341,noHit
SM_b20342,bll1530
SM_b20343,blr0840
SM_b20344,noHit
SM_b20345,noHit
SM_b20346,noHit
SM_b20347,blr2424
SM_b20348,noHit
SM_b20349,bll2674
SM_b20350,noHit
SM_b20351,noHit
SM_b20352,noHit
SM_b20353,noHit
SM_b20354,noHit
SM_b20355,noHit
SM_b20356,noHit
SM_b20357,blr2285
cyaL,blr2288
SM_b20359,noHit
SM_b20360,noHit
SM_b20361,noHit
SM_b20362,noHit
SM_b20363,noHit
SM_b20364,noHit
SM_b20365,noHit
SM_b20366,noHit
SM_b20367,noHit
SM_b20368,noHit
SM_b20369,noHit
SM_b20370,noHit
SM_b20371,noHit
SM_b20372,noHit
SM_b20373,noHit
SM_b20374,noHit
SM_b20375,noHit
SM_b20376,noHit
SM_b20377,noHit
SM_b20378,noHit
SM_b20379,blr4134
SM_b20380,noHit
SM_b20381,noHit
SM_b20382,noHit
SM_b20383,noHit
SM_b20384,noHit
SM_b20385,noHit
SM_b20386,noHit
SM_b20387,noHit
SM_b20388,noHit
SM_b20389,noHit
SM_b20390,noHit
SM_b20391,bll6705
SM_b20392,noHit
rbcL,noHit
SM_b20394,noHit
SM_b20395,noHit
SM_b20396,blr5210
SM_b20397,noHit
SM_b20398,noHit
SM_b20399,noHit
SM_b20400,noHit
SM_b20401,noHit
SM_b20402,noHit
SM_b20403,bll3821
SM_b20404,blr6047
SM_b20405,noHit
hyuA,noHit
hyuB,noHit
SM_b20408,noHit
SM_b20409,noHit
SM_b20410,noHit
SM_b20411,noHit
SM_b20412,noHit
SM_b20413,noHit
SM_b20414,bll0545
SM_b20415,bll0544
ugpB,bll0733
ugpA,bll0732
ugpE,bll0731
ugpC,bll0730
SM_b20420,noHit
TRm21,noHit
SM_b20422,noHit
SM_b20423,noHit
SM_b20424,noHit
SM_b20425,noHit
SM_b20426,noHit
ehuA,noHit
ehuB,noHit
ehuC,noHit
ehuD,noHit
EutA,blr3294
eutB,noHit
eutC,noHit
eutD,noHit
eutE,bll3975
SM_b20436,noHit
SM_b20441,bll6835
SM_b20442,bll6834
SM_b20443,bll6833
SM_b20444,bll6832
SM_b20445,noHit
uxuA,uxuA
SM_b20447,noHit
SM_b20448,noHit
SM_b20449,noHit
SM_b20450,noHit
SM_b20451,noHit
SM_b20452,noHit
SM_b20453,noHit
SM_b20454,noHit
SM_b20455,blr3873
SM_b20456,blr7566
SM_b20457,noHit
SM_b20458,blr6004
SM_b20459,exoB
SM_b20460,noHit
SM_b20461,noHit
SM_b20462,noHit
SM_b20463,noHit
SM_b20464,noHit
SM_b20465,bll0419
SM_b20466,noHit
SM_b20467,noHit
SM_b20468,noHit
SM_b20469,noHit
SM_b20470,noHit
SM_b20471,noHit
SM_b20472,nolO
SM_b20473,noHit
SM_b20474,noHit
SM_b20475,blr2409
SM_b20476,noHit
SM_b20477,noHit
SM_b20478,noHit
SM_b20479,noHit
SM_b20480,noHit
asnO,noHit
SM_b20482,noHit
SM_b20483,noHit
SM_b20484,noHit
SM_b20485,noHit
SM_b20486,noHit
SM_b20487,noHit
SM_b20488,noHit
SM_b20489,noHit
fucA2,bll6170
SM_b20491,blr8041
SM_b20492,blr0293
SM_b20493,bll4020
SM_b20494,blr4021
SM_b20495,noHit
SM_b20496,bll3020
lyx,noHit
SM_b20498,noHit
SM_b20499,noHit
SM_b20500,noHit
SM_b20501,noHit
SM_b20502,noHit
SM_b20503,noHit
SM_b20504,noHit
tfxG,noHit
SM_b20506,noHit
SM_b20507,noHit
SM_b20508,noHit
SM_b20509,noHit
dgoA,noHit
SM_b20511,noHit
SM_b20513,noHit
SM_b20514,noHit
SM_b20515,noHit
SM_b20516,noHit
SM_b20517,noHit
SM_b20518,noHit
SM_b20519,noHit
SM_b20520,noHit
SM_b20521,noHit
SM_b20522,blr2603
SM_b20523,noHit
SM_b20525,noHit
SM_b20527,noHit
SM_b20528,noHit
SM_b20529,noHit
SM_b20530,noHit
rpoE7,SigD
SM_b20532,blr3039
SM_b20533,noHit
SM_b20534,noHit
SM_b20535,noHit
SM_b20536,noHit
SM_b20537,noHit
SM_b20538,noHit
cyaF6,noHit
SM_b20540,noHit
SM_b20541,blr1700
SM_b20542,bll8238
SM_b20544,noHit
SM_b20543,blr1781
SM_b20545,noHit
SM_b20546,noHit
SM_b20547,noHit
SM_b20548,noHit
SM_b20549,noHit
SM_b20550,noHit
SM_b20551,noHit
SM_b20552,noHit
SM_b20553,noHit
SM_b20554,noHit
SM_b20555,noHit
SM_b20556,blr3274
SM_b20557,noHit
SM_b20558,noHit
SM_b20559,noHit
SM_b20560,noHit
SM_b20561,noHit
SM_b20562,noHit
SM_b20563,noHit
kdsB2,noHit
SM_b20804,noHit
SM_b20805,noHit
SM_b20806,noHit
SM_b20807,noHit
SM_b20808,noHit
kpsF1,blr7746
SM_b20810,noHit
SM_b20811,noHit
SM_b20812,noHit
SM_b20813,noHit
SM_b20814,noHit
SM_b20815,noHit
SM_b20816,noHit
SM_b20817,noHit
mocD,noHit
mocE,noHit
mocF,noHit
SM_b20821,noHit
rkpT2,noHit
rkpZ2,noHit
SM_b20824,noHit
SM_b20825,noHit
SM_b20826,noHit
SM_b20827,noHit
SM_b20828,noHit
SM_b21663,noHit
SM_b21664,noHit
SM_b21665,noHit
SM_b20829,noHit
kpsF2,noHit
rkpR,noHit
kpsT,rfbA
kpsM,noHit
rkpZ1,noHit
SM_b20835,noHit
SM_b20836,noHit
SM_b20837,noHit
SM_b20838,noHit
SM_b20839,noHit
SM_b20840,noHit
SM_b20841,noHit
SM_b20842,noHit
algI,noHit
SM_b21013,noHit
SM_b21014,noHit
SM_b21015,noHit
SM_b21016,noHit
SM_b21017,noHit
SM_b21018,noHit
SM_b21019,noHit
SM_b21021,noHit
SM_b21022,noHit
SM_b21023,noHit
SM_b21024,noHit
SM_b21025,noHit
SM_b21026,noHit
SM_b21027,noHit
SM_b21028,noHit
SM_b21029,noHit
SM_b21030,noHit
SM_b21031,noHit
SM_b21032,noHit
SM_b21034,noHit
SM_b21035,noHit
SM_b21036,noHit
SM_b21037,noHit
SM_b21038,noHit
SM_b21039,noHit
SM_b21040,noHit
SM_b21041,noHit
pepT,pepT
SM_b21043,noHit
SM_b21044,noHit
SM_b21695,noHit
SM_b21698,noHit
exoI2,noHit
SM_b21696,noHit
SM_b21697,noHit
TRm10-1a,noHit
TRm10-1b-1,noHit
SM_b21045,noHit
TRm10-1b-2,noHit
SM_b21047,noHit
SM_b21048,noHit
SM_b21049,noHit
wzx1,noHit
SM_b21051,noHit
SM_b21052,noHit
SM_b21053,noHit
SM_b21054,noHit
SM_b21055,noHit
SM_b21056,noHit
SM_b21057,noHit
SM_b21058,noHit
SM_b21059,noHit
SM_b21060,blr5423
SM_b21061,bll5418
SM_b21062,noHit
SM_b21063,noHit
SM_b21064,noHit
SM_b21065,noHit
SM_b21066,noHit
SM_b21067,noHit
SM_b21068,noHit
SM_b21069,noHit
exoP2,noHit
SM_b21071,noHit
SM_b21072,noHit
exoF2,noHit
SM_b21074,noHit
SM_b21075,noHit
SM_b21076,bll2381
SM_b21077,noHit
SM_b21078,noHit
SM_b21079,noHit
SM_b21080,noHit
manB,bll8126
manC/manA,noHit
SM_b21083,noHit
SM_b21084,noHit
SM_b21085,noHit
SM_b21086,noHit
traA2,noHit
SM_b21088,noHit
SM_b21089,noHit
SM_b21090,noHit
lysM,noHit
SM_b21092,noHit
SM_b21093,noHit
argH2,noHit
SM_b21095,bll7205
SM_b21096,bll7204
SM_b21097,bll7203
SM_b21098,noHit
SM_b21099,noHit
SM_b21100,bll7202
SM_b21101,blr1125
SM_b21102,noHit
SM_b21103,noHit
SM_b21104,noHit
SM_b21105,bll2729
SM_b21106,noHit
manR,blr7625
SM_b21108,noHit
SM_b21109,noHit
SM_b21110,bll6394
SM_b21111,bll3914
hpaG,blr7891
SM_b21113,noHit
nrtA,bll4572
SM_b21115,bll4573
SM_b21116,noHit
SM_b21117,noHit
gntK,blr6762
SM_b21120,noHit
ivdH,acd
mccA,mccB
SM_b21123,bll4888
mccB,mccA
hmgL,hmgL
eccH2,bll0116
SM_b21127,noHit
SM_b21128,noHit
SM_b21129,blr7970
cysA2,noHit
cysP2,blr1484
SM_b21132,blr1483
SM_b21133,blr1482
SM_b21134,bll3964
SM_b21135,noHit
SM_b21136,blr8118
SM_b21137,noHit
SM_b21138,noHit
SM_b21139,noHit
SM_b21140,noHit
SM_b21216,noHit
SM_b21217,noHit
SM_b21218,noHit
SM_b21219,blr7101
SM_b21220,noHit
SM_b21221,noHit
SM_b21222,noHit
nodP2,cysD
nodQ2,nodQ
SM_b21225,bll2190
SM_b21226,noHit
SM_b21227,noHit
SM_b21228,noHit
SM_b21229,noHit
SM_b21230,noHit
SM_b21231,noHit
SM_b21232,bll5925
TRm1b,noHit
TRm1a,noHit
SM_b21235,noHit
SM_b21236,noHit
SM_b21237,noHit
SM_b21238,noHit
SM_b21239,noHit
SM_b21240,noHit
SM_b21241,noHit
SM_b21242,noHit
SM_b21243,noHit
SM_b21244,noHit
exoF3,noHit
SM_b21246,noHit
SM_b21247,noHit
SM_b21248,blr3650
SM_b21249,noHit
SM_b21250,noHit
SM_b21251,noHit
SM_b21252,noHit
SM_b21253,noHit
SM_b21254,noHit
SM_b21255,bll7778
SM_b21256,noHit
SM_b21257,noHit
SM_b21258,noHit
SM_b21259,noHit
SM_b21260,noHit
SM_b21261,noHit
SM_b21262,noHit
SM_b21263,noHit
redA,noHit
redB,noHit
SM_b21266,noHit
SM_b21267,noHit
SM_b21268,noHit
SM_b21269,noHit
SM_b21270,noHit
SM_b21271,noHit
SM_b21272,noHit
SM_b21273,noHit
SM_b21274,noHit
SM_b21275,blr3629
SM_b21277,noHit
adeC2,noHit
SM_b21279,noHit
SM_b21280,blr6250
SM_b21281,bll6141
SM_b21283,noHit
SM_b21284,bll6164
SM_b21285,noHit
xdhA1,noHit
xdhB1,noHit
xdhC,noHit
SM_b21289,noHit
SM_b21290,blr0528
SM_b21291,noHit
SM_b21292,noHit
guaD1,noHit
SM_b21294,hspF
SM_b21295,hspH
SM_b21296,noHit
pbpC,blr4439
SM_b21298,blr4438
deoR,noHit
deoC,noHit
SM_b21301,noHit
SM_b21302,bll5900
SM_b21303,noHit
SM_b21304,noHit
merA2,noHit
SM_b21144,noHit
SM_b21145,noHit
SM_b21146,blr6489
SM_b21147,noHit
SM_b21148,noHit
SM_b21149,noHit
SM_b21150,noHit
SM_b21151,noHit
SM_b21152,noHit
SM_b21153,noHit
SM_b21154,noHit
SM_b21155,noHit
SM_b21156,noHit
SM_b21157,noHit
SM_b21158,bll0307
SM_b21159,noHit
hexA,noHit
SM_b21161,noHit
SM_b21162,noHit
hutU,hutU
hutG,noHit
hutH1,hutH
hutI,hutI
SM_b21167,noHit
SM_b21168,blr7376
SM_b21169,bll7375
phnN,gmk
phnM,phnM
SM_b21172,noHit
SM_b21173,noHit
phoT,noHit
phoE,phoE
phoD,phoD
phoC,phoC
SM_b21178,noHit
SM_b21179,noHit
SM_b21180,noHit
SM_b21181,gcdH
SM_b21182,bll5459
htpG,htpG
ackA2,ackA2
gabD2,noHit
gabT,noHit
SM_b21187,bll2223
SM_b21188,noHit
SM_b21189,noHit
SM_b21190,noHit
msbA2,noHit
cbbA2,noHit
SM_b21196,noHit
SM_b21197,noHit
SM_b21198,noHit
SM_b21199,noHit
SM_b21200,noHit
SM_b21201,blr3730
SM_b21202,bll3247
SM_b21203,noHit
SM_b21666,noHit
SM_b21204,noHit
SM_b21205,bll5648
SM_b21206,blr7873
SM_b21207,blr7872
SM_b21208,noHit
SM_b21209,noHit
SM_b21210,blr4802
SM_b21211,noHit
SM_b21212,noHit
SM_b21667,noHit
pphA,prp1
orf24,noHit
orf23,noHit
wgeH,noHit
wgeG,noHit
wgeF,noHit
wgeE,noHit
wgeD,noHit
wgeC,noHit
wgeB,noHit
wgeA,noHit
wgdB,aprE
wgdA,noHit
wggR,noHit
wgcA,noHit
wgaA,noHit
wgaB,noHit
wgaD,noHit
wgaE,noHit
