SMc02793,RHE_CH00001
SMc01815,RHE_CH03278
SMc01816,RHE_CH03285
SMc01817,RHE_CH03286
cyaC,cyaCe
SMc01819,RHE_CH03289
SMc01820,amaB
dht,dht
SMc01822,RHE_CH03293
SMc01823,RHE_CH03294
SMc01824,noHit
SMc01825,RHE_CH03295
SMc01826,RHE_CH03296
SMc01827,RHE_CH03297
SMc01828,RHE_CH03298
SMc01829,RHE_CH03299
ureG,ureG
ureF,ureF
ureE,ureE
SMc01833,noHit
SMc01834,RHE_PD00217
SMc01995,noHit
SMc01836,noHit
ureC,ureC
SMc01838,RHE_CH03306
SMc02046,RHE_CH03307
ureB,ureB
SMc01940,RHE_CH03309
ureA,ureA
ureD,ureD
SMc01943,noHit
cpo,noHit
ohrR,RHE_CH03107
livK,braC2
SMc01947,RHE_CH03322
livF,braG
livG,braF
livM,braE
livH,braD
cysQ,pssB
SMc01953,RHE_CH01393
SMc01954,RHE_CH01392
SMc01955,RHE_CH03925
SMc01956,RHE_CH00623
SMc01957,noHit
TRm1b,noHit
TRm1a,noHit
SMc01960,RHE_PF00228
SMc01961,noHit
SMc01962,noHit
SMc01963,noHit
SMc01964,noHit
SMc01965,noHit
SMc01966,noHit
speB2,speB2
SMc01968,noHit
SMc01969,noHit
SMc01970,RHE_CH00622
puuC,RHE_PF00359
puuB,noHit
puuA,RHE_CH01315
SMc01974,noHit
SMc01975,RHE_PE00243
SMc01976,mdeAe
SMc01977,RHE_PE00245
SMc01978,RHE_PE00246
SMc01979,RHE_PE00247
SMc01980,RHE_PE00248
SMc01981,RHE_CH02618
coxM,coxM
coxN,coxN
coxO,coxO
coxP,coxP
SMc01986,RHE_CH02613
SMc01987,RHE_PE00084
SMc01988,noHit
SMc01989,noHit
SMc01990,noHit
SMc01991,RHE_PE00179
SMc01992,RHE_PE00268
SMc01993,noHit
SMc02016,noHit
SMc02017,noHit
SMc02018,RHE_CH02644
SMc02019,noHit
SMc02020,noHit
SMc02021,noHit
SMc02022,noHit
SMc02023,noHit
SMc02024,noHit
SMc02025,noHit
SMc02026,noHit
SMc02027,noHit
SMc02028,noHit
SMc02029,noHit
SMc02030,noHit
SMc02031,rbsCch4
SMc02032,noHit
SMc02033,noHit
SMc02034,noHit
SMc02035,noHit
SMc02036,noHit
SMc02037,RHE_PC00222
gldA,noHit
SMc02039,noHit
SMc02040,noHit
SMc02041,RHE_PE00144
pgiA1,noHit
eda1,noHit
SMc02044,noHit
SMc02045,noHit
SMc02332,noHit
SMc02460,noHit
SMc02333,noHit
SMc02334,noHit
SMc02335,noHit
kduD,noHit
SMc02452,noHit
SMc02337,noHit
SMc02338,noHit
SMc02339,noHit
SMc02340,noHit
SMc02341,noHit
tkt1,noHit
SMc02343,RHE_CH02540
SMc02344,noHit
SMc02345,noHit
SMc02346,noHit
asfB,noHit
asfA,noHit
SMc02350,noHit
SMc02351,RHE_CH00256
SMc02352,noHit
SMc02353,noHit
SMc02354,noHit
SMc02355,noHit
SMc02356,noHit
SMc02357,noHit
SMc02358,noHit
SMc02359,noHit
SMc02360,noHit
SMc02412,noHit
SMc02413,noHit
SMc02414,noHit
SMc02415,noHit
SMc02416,noHit
SMc02417,noHit
SMc02418,noHit
SMc02419,noHit
SMc02420,noHit
SMc02421,noHit
SMc02423,noHit
SMc02424,noHit
SMc02425,RHE_CH02910
SMc02426,noHit
hyuE,noHit
SMc02428,RHE_CH03115
SMc02429,noHit
TRm17,noHit
SMc02431,noHit
SMc02432,RHE_CH03752
clpB,clpB
SMc02434,RHE_CH03754
hemK1,hemK
prfA,prfA
ptsP,ptsP
lysC,lysC
SMc02439,RHE_CH00552
ubiG,ubiG
SMc02441,RHE_CH03760
SMc02442,RHE_CH03761
grxC,grxC
SMc02444,comF
SMc02445,RHE_CH03764
SMc02446,noHit
SMc02447,RHE_CH03765
mutT,mutT
SMc02449,RHE_CH03767
argJ,argJ
SMc02451,ppiD2
secA,secA
SMc00744,floR
SMc00743,RHE_CH03771
SMc00742,RHE_CH03772
acsA3,RHE_CH03773
SMc00740,noHit
SMc00739,noHit
SMc00738,RHE_CH03783
SMc00737,RHE_CH03784
SMc00736,alkA
SMc00735,gltX2
SMc00734,RHE_CH03787
SMc00733,RHE_CH03788
SMc00732,RHE_CH03789
SMc00731,RHE_CH03790
SMc00730,RHE_CH03791
etfB1,etfBf
etfA1,noHit
hbdA,hbdA
tlpA,tlpA
argH1,argH
SMc00724,noHit
lysA,lysA
SMc00722,RHE_CH03798
TRm22,RHE_PA00071
SMc00720,RHE_CH03799
hpt,hpt
SMc00718,noHit
ftsE,ftsE
ftsX,ftsX
SMc00715,RHE_CH03804
SMc00714,plsC
chaC,chaC
SMc00712,RHE_CH03807
tyrC,tyrC
hisC1,hisCch2
SMc00709,RHE_CH03811
gloB,gloB
SMc00707,RHE_CH03813
SMc00706,RHE_CH03814
SMc00705,RHE_CH03815
rpmB,rpmB
SMc00703,RHE_CH03817
SMc00702,RHE_CH03819
cobT,cobT
SMc00700,cobS
SMc00699,dnaJ3
SMc00698,noHit
SMc00697,RHE_CH03824
aroB,aroB
aroK,aroK
SMc00694,noHit
SMc00693,noHit
SMc00692,noHit
xerD,xerD
accA,accA
SMc00689,RHE_CH03829
SMc00688,RHE_CH03830
SMc00687,noHit
SMc00686,noHit
SMc00684,RHE_CH03831
SMc00683,dacF2
hipO1,hipO
lrp1,putR
SMc00680,adh
SMc00679,RHE_CH02757
SMc00678,noHit
SMc00677,noHit
SMc00676,noHit
SMc00675,RHE_CH00224
hutC,hutC
SMc00673,RHE_PE00074
hisX,noHit
hisW,noHit
hisV,noHit
hutH2,hutHe2
SMc00668,noHit
SMc00667,RHE_PE00069
SMc00666,RHE_CH00600
SMc00665,RHE_PC00013
SMc00664,noHit
SMc00663,noHit
SMc00662,noHit
SMc00661,noHit
SMc00660,noHit
trmU,trmU
SMc00658,noHit
SMc00657,RHE_CH03330
SMc00656,RHE_CH03332
SMc00655,RHE_CH03333
ctrA,ctrA
SMc00653,RHE_CH03335
chpT,RHE_CH03336
SMc00651,RHE_CH03337
SMc00650,RHE_CH03338
SMc00649,RHE_CH03339
SMc00648,RHE_CH03340
rluD,rluD
rpoH1,rpoH1
SMc00644,noHit
purA,purA
SMc00642,noHit
serA,serA
serC,serC
SMc00639,noHit
SMc00638,RHE_CH03456
glmM,RHE_CH03457
ftsH,ftsH
SMc02940,RHE_CH03459
SMc02941,RHE_CH03460
pal,omp2
tolB,tolB
tolA,tolA
tolR,tolR
tolQ,tolQ
SMc03959,RHE_PE00252
SMc03960,RHE_CH03467
sqdB,sqdB
sqdD,sqdD
sqdC,sqdC
SMc03964,RHE_CH03483
ruvB,ruvB
ruvA,ruvA
ruvC,ruvC
SMc03968,RHE_CH03476
SMc03969,RHE_CH03475
SMc03970,RHE_CH03473
mexF2,mexF2
mexE2,mexE2
SMc03973,RHE_CH03472
SMc03974,RHE_CH03471
SMc03975,RHE_PC00123
SMc03976,RHE_CH03493
SMc03977,RHE_CH03494
tkt2,tkt
gap,gap
SMc03980,noHit
pgk,pgk
TRm5,noHit
fbaB,fbaB
SMc03984,phzF
cyaF2,cyaFch2
SMc03986,RHE_CH03502
SMc03987,RHE_CH03503
SMc03988,RHE_CH03504
SMc03989,RHE_CH03505
rpmE,rpmE
SMc03991,RHE_CH03507
SMc03992,RHE_CH03512
SMc03993,RHE_CH03513
suhB,suhBch
SMc03995,RHE_CH03526
thiE2,thiEch
SMc03997,RHE_CH03528
SMc03998,RHE_CH03529
SMc03999,noHit
SMc04000,RHE_CH03530
purE,purE
purK,purK
rpmJ,RHE_CH03534
SMc04004,RHE_CH03534
pykA,pykA
SMc04006,RHE_CH03543
SMc04007,RHE_CH03544
SMc04008,RHE_CH03545
SMc04009,RHE_CH03546
SMc04010,RHE_CH03547
tacA,tacA
pepF,pepF
pabB,pabB
SMc04014,RHE_CH03551
SMc04015,RHE_PE00188
hss,hss
omp10,omp3
SMc04018,noHit
hemH,hemH
SMc04020,RHE_CH03557
SMc04021,RHE_CH03558
SMc04022,RHE_CH03560
exoN2,exoN
SMc04024,RHE_CH03562
SMc04025,RHE_CH03563
gltD,gltD
gltB,gltB
SMc04029,RHE_CH03568
SMc04030,RHE_CH03570
pip2,pipb1
SMc04032,RHE_PB00089
pip3,pipb2
SMc04034,RHE_PB00091
SMc04035,RHE_PB00092
SMc04036,RHE_PB00093
SMc04037,RHE_PB00094
TRm17N,noHit
TRm17C,noHit
ibpA,ibpA
pldB,pldB
SMc04042,RHE_CH03573
SMc04043,RHE_CH03574
SMc04044,RHE_CH03575
ilvD2,ilvDch1
SMc04046,RHE_CH00562
azu2,noHit
SMc04048,noHit
SMc04049,noHit
SMc04050,noHit
rpoE4,noHit
SMc04052,RHE_CH01175
SMc04053,RHE_CH01177
SMc04054,RHE_CH01178
SMc04055,RHE_CH02806
SMc04056,RHE_CH02805
SMc04057,RHE_CH03590
SMc04058,RHE_CH03591
SMc04059,RHE_CH03592
glgP,glgP
glgB1,glgBch
glgC,glgC
glgA1,glgA
pgm,pgm
glgX1,glgXch
nodN2,nodN
SMc03928,noHit
SMc03929,RHE_PD00107
soxG2,soxGch
soxA2,soxAch
soxD2,soxDch
soxB2,soxBch
rpsU2,rpsUch2
SMc03935,RHE_CH03608
SMc03936,RHE_CH03610
cyaG1,cyaG1
pntB,pntB
pntAb,pntA1
pntAa,pntA2
SMc03941,RHE_CH03614
SMc03942,RHE_CH03616
SMc03943,RHE_CH03620
SMc04462,RHE_CH03621
pckR,RHE_CH03622
SMc02976,RHE_CH03623
SMc02977,RHE_CH03624
SMc02978,RHE_CH03625
SMc02979,RHE_CH03626
SMc02980,RHE_CH01338
SMc02981,RHE_CH03541
SMc02982,RHE_CH03628
SMc02983,RHE_CH03629
SMc02984,RHE_CH03630
SMc02985,RHE_CH03631
SMc02986,RHE_CH03632
SMc02987,noHit
SMc02988,noHit
SMc02989,noHit
SMc03151,RHE_CH03633
SMc03152,RHE_CH03634
eda2,eda
SMc03154,RHE_CH03636
SMc03155,RHE_CH03637
SMc03156,RHE_CH03638
metQ,RHE_PB00160
metI,RHE_PB00158
metN,RHE_PB00159
SMc03160,bglSch
SMc03161,RHE_CH03642
SMc03162,RHE_CH03643
xylA,xylA
xylB,xylBch
SMc03165,RHE_CH03650
SMc03166,noHit
SMc03167,RHE_CH03651
SMc03168,RHE_CH03652
SMc03169,RHE_CH03653
SMc03170,RHE_CH03654
SMc03171,RHE_CH03655
gltX,gltX1
lysS,lysS
SMc03174,RHE_CH03658
SMc03175,iunH2
SMc03176,RHE_CH01163
SMc03177,RHE_CH01164
SMc03178,RHE_CH02277
phaA1,noHit
phaC1,noHit
phaD1,noHit
phaE1,noHit
phaF1,noHit
phaG1,noHit
SMc03185,noHit
SMc03186,RHE_CH01122
cobM,cobM
cobL,cobL
cobK,cobK
cobJ,cobJ
cobI,cobI
cobH,cobH
cobG,cobG
cobF,cobF
ung,ung
modA,modA
modB,modB
modC,modC
SMc03199,modE
SMc03200,noHit
bkdAa,bkDa1
bkdAb,bkDa2
bkdB,bkdB
lpdA3,lpdAc
purU1,noHit
maiA,maiA
SMc03207,RHE_CH01747
hmgA,hmgA
SMc03209,noHit
SMc03210,RHE_CH01744
SMc03211,RHE_CH01745
SMc03150,RHE_CH00066
SMc03149,noHit
SMc03148,noHit
SMc03147,noHit
SMc03146,noHit
SMc03145,noHit
SMc03144,noHit
SMc03143,RHE_PE00106
SMc03142,noHit
SMc03141,noHit
SMc03140,noHit
SMc03139,noHit
SMc03138,noHit
SMc03137,noHit
SMc03136,noHit
SMc03135,noHit
SMc03134,noHit
SMc03133,RHE_PF00191
SMc03132,noHit
SMc03131,RHE_PF00192
SMc03130,noHit
SMc03129,glpQ
SMc03128,noHit
SMc03127,noHit
SMc03126,noHit
SMc03125,oppD
SMc03124,noHit
SMc03123,RHE_CH02754
SMc03122,RHE_PE00273
SMc03121,RHE_PE00275
SMc03120,RHE_PE00276
SMc03119,RHE_PE00277
SMc03118,RHE_PE00278
SMc03117,RHE_PE00279
SMc03116,RHE_PE00280
TRm5C,noHit
TRm3,noHit
TRm5N,noHit
metH,metH
pmi,noHit
SMc03110,RHE_CH02903
mak,noHit
SMc03108,noHit
SMc03107,noHit
SMc03106,noHit
dxr,dxr
hemA,hemAch
SMc03103,noHit
SMc03102,noHit
SMc03101,noHit
SMc03100,RHE_CH03847
cyaF1,noHit
SMc03098,RHE_PE00052
SMc03097,RHE_CH03848
SMc03096,noHit
SMc03095,noHit
SMc03094,RHE_CH02947
SMc03093,noHit
SMc03092,RHE_CH03850
argI1,argI
cheW3,cheW5
TRm11b,RHE_CH00520
TRm11a,RHE_PD00094
mcpY,mcpY
fdsD,fdsD
fdsC,fdsC
fdsA,fdsA
fdsB,fdsB
fdsG,fdsG
SMc02523,RHE_CH03860
SMc02522,RHE_CH03862
glpR,glpRb
glpD,glpD
SMc02519,RHE_PB00020
SMc02518,RHE_PB00021
SMc02517,RHE_PB00022
SMc02516,RHE_PB00023
SMc02515,RHE_PB00024
SMc02514,RHE_PB00025
SMc02513,noHit
SMc02512,noHit
SMc02511,RHE_CH00405
fur,fur
sitA,RHE_CH00971
sitB,RHE_CH00969
sitC,noHit
sitD,RHE_CH00970
SMc02505,noHit
SMc02504,noHit
SMc02503,RHE_CH00359
atpC,atpC
atpD,atpD
atpG,atpG
atpA,atpA
atpH,atpH
SMc02497,RHE_CH03874
priA,priA
tal,tal
SMc02494,noHit
SMc02493,noHit
SMc02492,noHit
SMc02491,noHit
SMc02490,RHE_CH03878
SMc02489,xerC
SMc02488,RHE_CH03880
lpdA2,lpdAch2
SMc02486,RHE_CH03884
SMc02485,RHE_CH03885
SMc02484,RHE_CH03883
sucB,sucB
sucA,sucA
sucD,sucD
sucC,sucC
mdh,mdh
SMc02478,RHE_CH03892
SMc02477,noHit
SMc02476,noHit
SMc02475,omp4
SMc02474,RHE_CH02056
SMc02473,RHE_CH02055
SMc02472,RHE_CH02054
SMc02471,RHE_CH02053
SMc02470,RHE_CH02052
SMc02469,RHE_CH02051
SMc02468,RHE_CH02050
msrA2,noHit
sdhB,sdhB
sdhA,sdhA
sdhD,sdhD
sdhC,sdhC
SMc03225,noHit
SMc03226,RHE_CH03899
SMc03227,RHE_CH03900
SMc03228,RHE_CH03901
gpsA,gpsA
gcp,gcp
hemC,hemC
hemD,hemD
SMc03233,RHE_CH03906
SMc03234,RHE_CH03907
SMc03235,RHE_CH03908
SMc03236,guaA2
SMc03237,RHE_CH03910
SMc03238,RHE_CH03911
ppa,ppa
SMc03240,noHit
SMc03241,RHE_CH03914
typA,typA
SMc03243,noHit
SMc03244,noHit
SMc03245,noHit
SMc03746,noHit
SMc03747,noHit
SMc03748,noHit
TRm11b,RHE_CH00520
TRm11a,RHE_PD00094
SMc03246,noHit
SMc03247,noHit
SMc03248,noHit
SMc03249,noHit
SMc03751,noHit
SMc03250,noHit
SMc03251,noHit
proB2,noHit
SMc03253,noHit
fixT3,noHit
SMc03256,noHit
TRm18,noHit
SMc03258,noHit
SMc03259,RHE_PC00042
TRm17,noHit
SMc03262,noHit
SMc03263,noHit
SMc03264,noHit
SMc03265,RHE_CH00451
SMc03267,noHit
SMc03268,RHE_PE00345
SMc03269,noHit
SMc03754,RHE_PE00341
SMc03272,noHit
SMc03277,noHit
TRm28.1,noHit
TRm28.2,noHit
ISRm28.3,noHit
TRm27.2,RHE_PD00045
TRm27.1,RHE_PD00046
TRm18,noHit
SMc03284,noHit
SMc03285,noHit
SMc03286,noHit
SMc03287,noHit
SMc03288,noHit
SMc03289,noHit
SMc03290,noHit
SMc04428,noHit
SMc03293,noHit
SMc03294,noHit
TRm1a,noHit
TRm1b,noHit
SMc03297,noHit
TRm26.3,RHE_PD00101
TRm26.2,RHE_PD00100
TRm26.1,RHE_PD00099
SMc03761,noHit
SMc03762,noHit
SMc03763,RHE_PF00108
vsr,RHE_PF00110
SMc03765,noHit
SMc03766,noHit
aslB,noHit
SMc03768,noHit
SMc03769,noHit
rplU,rplU
rpmA,rpmA
SMc03773,RHE_CH04064
SMc03774,RHE_CH04065
cgtA,RHE_CH04067
proB1,proB
proA,proA
nadD,nadD
SMc03780,RHE_CH04075
SMc03781,RHE_CH04076
SMc03782,RHE_CH04077
ctpA,ctpA
SMc03784,RHE_CH04079
ialA,ialA
bfr,bfr
SMc03787,RHE_CH04082
dnaE2,dnaEch2
imuB,RHE_CH04084
SMc03790,RHE_CH04085
SMc03791,RHE_CH04086
SMc03792,RHE_CH04087
citE,citEch
SMc03794,RHE_CH04089
leuD,leuD
SMc03796,noHit
metA,metA
galM,galM
SMc03799,noHit
SMc03800,RHE_CH03980
SMc03801,trxA2
SMc03802,lonD
SMc03803,RHE_CH03977
ubiH,RHE_CH03976
tesB,tesB
glnK,glnK
amtB,amtB
ftsK,ftsK2
SMc03809,RHE_CH03971
SMc03810,noHit
SMc03811,noHit
SMc03812,noHit
SMc03813,noHit
SMc03814,noHit
SMc03815,noHit
SMc03816,noHit
SMc03817,noHit
xthA3,xthA3
SMc03819,RHE_CH03969
SMc03820,RHE_CH03968
SMc03821,RHE_CH03967
SMc03822,RHE_CH01752
leuC,leuC
SMc03824,RHE_CH03358
SMc03825,noHit
argG,argG2
SMc03827,RHE_CH03926
SMc03828,RHE_CH03927
SMc03829,RHE_CH03928
SMc03830,RHE_CH03929
SMc03831,RHE_CH03930
SMc03832,RHE_CH03931
SMc03833,RHE_CH03933
pcbD,pcbD
ligT,ligT
SMc03836,tesA
SMc03837,RHE_CH03938
SMc03838,RHE_CH03939
SMc03839,RHE_CH03940
SMc03840,RHE_CH03941
clpP3,clpP1
SMc03842,RHE_CH01413
SMc03843,RHE_CH01412
SMc03844,RHE_CH03942
SMc03845,RHE_CH03943
acnA,acnA
ccmA,ccmA
ccmB,ccmB
ccmC,ccmC
ccmD,cycX
ccmG,cycY
SMc03852,RHE_CH03951
ispZ,ispZ
ftsY,ftsY
SMc03855,RHE_CH03954
dapF,dapF
ffh,ffh
pheAa,tyrA
rpsP,rpsP
rimM,rimM
trmD,trmD
SMc03862,noHit
rplS,rplS
SMc03864,RHE_CH03963
SMc03865,RHE_CH03964
SMc03866,RHE_CH04031
SMc03867,RHE_CH04030
SMc03868,RHE_PE00334
thiB,noHit
thiP,noHit
thiQ,noHit
SMc03872,RHE_CH04027
rpoH2,rpoH2
SMc03874,RHE_CH04025
SMc03875,fdxA
SMc03876,RHE_CH04023
SMc03877,mgpS
phbB,phbB
phbA,phbAch
SMc03880,aniA
rpmF,rpmF
gst8,RHE_CH04014
mtgA,mtgA
ispA,ispA
hisC2,hisCch3
TRm21,RHE_PD00041
SMc03887,noHit
ispG,gcpE
SMc03889,RHE_CH04008
SMc03890,RHE_CH04007
SMc03891,RHE_CH04006
TRm21,RHE_PD00041
SMc03893,RHE_CH04005
SMc03894,RHE_CH04004
pyc,pyc
SMc03896,RHE_CH04001
TRm1b,noHit
TRm1a,noHit
SMc03899,noHit
ndvA,ndvA
SMc03901,noHit
opgC,RHE_CH03998
ndvB,ndvB
SMc04882,RHE_CH04052
SMc04383,RHE_CH04053
SMc04384,noHit
SMc04385,RHE_CH04055
aatB,noHit
SMc04387,RHE_PF00433
SMc04388,RHE_PF00434
ttuD1,noHit
SMc04390,RHE_CH01728
SMc04391,noHit
SMc04392,RHE_CH01727
SMc04393,RHE_CH01726
SMc04394,RHE_CH01725
SMc04395,RHE_CH01724
SMc04396,RHE_CH01723
SMc04397,RHE_CH01722
SMc04398,RHE_CH01721
SMc04399,RHE_CH01720
afr,noHit
SMc04401,RHE_CH01719
SMc04402,noHit
dcp,dcp
SMc04404,RHE_CH03918
leuB,leuB
SMc04406,RHE_CH04094
SMc04407,RHE_CH04095
SMc04881,noHit
SMc04408,noHit
SMc04409,noHit
asd,asd
SMc04411,RHE_CH04101
cynT,cynT
pdxK,noHit
SMc04085,RHE_CH04105
SMc04087,RHE_CH04106
purH,purH
SMc04089,RHE_CH04108
sun,RHE_CH04109
htpX,htpX2
SMc04092,RHE_CH04111
acsA1,acsA2
SMc04094,RHE_CH04113
SMc04095,RHE_CH04114
SMc02812,RHE_CH04115
leuS,leuS
SMc02803,RHE_CH04117
SMc02802,RHE_CH04118
parB,parB
parA,parA2
gidB,gidB
gidA,gidA2
thdF,thdF
rho,rho
SMc02795,RHE_CH04125
hemE,hemE
lacE,RHE_PB00150
lacF,RHE_PB00149
lacG,noHit
lacZ1,lacZ2
lacK1,RHE_PB00147
SM_b20003,RHE_PF00430
gstR,noHit
gst15,gstA
SM_b20006,RHE_CH01279
katC,noHit
SM_b20008,noHit
SM_b20009,noHit
SM_b20010,noHit
SM_b20011,noHit
SM_b20012,noHit
SM_b20013,noHit
SM_b20014,noHit
SM_b20015,rbsCch3
SM_b20016,noHit
SM_b20017,noHit
SM_b20018,RHE_PC00171
sucB,noHit
pdh,noHit
SM_b20021,noHit
SM_b20022,RHE_CH02612
SM_b20023,RHE_PE00300
SM_b20024,RHE_CH03406
SM_b20025,RHE_CH03432
SM_b20026,RHE_CH03431
SM_b20027,RHE_CH03430
SM_b20028,noHit
SM_b20029,noHit
rpoE9,RHE_PE00294
SM_b20031,noHit
SM_b20032,noHit
SM_b20033,RHE_PC00210
SM_b20034,RHE_PC00211
SM_b20035,RHE_PC00212
SM_b20036,RHE_PC00213
aroE2,aroEc
SM_b20038,noHit
SM_b20039,RHE_CH02666
SM_b20040,RHE_CH02665
SM_b20041,RHE_PF00082
SM_b20042,RHE_PE00001
SM_b20043,noHit
repC1,noHit
repB1,repBf2
repA1,repAf2
SM_b20047,noHit
SM_b20048,RHE_PE00075
fusA2,fusA1
SM_b20050,noHit
cpo,noHit
SM_b20055,noHit
btuF,RHE_PF00269
btuC,RHE_PF00270
btuD,RHE_PF00271
SM_b20059,noHit
TRm5,noHit
SM_b20061,noHit
SM_b20062,noHit
SM_b20063,noHit
SM_b20064,noHit
SM_b20065,noHit
SM_b20066,noHit
SM_b20067,noHit
SM_b20068,noHit
SM_b20069,noHit
SM_b20070,noHit
SM_b20071,noHit
SM_b20072,noHit
SM_b20073,RHE_PE00299
SM_b20074,noHit
SM_b20075,noHit
SM_b20076,RHE_CH02674
SM_b20077,noHit
SM_b20078,noHit
SM_b20079,noHit
SM_b20080,RHE_PB00045
SM_b20081,RHE_PB00047
SM_b20082,RHE_PB00048
SM_b20083,noHit
SM_b20084,noHit
SM_b20085,noHit
SM_b20086,noHit
SM_b20087,noHit
SM_b20088,RHE_PB00041
SM_b20089,RHE_PF00266
SM_b20090,noHit
SM_b20091,RHE_PF00058
SM_b20092,RHE_PF00249
SM_b20093,RHE_PF00248
SM_b20094,RHE_PF00247
SM_b20095,noHit
SM_b20096,noHit
SM_b20097,noHit
SM_b20098,noHit
SM_b20099,RHE_CH02260
SM_b20100,noHit
SM_b20101,noHit
acoR,noHit
SM_b20103,noHit
SM_b20104,noHit
SM_b20105,noHit
SM_b20106,noHit
SM_b20107,noHit
SM_b20108,noHit
SM_b20109,noHit
SM_b20110,noHit
SM_b20111,noHit
SM_b20112,noHit
SM_b20113,noHit
SM_b20114,RHE_PC00045
ilvD4,ilvDc
SM_b20116,RHE_CH01242
SM_b20117,noHit
SM_b20118,noHit
SM_b20119,noHit
SM_b20121,noHit
SM_b20122,noHit
SM_b20123,noHit
SM_b20124,noHit
SM_b20125,noHit
SM_b20126,noHit
SM_b20127,noHit
SM_b20128,noHit
SM_b20129,RHE_PF00163
SM_b20130,noHit
SM_b20131,noHit
SM_b20132,noHit
SM_b20133,noHit
SM_b20134,noHit
SM_b20135,noHit
SM_b20136,noHit
SM_b20137,noHit
SM_b20138,noHit
SM_b20139,noHit
dapA2,noHit
SM_b20141,noHit
SM_b20142,noHit
SM_b20143,noHit
SM_b20144,noHit
SM_b20145,RHE_PB00030
pdxA2,pdxAb
SM_b20147,RHE_PB00029
SM_b20148,RHE_PB00038
SM_b20149,RHE_PB00037
SM_b20150,RHE_PB00133
SM_b20151,noHit
SM_b20152,noHit
SM_b20153,noHit
SM_b20154,RHE_PB00134
SM_b20155,noHit
SM_b20156,noHit
SM_b20157,noHit
SM_b20158,noHit
SM_b20159,noHit
SM_b20160,noHit
SM_b20161,noHit
SM_b20162,noHit
SM_b20163,noHit
SM_b20164,noHit
SM_b20165,noHit
SM_b20166,noHit
SM_b20167,noHit
SM_b20168,noHit
SM_b20169,noHit
fdh,noHit
SM_b20171,noHit
SM_b20172,noHit
SM_b20173,noHit
SM_b20174,noHit
SM_b20175,noHit
SM_b20176,noHit
SM_b20177,noHit
SM_b20178,noHit
SM_b20179,noHit
SM_b20180,noHit
SM_b20181,noHit
SM_b20182,noHit
SM_b20183,noHit
SM_b20184,noHit
SM_b20185,noHit
SM_b20186,RHE_PF00400
SM_b20194,noHit
ppe,noHit
cbbX,noHit
cbbS,noHit
cbbL,noHit
cbbA,noHit
cbbT,noHit
cbbP,noHit
cbbF,noHit
cbbR,noHit
pqqA,noHit
pqqB,noHit
pqqC,noHit
pqqD,noHit
pqqE,noHit
SM_b20209,RHE_PE00135
SM_b20210,RHE_PF00540
SM_b20211,gstR
SM_b20212,RHE_PF00538
SM_b20213,RHE_CH02415
SM_b20214,noHit
SM_b20215,RHE_CH03283
SM_b20216,RHE_CH02414
SM_b20217,RHE_CH02689
SM_b20218,RHE_CH02412
SM_b20219,RHE_CH02413
SM_b20221,RHE_PF00546
SM_b20222,RHE_CH02663
smc22-1,noHit
SM_b20226,noHit
ndiA-1,ndiA1
ndiA-2,ndiA2
ndiB,ndiA3
smc22-r,noHit
SM_b20231,noHit
SM_b20232,noHit
SM_b20233,RHE_PF00301
SM_b20234,noHit
SM_b20235,noHit
SM_b20236,noHit
SM_b20238,RHE_PB00059
rmlB,rmlB
SM_b20240,RHE_PB00057
SM_b20241,RHE_PB00056
SM_b20242,RHE_PB00055
SM_b20243,RHE_PB00054
tyv,noHit
SM_b20245,RHE_PB00052
SM_b20246,RHE_PB00051
SM_b20247,RHE_PB00050
SM_b20248,RHE_CH02738
SM_b20249,RHE_CH02739
SM_b20250,RHE_CH02740
SM_b20251,RHE_CH02741
SM_b20252,RHE_CH02742
SM_b20253,RHE_CH02743
SM_b20254,noHit
SM_b20255,RHE_PF00138
SM_b20256,RHE_CH02687
cyaM,RHE_CH02684
SM_b20258,RHE_PC00043
SM_b20259,noHit
SM_b20260,RHE_CH01706
SM_b20261,noHit
SM_b20262,RHE_PF00534
SM_b20263,noHit
SM_b20264,noHit
SM_b20265,noHit
SM_b20266,noHit
SM_b20267,noHit
SM_b20268,RHE_PF00391
SM_b20269,noHit
SM_b20270,RHE_CH00452
SM_b20271,noHit
SM_b20272,RHE_PE00206
SM_b20273,noHit
SM_b20274,noHit
SM_b20275,noHit
SM_b20276,noHit
SM_b20277,noHit
SM_b20278,RHE_PE00223
SM_b20279,RHE_PE00224
SM_b20280,RHE_PE00226
SM_b20281,noHit
SM_b20282,noHit
SM_b20283,noHit
SM_b20284,noHit
SM_b20285,RHE_PE00225
SM_b20286,noHit
SM_b20287,noHit
SM_b20288,noHit
SM_b20289,noHit
SM_b20290,noHit
SM_b20291,noHit
SM_b20292,noHit
SM_b20293,noHit
SM_b20294,noHit
SM_b20295,noHit
SM_b20296,noHit
SM_b20297,noHit
SM_b20298,RHE_CH00603
nanA,noHit
cyaF7,noHit
SM_b20301,noHit
SM_b20302,noHit
SM_b20303,noHit
TRm2011-2C,noHit
TRm2011-2,noHit
TRm2011-2N,noHit
SM_b20307,RHE_PF00030
SM_b20312,noHit
SM_b20313,noHit
SM_b20314,noHit
SM_b20315,noHit
SM_b20316,noHit
SM_b20317,noHit
SM_b20318,noHit
SM_b20319,RHE_CH03721
SM_b20320,noHit
SM_b20321,noHit
SM_b20322,noHit
