Locus,Rhizobium_etli_CFN_42,Brucella_abortus_C68,Ensifer_adhaerens_OV14,Bradyrhizobium_diazoefficiens_USDA_110,Sinorhizobium_fredii_NGR234,Sinorhizobium_meliloti_Rm1021,Liberibacter_crescens_BT-0,Sinorhizobium_medicae_WSM419,Rhizobium_leguminosarum_bv_viciae_3841,Agrobacterium_fabrum_C58,Mesorhizobium_loti_MAFF303099,Locus,,,,,SMc02793,SMc02793
ruvA,ruvA,ruvA,ruvA,ruvA,ruvA,ruvA,RL73_01885,Smed_2638,ruvA,ruvA,mll3898,SMc03966,,,,,tolR,SMc03957
ruvC,ruvC,ruvC,ruvC,ruvC,ruvC,ruvC,RL73_01880,Smed_2639,ruvC,ruvC,mll3901,SMc03967,,,,,tolQ,SMc03958
SMc03968,RHE_CH03476,DK53_1077,OV14_0232,bll1244,NGR_c27940,SMc03968,noHit,Smed_2640,RL3984,Atu3726,noHit,SMc03968,,,,,SMc03959,SMc03959
SMc03969,RHE_CH03475,DK53_1663,OV14_0234,blr1534,NGR_c27950,SMc03969,RL73_06190,Smed_2641,RL3983,Atu3727,mll3945,SMc03969,,,,,SMc03960,SMc03960
SMc03970,RHE_CH03473,noHit,OV14_0236,blr7935,NGR_c27960,SMc03970,noHit,Smed_2642,RL3981,Atu3729,noHit,SMc03970,,,,,sqdB,SMc03961
mexF2,mexF2,noHit,mexF,blr0997,mexF,mexF2,noHit,Smed_2643,RL3787,noHit,mlr3285,SMc03971,,,,,sqdD,SMc04081
mexE2,mexE2,noHit,OV14_0238,blr0996,NGR_c27980,mexE2,noHit,Smed_2644,RL3786,noHit,mlr3284,SMc03972,,,,,sqdC,SMc03963
SMc03973,RHE_CH03472,DK53_1668,OV14_0240,blr1528,NGR_c27990,SMc03973,RL73_06185,Smed_2645,RL3980,Atu3730,mll3953,SMc03973,,,,,SMc03964,SMc03964
SMc03974,RHE_CH03471,DK53_1669,OV14_0241,blr1527,NGR_c28000,SMc03974,RL73_06180,Smed_2646,RL3979,Atu3731,mll3954,SMc03974,,,,,ruvB,SMc03965
SMc03975,RHE_PC00123,noHit,OV14_0244,noHit,NGR_c28020,SMc03975,noHit,Smed_2647,pRL100372,noHit,mll3515,SMc03975,,,,,ruvA,SMc03966
SMc03976,RHE_CH03493,DK53_1670,OV14_0245,blr1526,NGR_c28040,SMc03976,RL73_06175,Smed_2648,RL4004,Atu8191,mll3746,SMc03976,,,,,ruvC,SMc03967
SMc03977,RHE_CH03494,DK53_1671,OV14_0246,bsr1525,NGR_c28050,SMc03977,RL73_06170,Smed_2649,RL4005,Atu8192,msl3747,SMc03977,,,,,SMc03968,SMc03968
tkt2,tkt,tkt,OV14_0247,tktA,NGR_c28060,tkt2,RL73_06165,Smed_2650,cbbT,tktA,mlr3749,SMc03978,,,,,SMc03969,SMc03969
gap,gap,gap,OV14_0248,gapA,NGR_c28070,gap,gapA,Smed_2651,gap,gapA,mlr3750,SMc03979,,,,,SMc03970,SMc03970
SMc03980,noHit,noHit,OV14_0249,noHit,NGR_c28080,SMc03980,noHit,Smed_2652,noHit,Atu5439,mlr0268,SMc03980,,,,,mexF2,SMc03971
pgk,pgk,DK53_1674,OV14_0250,pgk,NGR_c28090,pgk,pgk,Smed_2653,pgk,pgk,mlr3753,SMc03981,,,,,mexE2,SMc03972
TRm5,noHit,noHit,OV14_a0735,bll2163,noHit,TRm5,noHit,noHit,noHit,noHit,noHit,SMc01240,,,,,SMc03973,SMc03973
fbaB,fbaB,noHit,fbaB,bll1520,fbaB,fbaB,RL73_06150,Smed_2654,RL4012,Atu3740,mlr3754,SMc03983,,,,,SMc03974,SMc03974
SMc03984,phzF,noHit,OV14_0252,bll5643,NGR_c28110,SMc03984,noHit,Smed_2655,RL4013,noHit,noHit,SMc03984,,,,,SMc03975,SMc03975
cyaF2,cyaFch2,noHit,cyaF,noHit,cyaF,cyaF2,noHit,Smed_2656,cyaA3,noHit,noHit,SMc03985,,,,,SMc03976,SMc03976
SMc03986,RHE_CH03502,DK53_1675,noHit,noHit,NGR_c28130,SMc03986,noHit,Smed_2657,noHit,noHit,noHit,SMc03986,,,,,SMc03977,SMc03977
SMc03987,RHE_CH03503,noHit,OV14_0262,noHit,NGR_c28140,SMc03987,noHit,Smed_2658,RL4014,Atu3741,mlr3769,SMc03987,,,,,tkt2,SMc03978
SMc03988,RHE_CH03504,DK53_1683,OV14_0263,bsr1504,NGR_c28150,SMc03988,noHit,Smed_2659,RL4015,noHit,msr3768,SMc03988,,,,,gap,SMc03979
SMc03989,RHE_CH03505,DK53_1653,OV14_0264,blr1506,NGR_c28160,SMc03989,RL73_06145,Smed_2660,RL4016,Atu3742,mll3903,SMc03989,,,,,SMc03980,SMc03980
rpmE,rpmE,rpmE,OV14_0265,rpmE,NGR_c28170,rpmE,RL73_02370,Smed_2661,rpmE,rpmE,msr3935,SMc03990,,,,,pgk,SMc03981
SMc03991,RHE_CH03507,DK53_1661,OV14_0266,blr1508,NGR_c28180,SMc03991,RL73_02375,Smed_2662,RL4018,Atu3744,mll3934,SMc03991,,,,,TRm5,SMc03982
SMc03992,RHE_CH03512,DK53_1660,OV14_0269,motB,NGR_c28210,SMc03992,RL73_04335,Smed_2663,RL4023,motB,mlr3926,SMc03992,,,,,fbaB,SMc03983
SMc03993,RHE_CH03513,DK53_1659,OV14_0270,bll1511,NGR_c28220,SMc03993,RL73_04340,Smed_2664,RL4024,Atu3747,mlr3925,SMc03993,,,,,SMc03984,SMc03984
suhB,suhBch,suhB,suhB,suhB,suhB,suhB,RL73_04345,Smed_2665,suhB,suhB,mlr3921,SMc03994,,,,,cyaF2,SMc03985
SMc03995,RHE_CH03526,DK53_1656,OV14_0272,bll1518,NGR_c28240,SMc03995,noHit,Smed_2666,RL4039,enhC,mlr3914,SMc03995,,,,,SMc03986,SMc03986
thiE2,thiEch,DK53_1655,thiE,bll1519,thiE,thiE2,noHit,Smed_2667,thiE2,thiE,mlr3913,SMc03996,,,,,SMc03987,SMc03987
SMc03997,RHE_CH03528,DK53_2549,OV14_0274,noHit,NGR_c28260,SMc03997,noHit,Smed_2668,RL4041,Atu3751,mll3907,SMc03997,,,,,SMc03988,SMc03988
SMc03998,RHE_CH03529,noHit,OV14_0275,noHit,NGR_c28270,SMc03998,noHit,Smed_2669,RL4042,noHit,msr3770,SMc03998,,,,,SMc03989,SMc03989
SMc03999,noHit,DK53_1686,OV14_0276,bsl7109,NGR_c28280,SMc03999,noHit,Smed_2670,noHit,Atu3752,msl3793,SMc03999,,,,,rpmE,SMc03990
SMc04000,RHE_CH03530,DK53_1687,OV14_0277,bsr7110,NGR_c28290,SMc04000,noHit,Smed_2671,RL4043,Atu3753,msr3794,SMc04000,,,,,SMc03991,SMc03991
purE,purE,purE,OV14_0278,purE,NGR_c28300,purE,purE,Smed_2672,purE,purE,mlr3809,SMc04001,,,,,SMc03992,SMc03992
purK,purK,purK,purK,purK,purK,purK,RL73_04360,Smed_2673,purK,purK,mlr3811,SMc04002,,,,,SMc03993,SMc03993
rpmJ,RHE_CH03534,rpmJ,OV14_0280,rpmJ,NGR_c28320,rpmJ,RL73_04365,Smed_2674,noHit,rpmJ,msr3814,SMc04003,,,,,suhB,SMc03994
SMc04004,RHE_CH03534,DK53_1691,OV14_0281,bll7547,NGR_c28330,SMc04004,noHit,Smed_2675,RL4046,Atu3757,mlr3815,SMc04004,,,,,SMc03995,SMc03995
pykA,pykA,pyk,OV14_0285,pykA,NGR_c28350,pykA,RL73_00815,Smed_2676,ttuE,pykA,mll3819,SMc04005,,,,,thiE2,SMc03996
SMc04006,RHE_CH03543,DK53_1693,OV14_0286,blr7137,NGR_c28360,SMc04006,RL73_00810,Smed_2677,RL4061,Atu3761,mll3821,SMc04006,,,,,SMc03997,SMc03997
SMc04007,RHE_CH03544,DK53_1694,OV14_0287,noHit,NGR_c28370,SMc04007,noHit,Smed_2678,RL4062,Atu3760,mlr3822,SMc04007,,,,,SMc03998,SMc03998
SMc04008,RHE_CH03545,noHit,OV14_0288,bll7136,NGR_c28380,SMc04008,noHit,Smed_2679,RL4063,Atu3759,mlr3823,SMc04008,,,,,SMc03999,SMc03999
SMc04009,RHE_CH03546,DK53_1695,OV14_0289,bsl7135,NGR_c28390,SMc04009,RL73_03060,Smed_2680,RL4065,Atu3758,mll3968,SMc04009,,,,,SMc04000,SMc04000
SMc04010,RHE_CH03547,noHit,OV14_0290,noHit,NGR_c28400,SMc04010,RL73_03045,Smed_2682,RL4066,Atu3763,mll2999,SMc04010,,,,,purE,SMc04001
tacA,tacA,DK53_3052,OV14_0291,blr7130,NGR_c28410,tacA,RL73_03040,Smed_2683,RL4067,Atu3764,mll3001,SMc04011,,,,,purK,SMc04002
pepF,pepF,DK53_3053,OV14_0292,pepF,NGR_c28420,pepF,RL73_03035,Smed_2684,RL4068,pepF,mlr3002,SMc04012,,,,,rpmJ,SMc04003
pabB,pabB,pabB,OV14_0293,noHit,NGR_c28430,pabB,RL73_03030,Smed_2685,pabB,pabB,mlr3005,SMc04013,,,,,SMc04004,SMc04004
SMc04014,RHE_CH03551,DK53_3055,OV14_0294,noHit,NGR_c28440,SMc04014,noHit,Smed_2686,noHit,Atu3766,mlr3007,SMc04014,,,,,pykA,SMc04005
SMc04015,RHE_PE00188,noHit,OV14_0295,noHit,NGR_c28450,SMc04015,noHit,Smed_2687,pRL110269,Atu3767,noHit,SMc04015,,,,,SMc04006,SMc04006
hss,hss,hss,OV14_0297,blr7762,NGR_c28470,hss,noHit,Smed_2688,hss,Atu3768,mlr3014,SMc04016,,,,,SMc04007,SMc04007
omp10,omp3,omp10,OV14_0298,noHit,NGR_c28480,omp10,noHit,Smed_2689,RL4074,Atu3769,mlr3016,SMc04017,,,,,SMc04008,SMc04008
SMc04018,noHit,noHit,OV14_0300,noHit,NGR_c28490,SMc04018,noHit,Smed_2690,RL4075,Atu3770,noHit,SMc04018,,,,,SMc04009,SMc04009
hemH,hemH,hemH,hemH,hemH,hemH,hemH,hemH,Smed_2691,hemH,hemH,mlr3019,SMc04019,,,,,SMc04010,SMc04010
SMc04020,RHE_CH03557,qmcA,OV14_0302,bll7750,NGR_c28600,SMc04020,noHit,Smed_2704,RL4077,Atu3772,mlr3021,SMc04020,,,,,tacA,SMc04011
SMc04021,RHE_CH03558,DK53_3060,OV14_0303,bll7749,NGR_c28610,SMc04021,noHit,Smed_2705,RL4078,Atu3773,mlr3022,SMc04021,,,,,pepF,SMc04012
SMc04022,RHE_CH03560,DK53_3062,OV14_0304,noHit,NGR_c28630,SMc04022,noHit,Smed_2706,RL4080,Atu3777,mlr3024,SMc04022,,,,,pabB,SMc04013
exoN2,exoN,galU,exoN,exoN,exoN,exoN2,RL73_01250,Smed_2707,exoN,galU,mll3025,SMc04023,,,,,SMc04014,SMc04014
SMc04024,RHE_CH03562,DK53_3064,OV14_0306,bll1498,NGR_c28660,SMc04024,noHit,Smed_2708,RL4082,mltB,mlr3027,SMc04024,,,,,SMc04015,SMc04015
SMc04025,RHE_CH03563,DK53_3077,OV14_0307,noHit,NGR_c28670,SMc04025,noHit,Smed_2709,RL4083,Atu3780,mlr3028,SMc04025,,,,,hss,SMc04016
gltD,gltD,gltD,gltD,gltD,gltD,gltD,noHit,Smed_2710,gltD,gltD,mll3029,SMc04026,,,,,omp10,SMc04017
gltB,gltB,DK53_3080,gltB1,gltB,gltB1,gltB,noHit,Smed_2711,gltB,gltB,mll3030,SMc04028,,,,,SMc04018,SMc04018
SMc04029,RHE_CH03568,psald,OV14_0311,noHit,NGR_c28700,SMc04029,noHit,Smed_2712,ltaE,ald,mlr3032,SMc04029,,,,,hemH,SMc04019
SMc04030,RHE_CH03570,DK53_1053,noHit,noHit,noHit,SMc04030,noHit,Smed_2714,RL4088,Atu3888,mlr6784,SMc04030,,,,,SMc04020,SMc04020
pip2,pipb1,noHit,noHit,noHit,noHit,pip2,noHit,noHit,pip,noHit,mll0601,SMc04031,,,,,SMc04021,SMc04021
SMc04032,RHE_PB00089,noHit,noHit,noHit,noHit,SMc04032,noHit,noHit,pRL90180,noHit,noHit,SMc04032,,,,,SMc04022,SMc04022
pip3,pipb2,noHit,noHit,noHit,noHit,pip3,noHit,noHit,pip4,noHit,noHit,SMc04033,,,,,exoN2,SMc04023
SMc04034,RHE_PB00091,noHit,OV14_b0247,noHit,noHit,SMc04034,noHit,noHit,pRL90182,noHit,noHit,SMc04034,,,,,SMc04024,SMc04024
SMc04035,RHE_PB00092,noHit,OV14_a0436,noHit,noHit,SMc04035,noHit,noHit,pRL90183,noHit,noHit,SMc04035,,,,,SMc04025,SMc04025
SMc04036,RHE_PB00093,noHit,OV14_b0249,noHit,noHit,SMc04036,noHit,noHit,pRL90184,noHit,noHit,SMc04036,,,,,gltD,SMc04026
SMc04037,RHE_PB00094,noHit,dppA,noHit,noHit,SMc04037,noHit,noHit,pRL90185,noHit,noHit,SMc04037,,,,,gltB,SMc04028
TRm17N,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,noHit,SMc04038,,,,,SMc04029,SMc04029
TRm17C,noHit,noHit,noHit,noHit,noHit,TRm17C,noHit,noHit,noHit,noHit,noHit,SMc04039,,,,,SMc04030,SMc04030
ibpA,ibpA,DK53_3082,OV14_0314,blr7740,NGR_c28710,ibpA,RL73_05995,Smed_2715,ibpA,hspL,mll3033,SMc04040,,,,,pip2,SMc04031
pldB,pldB,DK53_3084,OV14_0315,pldB,NGR_c28720,pldB,noHit,Smed_2716,RL4090,pldB,mlr3034,SMc04041,,,,,SMc04032,SMc04032
SMc04042,RHE_CH03573,hisN,OV14_0316,blr7731,NGR_c28730,SMc04042,RL73_05650,Smed_2717,RL4091,Atu3885,mll3039,SMc04042,,,,,pip3,SMc04033
SMc04043,RHE_CH03574,DK53_3086,OV14_0317,blr7730,NGR_c28750,SMc04043,noHit,Smed_2718,RL4092,Atu3884,mll3040,SMc04043,,,,,SMc04034,SMc04034
SMc04044,RHE_CH03575,DK53_3087,OV14_0318,bll7728,NGR_c28760,SMc04044,RL73_05370,Smed_2719,RL4093,Atu3883,mlr3041,SMc04044,,,,,SMc04035,SMc04035
ilvD2,ilvDch1,ilvD,ilvD1,ilvD,ilvD1,ilvD2,noHit,Smed_2723,ilvD1,ilvD,mlr5361,SMc04045,,,,,SMc04036,SMc04036
SMc04046,RHE_CH00562,DK53_1958,OV14_0331,noHit,NGR_c28830,SMc04046,noHit,Smed_2724,RL0597,Atu2404,msr3371,SMc04046,,,,,SMc04037,SMc04037
azu2,noHit,noHit,noHit,noHit,noHit,azu2,noHit,Smed_2726,noHit,noHit,noHit,SMc04047,,,,,TRm17N,SMc04038
SMc04048,noHit,noHit,noHit,noHit,noHit,SMc04048,noHit,Smed_2727,noHit,noHit,noHit,SMc04048,,,,,TRm17C,SMc04039
SMc04049,noHit,noHit,noHit,noHit,noHit,SMc04049,noHit,Smed_2728,noHit,noHit,noHit,SMc04049,,,,,ibpA,SMc04040
SMc04050,noHit,noHit,noHit,noHit,noHit,SMc04050,noHit,Smed_2729,noHit,noHit,noHit,SMc04050,,,,,pldB,SMc04041
rpoE4,noHit,noHit,noHit,noHit,noHit,rpoE4,noHit,Smed_2730,noHit,noHit,noHit,SMc04051,,,,,SMc04042,SMc04042
SMc04052,RHE_CH01175,DK53_2721,OV14_0333,noHit,NGR_c28850,SMc04052,noHit,Smed_2731,RL1303,Atu0852,mlr2509,SMc04052,,,,,SMc04043,SMc04043
SMc04053,RHE_CH01177,noHit,OV14_0335,noHit,NGR_c28860,SMc04053,noHit,Smed_2732,RL1305,Atu0854,noHit,SMc04053,,,,,SMc04044,SMc04044
SMc04054,RHE_CH01178,DK53_2720,OV14_0336,bll4537,NGR_c28870,SMc04054,noHit,Smed_2733,RL1306,Atu0855,mlr1649,SMc04054,,,,,ilvD2,SMc04045
SMc04055,RHE_CH02806,noHit,OV14_0338,blr0252,NGR_c28880,SMc04055,noHit,Smed_2734,RL3263,Atu4591,mll4082,SMc04055,,,,,SMc04046,SMc04046
SMc04056,RHE_CH02805,noHit,mocA,mocA,mocA,SMc04056,noHit,Smed_2735,mocA,Atu4590,mlr4087,SMc04056,,,,,azu2,SMc04047
SMc04057,RHE_CH03590,noHit,OV14_0342,blr2978,NGR_c28910,SMc04057,noHit,Smed_2736,RL4110,Atu3866,mll2876,SMc04057,,,,,SMc04048,SMc04048
SMc04058,RHE_CH03591,noHit,OV14_0343,blr2979,NGR_c28920,SMc04058,noHit,Smed_2737,RL4111,Atu3867,mll2875,SMc04058,,,,,SMc04049,SMc04049
SMc04059,RHE_CH03592,noHit,OV14_0344,noHit,NGR_c28930,SMc04059,noHit,Smed_2738,RL4112,Atu3868,noHit,SMc04059,,,,,SMc04050,SMc04050
glgP,glgP,noHit,OV14_0345,glgP,NGR_c28940,glgP,noHit,Smed_2739,glgP,glgP,mlr7586,SMc04460,,,,,rpoE4,SMc04051
glgB1,glgBch,noHit,glgB,glgB,glgB,glgB1,noHit,Smed_2740,glgB1,glgB,mlr7587,SMc03922,,,,,SMc04052,SMc04052
glgC,glgC,noHit,glgC,glgC,glgC,glgC,noHit,Smed_2741,glgC,glgC,mlr7588,SMc03923,,,,,SMc04053,SMc04053
glgA1,glgA,noHit,glgA,glgA,glgA,glgA1,noHit,Smed_2742,glgA,glgA,mlr7589,SMc03924,,,,,SMc04054,SMc04054
pgm,pgm,pgm,OV14_0351,noHit,NGR_c28980,pgm,RL73_03460,Smed_2743,pgm,exoC,mlr7590,SMc03925,,,,,SMc04055,SMc04055
glgX1,glgXch,noHit,OV14_0352,noHit,NGR_c28990,glgX1,noHit,Smed_2744,glgX,glgX,mlr7591,SMc03926,,,,,SMc04056,SMc04056
nodN2,nodN,DK53_2271,nodN,nodN,nodN,nodN2,noHit,Smed_2745,nodN2,nodN,mlr3097,SMc03927,,,,,SMc04057,SMc04057
SMc03928,noHit,noHit,noHit,noHit,noHit,SMc03928,noHit,Smed_2746,noHit,Atu4071,noHit,SMc03928,,,,,SMc04058,SMc04058
SMc03929,RHE_PD00107,DK53_2779,adhC3,bll7898,noHit,SMc03929,noHit,Smed_2747,pRL120506,adhC,noHit,SMc03929,,,,,SMc04059,SMc04059
soxG2,soxGch,DK53_240,soxG1,noHit,soxG1,soxG2,noHit,Smed_2749,soxG1,soxG,mll3107,SMc03930,,,,,glgP,SMc04460
soxA2,soxAch,noHit,soxA1,noHit,soxA1,soxA2,noHit,Smed_2750,soxA1,soxA,mll3108,SMc03931,,,,,glgB1,SMc03922
soxD2,soxDch,soxD,soxD1,noHit,soxD1,soxD2,noHit,Smed_2751,soxD1,soxD,msl3109,SMc03932,,,,,glgC,SMc03923
soxB2,soxBch,DK53_234,soxB1,noHit,soxB1,soxB2,noHit,Smed_2752,soxB1,soxB,mll3111,SMc03933,,,,,glgA1,SMc03924
rpsU2,rpsUch2,rpsU,OV14_0359,noHit,NGR_c29060,rpsU2,RL73_00870,Smed_2753,rpsU2,rpsU,noHit,SMc03934,,,,,pgm,SMc03925
SMc03935,RHE_CH03608,DK53_2275,OV14_0360,noHit,NGR_c29070,SMc03935,RL73_00875,Smed_2754,RL4131,Atu4063,mlr3120,SMc03935,,,,,glgX1,SMc03926
SMc03936,RHE_CH03610,noHit,OV14_0361,noHit,NGR_c29080,SMc03936,noHit,Smed_2755,RL4133,noHit,noHit,SMc03936,,,,,nodN2,SMc03927
cyaG1,cyaG1,noHit,cyaG,bll5046,cyaG,cyaG1,noHit,Smed_2756,cyaB,noHit,noHit,SMc03937,,,,,SMc03928,SMc03928
pntB,pntB,pntB,pntB,pntB,NGR_b16310,pntB,noHit,Smed_2757,pntB1,pntB,mlr5184,SMc03938,,,,,SMc03929,SMc03929
pntAb,pntA1,DK53_2267,OV14_0364,pntAB,NGR_b16320,pntAb,noHit,Smed_2758,pntAB,noHit,mlr5183,SMc03939,,,,,soxG2,SMc03930
pntAa,pntA2,DK53_2266,pntA2,pntA,pntA2,pntAa,noHit,Smed_2759,pntAA,pntA,mlr5181,SMc03950,,,,,soxA2,SMc03931
SMc03941,RHE_CH03614,DK53_2265,OV14_0367,bsl7127,NGR_c29130,SMc03941,noHit,Smed_2760,RL4137,Atu8094,noHit,SMc03941,,,,,soxD2,SMc03932
SMc03942,RHE_CH03616,DK53_2262,OV14_0369,bll7151,NGR_c29150,SMc03942,noHit,Smed_2761,RL4139,noHit,mlr5176,SMc03942,,,,,soxB2,SMc03933
SMc03943,RHE_CH03620,DK53_2260,OV14_0372,bll4958,NGR_c29160,SMc03943,noHit,Smed_2762,RL4143,Atu3369,mll5165,SMc03943,,,,,rpsU2,SMc03934
SMc04462,RHE_CH03621,DK53_2259,OV14_0373,bll0088,NGR_c29170,SMc04462,noHit,Smed_2763,RL4144,Atu4507,mlr5162,SMc04462,,,,,SMc03935,SMc03935
pckR,RHE_CH03622,DK53_2258,OV14_0374,noHit,NGR_c29180,pckR,noHit,Smed_2764,RL4145,pckR,mlr5161,SMc02975,,,,,SMc03936,SMc03936
SMc02976,RHE_CH03623,noHit,OV14_0375,noHit,NGR_c29190,SMc02976,noHit,Smed_2765,RL4146,Atu4504,mlr5157,SMc02976,,,,,cyaG1,SMc03937
SMc02977,RHE_CH03624,DK53_2255,OV14_0376,blr0092,NGR_c29200,SMc02977,RL73_06055,Smed_2766,RL4147,Atu4503,mlr1298,SMc02977,,,,,pntB,SMc03938
SMc02978,RHE_CH03625,DK53_2254,OV14_0381,bll7768,NGR_c29210,SMc02978,noHit,Smed_2767,RL4148,cobW,mll5156,SMc02978,,,,,pntAb,SMc03939
SMc02979,RHE_CH03626,DK53_2253,OV14_0382,bll7767,NGR_c29220,SMc02979,noHit,Smed_2768,RL4149,Atu4501,mll5154,SMc02979,,,,,pntAa,SMc03950
SMc02980,RHE_CH01338,noHit,OV14_0385,noHit,NGR_c29230,SMc02980,noHit,Smed_2769,RL1488,Atu3190,noHit,SMc02980,,,,,SMc03941,SMc03941
SMc02981,RHE_CH03541,noHit,OV14_0387,noHit,NGR_c29240,SMc02981,noHit,Smed_2770,RL4059,Atu3460,noHit,SMc02981,,,,,SMc03942,SMc03942
SMc02982,RHE_CH03628,noHit,OV14_0390,blr7760,NGR_c29250,SMc02982,noHit,Smed_2771,RL4155,Atu3194,mll2972,SMc02982,,,,,SMc03943,SMc03943
SMc02983,RHE_CH03629,DK53_3037,speF,speF,speF,SMc02983,RL73_04630,Smed_2772,RL4156,speF,mll2974,SMc02983,,,,,SMc04462,SMc04462
SMc02984,RHE_CH03630,DK53_3039,OV14_0393,noHit,NGR_c29280,SMc02984,noHit,Smed_2773,RL4157,ptxR,mlr2977,SMc02984,,,,,pckR,SMc02975
SMc02985,RHE_CH03631,DK53_3040,OV14_0394,noHit,NGR_c29290,SMc02985,RL73_04640,Smed_2774,RL4158,Atu4499,mlr2979,SMc02985,,,,,SMc02976,SMc02976
SMc02986,RHE_CH03632,DK53_3041,OV14_0395,bll7754,NGR_c29300,SMc02986,noHit,Smed_2775,RL4159,Atu4498,mlr2980,SMc02986,,,,,SMc02977,SMc02977
SMc02987,noHit,noHit,OV14_a0881,noHit,NGR_b02710,SMc02987,noHit,noHit,noHit,noHit,mll9357,SMc02987,,,,,SMc02978,SMc02978
SMc02988,noHit,noHit,noHit,noHit,noHit,SMc02988,noHit,noHit,noHit,noHit,noHit,SMc02988,,,,,SMc02979,SMc02979
SMc02989,noHit,DK53_3043,noHit,noHit,NGR_c29310,SMc02989,noHit,Smed_2776,noHit,Atu4497,msl2982,SMc02989,,,,,SMc02980,SMc02980
SMc03151,RHE_CH03633,DK53_3044,OV14_0398,bll6696,NGR_c29320,SMc03151,noHit,Smed_2777,RL4160,Atu4496,mll2986,SMc03151,,,,,SMc02981,SMc02981
SMc03152,RHE_CH03634,DK53_868,OV14_0399,noHit,NGR_c29330,SMc03152,noHit,Smed_2778,RL4161,Atu4495,mll2991,SMc03152,,,,,SMc02982,SMc02982
eda2,eda,eda,OV14_0400,kdgA,NGR_c29340,eda2,noHit,Smed_2779,eda,kdgA,mlr2994,SMc03153,,,,,SMc02983,SMc02983
SMc03154,RHE_CH03636,noHit,OV14_0401,noHit,NGR_c29350,SMc03154,noHit,Smed_2780,RL4163,Atu4493,mll4592,SMc03154,,,,,SMc02984,SMc02984
SMc03155,RHE_CH03637,noHit,OV14_0402,noHit,NGR_c29360,SMc03155,noHit,Smed_2781,RL4164,Atu4492,mll4591,SMc03155,,,,,SMc02985,SMc02985
SMc03156,RHE_CH03638,DK53_3048,OV14_0403,bll2403,NGR_c29370,SMc03156,noHit,Smed_2782,RL4166,Atu4491,mll2992,SMc03156,,,,,SMc02986,SMc02986
metQ,RHE_PB00160,DK53_7,OV14_0405,bll6903,NGR_c29410,metQ,RL73_05365,Smed_2783,pRL90303,Atu4489,mll4794,SMc03157,,,,,SMc02987,SMc02987
metI,RHE_PB00158,DK53_2277,metI,blr4502,metI,metI,RL73_05360,Smed_2784,pRL90301,Atu4488,mll4791,SMc03158,,,,,SMc02988,SMc02988
metN,RHE_PB00159,DK53_2278,metN,blr4501,metN,metN,RL73_05355,Smed_2785,pRL90302,Atu4487,mll4792,SMc03159,,,,,SMc02989,SMc02989
SMc03160,bglSch,noHit,OV14_0411,blr4657,NGR_c29440,SMc03160,noHit,Smed_2786,abg,bgl,noHit,SMc03160,,,,,SMc03151,SMc03151
SMc03161,RHE_CH03642,DK53_562,OV14_0412,noHit,NGR_c29450,SMc03161,noHit,Smed_2787,RL4170,Atu3234,mll3361,SMc03161,,,,,SMc03152,SMc03152
SMc03162,RHE_CH03643,DK53_561,OV14_0413,noHit,NGR_c29470,SMc03162,noHit,Smed_2788,RL4171,Atu3235,mll3362,SMc03162,,,,,eda2,SMc03153
xylA,xylA,xylA,xylA,xylA,xylA,xylA,noHit,Smed_2789,xylA,xylA,mlr5036,SMc03163,,,,,SMc03154,SMc03154
xylB,xylBch,xylB,xylB,xylB,xylB,xylB,noHit,Smed_2791,xylB,xylB,mlr5033,SMc03164,,,,,SMc03155,SMc03155
SMc03165,RHE_CH03650,DK53_565,OV14_0417,blr3394,NGR_c29500,SMc03165,noHit,Smed_2792,RL4178,Atu4481,mll7360,SMc03165,,,,,SMc03156,SMc03156
SMc03166,noHit,noHit,OV14_0419,noHit,NGR_c29510,SMc03166,noHit,noHit,noHit,noHit,mlr8178,SMc03166,,,,,metQ,SMc03157
SMc03167,RHE_CH03651,DK53_3022,OV14_0421,emrB,NGR_c29520,SMc03167,noHit,Smed_2794,RL4179,emrB,mlr4819,SMc03167,,,,,metI,SMc03158
SMc03168,RHE_CH03652,noHit,OV14_0422,blr7958,NGR_c29530,SMc03168,noHit,Smed_2795,RL4180,emrA,mlr4818,SMc03168,,,,,metN,SMc03159
SMc03169,RHE_CH03653,DK53_3019,OV14_0423,blr6623,NGR_c29540,SMc03169,noHit,Smed_2796,RL4181,Atu4477,mll4816,SMc03169,,,,,SMc03160,SMc03160
SMc03170,RHE_CH03654,noHit,OV14_0424,bll6698,NGR_c29560,SMc03170,noHit,Smed_2797,RL4182,Atu4521,mll8212,SMc03170,,,,,SMc03161,SMc03161
SMc03171,RHE_CH03655,DK53_1667,OV14_0425,bll4584,NGR_c29570,SMc03171,noHit,Smed_2798,RL4183,Atu4476,mll3952,SMc03171,,,,,SMc03162,SMc03162
gltX,gltX1,noHit,gltX1,gltX,gltX1,gltX,RL73_03315,Smed_2799,gltX,gltX,mlr0628,SMc03172,,,,,xylA,SMc03163
lysS,lysS,noHit,lysS,noHit,lysS,lysS,lysS,Smed_2800,lysS,lysS,noHit,SMc03173,,,,,xylB,SMc03164
