Locus,Sinorhizobium_meliloti_Rm1021,pSymAB
SMc00284,SMc00284,SM_b21400
SMc00285,SMc00285,SM_b20060
SMc04866,SMc04866,SMa0210
SMc00286,SMc00286,SM_b20838
SMc00287,SMc00287,noHit
SMc00288,SMc00288,noHit
SMc00289,SMc00289,noHit
SMc00290,SMc00290,noHit
SMc00291,SMc00291,noHit
SMc00292,SMc00292,noHit
SMc00293,SMc00293,noHit
SMc00294,SMc00294,noHit
SMc00295,SMc00295,noHit
SMc00296,SMc00296,noHit
SMc00297,SMc00297,noHit
SMc00298,SMc00298,SM_b21002
SMc00299,SMc00299,noHit
SMc00300,SMc00300,noHit
SMc00301,SMc00301,noHit
SMc00302,SMc00302,SMa1255
SMc00533,SMc00533,noHit
SMc00532,SMc00532,noHit
SMc00531,SMc00531,noHit
SMc00530,SMc00530,noHit
SMc00529,SMc00529,noHit
SMc00528,SMc00528,noHit
SMc00527,SMc00527,noHit
SMc00526,SMc00526,noHit
SMc00525,SMc00525,noHit
SMc00524,SMc00524,noHit
SMc00523,SMc00523,noHit
SMc00540,SMc00540,noHit
SMc00539,SMc00539,noHit
SMc00522,SMc00522,SM_b20880
SMc00521,SMc00521,noHit
SMc00520,SMc00520,noHit
SMc00519,SMc00519,noHit
SMc00518,SMc00518,noHit
SMc00517,SMc00517,noHit
SMc00516,SMc00516,noHit
SMc00515,SMc00515,noHit
SMc00514,SMc00514,noHit
SMc00513,SMc00513,noHit
SMc00512,SMc00512,noHit
SMc00511,SMc00511,SM_b20195
SMc00510,SMc00510,noHit
SMc00509,SMc00509,noHit
SMc00508,SMc00508,noHit
SMc00507,SMc00507,noHit
SMc00506,SMc00506,SMa0620
SMc00505,SMc00505,noHit
SMc00504,SMc00504,noHit
SMc00503,SMc00503,noHit
SMc00502,SMc00502,SM_b20114
SMc00501,SMc00501,noHit
SMc00500,SMc00500,SM_b20027
SMc00499,SMc00499,noHit
SMc00498,SMc00498,noHit
SMc00497,SMc00497,noHit
SMc00496,SMc00496,noHit
SMc00495,SMc00495,noHit
SMc00494,SMc00494,noHit
SMc00493,SMc00493,noHit
SMc00492,SMc00492,noHit
SMc00491,SMc00491,noHit
SMc00490,SMc00490,noHit
SMc00489,SMc00489,noHit
SMc00488,SMc00488,noHit
SMc00487,SMc00487,noHit
SMc00538,SMc00538,noHit
SMc00537,SMc00537,noHit
SMc00536,SMc00536,noHit
SMc00535,SMc00535,noHit
SMc00534,SMc00534,noHit
SMc00486,SMc00486,noHit
SMc00485,SMc00485,noHit
SMc00484,SMc00484,noHit
SMc00483,SMc00483,noHit
SMc00482,SMc00482,noHit
SMc00481,SMc00481,noHit
SMc00480,SMc00480,noHit
SMc00479,SMc00479,SM_b20457
SMc00549,SMc00549,noHit
SMc00478,SMc00478,noHit
SMc00477,SMc00477,SMa0607
SMc00476,SMc00476,noHit
SMc00475,SMc00475,noHit
SMc00760,SMc00760,noHit
SMc00473,SMc00473,noHit
SMc00472,SMc00472,noHit
SMc00471,SMc00471,noHit
SMc00470,SMc00470,noHit
SMc00469,SMc00469,noHit
SMc00468,SMc00468,noHit
SMc00467,SMc00467,noHit
SMc00466,SMc00466,noHit
SMc00548,SMc00548,noHit
SMc00465,SMc00465,noHit
SMc00463,SMc00463,noHit
SMc00462,SMc00462,noHit
SMc00194,SMc00194,noHit
SMc00193,SMc00193,noHit
SMc00192,SMc00192,noHit
SMc00191,SMc00191,noHit
SMc00190,SMc00190,noHit
SMc00189,SMc00189,noHit
SMc00188,SMc00188,noHit
SMc00187,SMc00187,noHit
SMc00186,SMc00186,SM_b20941
SMc00185,SMc00185,noHit
SMc00184,SMc00184,noHit
SMc00183,SMc00183,noHit
SMc00182,SMc00182,noHit
SMc00196,SMc00196,noHit
SMc00181,SMc00181,noHit
SMc00180,SMc00180,noHit
SMc00179,SMc00179,noHit
SMc00178,SMc00178,noHit
SMc00177,SMc00177,noHit
SMc00176,SMc00176,noHit
SMc00175,SMc00175,noHit
SMc00174,SMc00174,noHit
SMc00459,SMc00459,noHit
SMc00172,SMc00172,noHit
SMc00171,SMc00171,noHit
SMc00169,SMc00169,noHit
SMc00170,SMc00170,noHit
SMc00168,SMc00168,noHit
SMc00167,SMc00167,noHit
SMc00166,SMc00166,noHit
SMc00165,SMc00165,noHit
SMc00164,SMc00164,noHit
SMc00163,SMc00163,noHit
SMc00162,SMc00162,noHit
SMc00161,SMc00161,noHit
SMc04438,SMc04438,noHit
SMc00195,SMc00195,noHit
SMc00159,SMc00159,noHit
SMc00158,SMc00158,noHit
SMc00157,SMc00157,noHit
SMc00156,SMc00156,noHit
SMc00155,SMc00155,noHit
SMc00154,SMc00154,noHit
SMc00153,SMc00153,noHit
SMc00152,SMc00152,noHit
SMc00151,SMc00151,noHit
SMc00150,SMc00150,noHit
SMc00149,SMc00149,noHit
SMc00148,SMc00148,noHit
SMc00147,SMc00147,noHit
SMc00146,SMc00146,noHit
SMc00145,SMc00145,noHit
SMc00144,SMc00144,noHit
SMc00197,SMc00197,noHit
SMc00143,SMc00143,noHit
SMc00142,SMc00142,noHit
SMc00141,SMc00141,noHit
SMc00198,SMc00198,noHit
SMc00140,SMc00140,SM_b20706
SMc00139,SMc00139,SMa0493
SMc00138,SMc00138,SMa0492
SMc00137,SMc00137,SM_b21568
SMc00136,SMc00136,noHit
SMc00135,SMc00135,noHit
SMc00134,SMc00134,noHit
SMc00133,SMc00133,noHit
SMc00132,SMc00132,noHit
SMc00131,SMc00131,SM_b20021
SMc04210,SMc04210,noHit
SMc04211,SMc04211,SM_b21662
SMc04212,SMc04212,noHit
SMc04213,SMc04213,noHit
SMc04214,SMc04214,noHit
SMc04215,SMc04215,noHit
SMc04216,SMc04216,noHit
SMc04217,SMc04217,noHit
SMc04218,SMc04218,noHit
SMc04219,SMc04219,SMa0864
SMc04220,SMc04220,SMa1056
SMc04221,SMc04221,noHit
SMc04222,SMc04222,noHit
SMc04223,SMc04223,noHit
SMc04224,SMc04224,noHit
SMc04225,SMc04225,noHit
SMc04226,SMc04226,noHit
SMc04227,SMc04227,noHit
SMc04228,SMc04228,noHit
SMc04229,SMc04229,noHit
SMc04230,SMc04230,noHit
SMc04231,SMc04231,noHit
SMc04232,SMc04232,noHit
SMc04233,SMc04233,noHit
SMc04234,SMc04234,noHit
SMc04235,SMc04235,noHit
SMc04236,SMc04236,noHit
SMc04237,SMc04237,noHit
SMc04238,SMc04238,SM_b21470
SMc04239,SMc04239,noHit
SMc04240,SMc04240,SM_b21112
SMc04241,SMc04241,noHit
SMc04242,SMc04242,noHit
SMc04243,SMc04243,noHit
SMc04244,SMc04244,noHit
SMc04245,SMc04245,noHit
SMc04246,SMc04246,noHit
SMc04247,SMc04247,noHit
SMc04248,SMc04248,noHit
SMc04249,SMc04249,noHit
SMc04250,noHit,noHit
SMc04251,SMc04251,noHit
SMc04252,SMc04252,noHit
SMc04253,SMc04253,noHit
SMc04254,SMc04254,noHit
SMc04255,SMc04255,noHit
SMc04256,SMc04256,noHit
SMc04257,SMc04257,SMa2309
SMc04258,SMc04258,noHit
SMc04259,SMc04259,noHit
SMc04260,SMc04260,noHit
SMc04261,SMc04261,noHit
SMc04262,SMc04262,noHit
SMc04263,SMc04263,SM_b20069
SMc04264,SMc04264,noHit
SMc04265,SMc04265,noHit
SMc04266,SMc04266,noHit
SMc04268,SMc04268,noHit
SMc04270,SMc04270,noHit
SMc04273,SMc04273,noHit
SMc04275,SMc04275,noHit
SMc04277,SMc04277,noHit
SMc04278,SMc04278,noHit
SMc04279,SMc04279,noHit
SMc04281,SMc04281,noHit
SMc04282,SMc04282,noHit
SMc04284,SMc04284,noHit
SMc04285,SMc04285,noHit
SMc04286,SMc04286,noHit
SMc04288,SMc04288,noHit
SMc04290,SMc04290,noHit
SMc04293,SMc04293,SMa0104
SMc04294,SMc04294,noHit
SMc04295,SMc04295,SMa0106
SMc04297,SMc04297,noHit
SMc04301,SMc04301,noHit
SMc04302,SMc04302,noHit
SMc04303,SMc04303,noHit
SMc04304,SMc04304,noHit
SMc04305,SMc04305,noHit
SMc04306,SMc04306,noHit
SMc04307,SMc04307,noHit
SMc04308,SMc04308,noHit
SMc04309,SMc04309,noHit
SMc04310,SMc04310,noHit
SMc04311,SMc04311,noHit
SMc04439,SMc04439,SMa1466
SMc04312,SMc04312,noHit
SMc04313,SMc04313,noHit
SMc04314,SMc04314,noHit
SMc04315,SMc04315,noHit
SMc04325,SMc04325,noHit
SMc04326,SMc04326,noHit
SMc04327,SMc04327,SMa0496
SMc04328,SMc04328,noHit
SMc04329,SMc04329,noHit
SMc04330,SMc04330,SMa1478
SMc04331,SMc04331,noHit
SMc04332,SMc04332,SMc05020
SMc04333,SMc04333,noHit
SMc04334,SMc04334,noHit
SMc04335,SMc04335,noHit
SMc04336,SMc04336,noHit
SMc04337,SMc04337,noHit
SMc04339,SMc04339,noHit
SMc04340,SMc04340,noHit
SMc04342,SMc04342,noHit
SMc04345,SMc04345,noHit
SMc04347,SMc04347,noHit
SMc04451,SMc04451,noHit
SMc04161,SMc04161,noHit
SMc04162,SMc04162,noHit
SMc04163,SMc04163,noHit
SMc04164,SMc04164,noHit
SMc04165,SMc04165,noHit
SMc04166,SMc04166,noHit
SMc04167,SMc04167,noHit
SMc04168,SMc04168,noHit
SMc04169,SMc04169,SMa1476
SMc04170,SMc04170,noHit
SMc04171,SMc04171,SMa2111
SMc04172,SMc04172,noHit
SMc04173,SMc04173,noHit
SMc04174,SMc04174,noHit
SMc04175,SMc04175,noHit
SMc04176,SMc04176,noHit
SMc04177,SMc04177,noHit
SMc04178,SMc04178,noHit
SMc04179,SMc04179,SMa1916
SMc04180,SMc04180,noHit
SMc04181,SMc04181,noHit
SMc04182,SMc04182,SM_b20519
SMc04183,SMc04183,noHit
SMc04185,SMc04185,noHit
SMc04184,SMc04184,noHit
SMc04186,SMc04186,noHit
SMc04187,SMc04187,noHit
SMc04188,SMc04188,noHit
SMc04189,SMc04189,noHit
SMc04190,SMc04190,noHit
SMc04191,SMc04191,noHit
SMc04194,SMc04194,noHit
SMc04195,noHit,noHit
SMc04440,SMc04440,SMa0639
SMc04196,SMc04196,noHit
SMc04197,SMc04197,noHit
SMc04198,SMc04198,noHit
SMc04199,SMc04199,noHit
SMc04200,SMc04200,noHit
SMc04201,SMc04201,noHit
SMc04202,SMc04202,noHit
SMc04203,SMc04203,noHit
SMc04204,SMc04204,noHit
SMc04205,SMc04205,noHit
SMc04206,SMc04206,noHit
SMc04207,SMc04207,SM_b21466
SMc04208,SMc04208,SM_b21465
SMc04209,SMc04209,noHit
SMc04267,SMc04267,noHit
SMc04441,SMc04441,noHit
SMc04269,SMc04269,noHit
SMc04271,SMc04271,noHit
SMc04272,SMc04272,noHit
SMc04274,SMc04274,noHit
SMc04276,SMc04276,noHit
SMc04280,SMc04280,SMa1579
SMc04283,SMc04283,noHit
SMc04287,SMc04287,noHit
SMc04289,SMc04289,noHit
SMc04291,SMc04291,SMa1833
SMc04292,SMc04292,noHit
SMc04296,SMc04296,noHit
SMc04298,SMc04298,noHit
SMc04299,SMc04299,noHit
SMc04300,SMc04300,noHit
SMc04316,SMc04316,SMa0525
SMc04317,SMc04317,SM_b21540
SMc04318,SMc04318,SMa0126
SMc04319,SMc04319,SMa1919
SMc04320,SMc04320,noHit
SMc04321,SMc04321,noHit
SMc04322,SMc04322,noHit
SMc04323,SMc04323,noHit
SMc04324,SMc04324,noHit
SMc04338,SMc04338,noHit
SMc04341,SMc04341,noHit
SMc04343,SMc04343,noHit
SMc04344,SMc04344,noHit
SMc04346,SMc04346,noHit
SMc04348,SMc04348,noHit
SMc04350,SMc04350,noHit
SMc04351,SMc04351,noHit
SMc04352,SMc04352,noHit
SMc04357,SMc04357,noHit
SMc04359,SMc04359,noHit
SMc04360,SMc04360,noHit
SMc04361,SMc04361,noHit
SMc04362,SMc04362,noHit
SMc04363,SMc04363,noHit
SMc04452,SMc04452,noHit
SMc01403,SMc01403,noHit
SMc01404,SMc01404,noHit
SMc01493,SMc01493,noHit
SMc01405,SMc01405,noHit
SMc01488,SMc01488,noHit
SMc01406,SMc01406,SM_b20426
SMc01407,SMc01407,noHit
SMc01408,SMc01408,SM_b22020
SMc01409,SMc01409,noHit
SMc01410,SMc01410,noHit
SMc01489,SMc01489,noHit
SMc01490,SMc01490,noHit
SMc01411,SMc01411,noHit
SMc01412,SMc01412,SM_b21116
SMc01413,SMc01413,noHit
SMc01491,SMc01491,noHit
SMc01492,SMc01492,noHit
SMc01414,SMc01414,noHit
SMc01415,SMc01415,noHit
SMc01416,SMc01416,noHit
SMc01417,SMc01417,noHit
SMc01418,SMc01418,noHit
SMc01419,SMc01419,noHit
SMc01420,SMc01420,noHit
SMc01421,SMc01421,noHit
SMc01422,SMc01422,noHit
SMc01423,SMc01423,noHit
SMc01424,SMc01424,noHit
SMc01425,SMc01425,noHit
SMc01426,SMc01426,noHit
SMc01427,SMc01427,noHit
SMc01428,SMc01428,noHit
SMc01429,SMc01429,noHit
SMc01430,SMc01430,noHit
SMc01431,SMc01431,SM_b20681
SMc01432,SMc01432,noHit
SMc01433,SMc01433,noHit
SMc01434,SMc01434,noHit
SMc01435,SMc01435,noHit
SMc01494,SMc01494,noHit
SMc01437,SMc01437,noHit
SMc01438,SMc01438,noHit
SMc01439,SMc01439,noHit
SMc01440,SMc01440,noHit
SMc01441,SMc01441,noHit
SMc01442,SMc01442,noHit
SMc01443,SMc01443,noHit
SMc01444,SMc01444,noHit
SMc01445,SMc01445,noHit
SMc01446,SMc01446,noHit
SMc01447,SMc01447,noHit
SMc01448,SMc01448,noHit
SMc01449,SMc01449,noHit
SMc01450,SMc01450,noHit
SMc01451,SMc01451,noHit
SMc01452,SMc01452,noHit
SMc01453,noHit,noHit
SMc01454,SMc01454,noHit
SMc01455,SMc01455,noHit
SMc01456,SMc01456,noHit
SMc01457,SMc01457,noHit
SMc01458,SMc01458,noHit
SMc01459,SMc01459,noHit
SMc01460,SMc01460,noHit
SMc01461,SMc01461,SMa2321
SMc01462,SMc01462,noHit
SMc01463,SMc01463,noHit
SMc01464,SMc01464,noHit
SMc01465,SMc01465,noHit
SMc01466,SMc01466,SM_b20421
SMc01467,SMc01467,SMc05008
SMc01468,SMc01468,noHit
SMc01469,SMc01469,noHit
SMc01470,SMc01470,noHit
SMc01471,SMc01471,noHit
SMc01472,SMc01472,noHit
SMc04453,SMc04453,noHit
SMc01885,SMc01885,noHit
SMc01884,SMc01884,noHit
SMc01883,SMc01883,noHit
SMc01882,SMc01882,noHit
SMc01881,SMc01881,noHit
SMc01880,SMc01880,noHit
SMc01879,SMc01879,noHit
SMc01878,SMc01878,noHit
SMc01877,SMc01877,noHit
SMc01876,SMc01876,noHit
SMc01875,SMc01875,noHit
SMc01874,SMc01874,noHit
SMc01873,SMc01873,noHit
SMc01872,SMc01872,noHit
SMc01871,SMc01871,noHit
SMc01870,SMc01870,SMa0627
SMc01869,SMc01869,SM_b21486
SMc01868,SMc01868,noHit
SMc01867,SMc01867,noHit
SMc01866,SMc01866,noHit
SMc01865,SMc01865,noHit
SMc01864,SMc01864,noHit
SMc01863,SMc01863,noHit
SMc01862,SMc01862,noHit
SMc01861,SMc01861,noHit
SMc01860,SMc01860,SMa2295
SMc01859,SMc01859,noHit
SMc01858,SMc01858,noHit
SMc01857,SMc01857,noHit
SMc01856,SMc01856,noHit
SMc01855,SMc01855,noHit
SMc01854,SMc01854,noHit
SMc01853,SMc01853,noHit
SMc01852,SMc01852,noHit
SMc01851,SMc01851,noHit
SMc01850,SMc01850,noHit
SMc01849,SMc01849,noHit
SMc01848,SMc01848,noHit
SMc01847,SMc01847,noHit
SMc01846,SMc01846,SM_b21091
SMc01845,SMc01845,noHit
SMc01844,SMc01844,noHit
SMc01843,SMc01843,noHit
SMc01842,SMc01842,noHit
SMc04454,SMc04454,noHit
SMc02819,SMc02819,noHit
SMc02818,SMc02818,noHit
SMc02817,SMc02817,noHit
SMc04455,SMc04455,SMa2211
SMc01573,SMc01573,noHit
SMc01574,SMc01574,noHit
SMc01575,SMc01575,SM_b21573
SMc01576,SMc01576,noHit
SMc01579,SMc01579,noHit
SMc01582,SMc01582,SMa0263
SMc01588,SMc01588,noHit
SMc01594,SMc01594,noHit
SMc01597,SMc01597,noHit
SMc01600,SMc01600,noHit
SMc01602,SMc01602,noHit
SMc01605,SMc01605,noHit
SMc01606,SMc01606,noHit
SMc01607,SMc01607,noHit
SMc01608,SMc01608,SMa1754
SMc01609,SMc01609,noHit
SMc01610,SMc01610,SMa1749
SMc01611,SMc01611,SMa1747
SMc01612,noHit,noHit
SMc01613,SMc01613,SM_b20371
SMc01614,SMc01614,noHit
SMc01615,SMc01615,noHit
SMc01616,SMc01616,noHit
SMc01617,SMc01617,noHit
SMc01618,SMc01618,noHit
SMc01619,SMc01619,noHit
SMc01620,SMc01620,SM_b20499
SMc01621,SMc01621,SM_b20490
SMc01622,SMc01622,SMa1347
SMc01623,SMc01623,noHit
SMc01624,SMc01624,noHit
SMc01625,SMc01625,noHit
SMc01626,SMc01626,noHit
SMc01627,SMc01627,SMa1339
SMc01628,SMc01628,noHit
SMc01629,SMc01629,SM_b21021
SMc01630,SMc01630,noHit
SMc01631,SMc01631,noHit
SMc01632,SMc01632,noHit
SMc01633,SMc01633,SM_b20382
SMc01634,SMc01634,SM_b20282
SMc01635,SMc01635,noHit
SMc01636,SMc01636,noHit
SMc01637,SMc01637,noHit
SMc01638,SMc01638,noHit
SMc01639,SMc01639,SMa1400
SMc01640,SMc01640,noHit
SMc01641,SMc01641,noHit
SMc01642,SMc01642,SM_b21215
SMc01643,SMc01643,SMa1862
SMc01644,SMc01644,SMa1863
SMc01645,SMc01645,SMa1864
SMc01646,SMc01646,noHit
SMc01647,SMc01647,noHit
SMc01648,SMc01648,noHit
SMc01649,SMc01649,noHit
SMc01650,SMc01650,noHit
SMc01651,SMc01651,SM_b20683
SMc01652,SMc01652,noHit
SMc01653,SMc01653,noHit
SMc01654,SMc01654,noHit
SMc01655,SMc01655,noHit
SMc01656,SMc01656,noHit
SMc01657,SMc01657,noHit
SMc01658,SMc01658,noHit
SMc01659,SMc01659,noHit
SMc01660,SMc01660,noHit
SMc01661,SMc01661,noHit
SMc01662,SMc01662,SM_b21534
SMc01663,SMc01663,SMa1483
SMc01664,SMc01664,SMa1736
SMc01665,SMc01665,noHit
SMc01666,SMc01666,noHit
SMc01667,SMc01667,noHit
SMc01668,SMc01668,noHit
SMc01669,SMc01669,SM_b21633
SMc01670,SMc01670,noHit
SMc01671,SMc01671,noHit
SMc01540,SMc01540,noHit
SMc01541,SMc01541,noHit
SMc01542,SMc01542,noHit
SMc01543,SMc01543,noHit
SMc02813,SMc02813,noHit
SMc01545,SMc01545,SM_b22021
SMc01546,SMc01546,noHit
SMc01547,SMc01547,noHit
SMc01740,SMc01740,noHit
SMc01741,SMc01741,noHit
SMc01742,SMc01742,noHit
SMc01745,SMc01745,noHit
SMc04442,SMc04442,noHit
SMc01548,SMc01548,noHit
SMc01744,SMc01744,noHit
SMc01549,SMc01549,noHit
SMc01749,SMc01749,noHit
SMc01550,SMc01550,SM_b21013
SMc01551,SMc01551,SM_b20843
SMc01552,SMc01552,SM_b20842
SMc01553,SMc01553,SM_b22007
SMc01554,SMc01554,noHit
SMc01555,SMc01555,noHit
SMc01556,SMc01556,noHit
SMc01557,SMc01557,noHit
SMc01558,SMc01558,noHit
SMc01559,SMc01559,noHit
SMc01560,SMc01560,noHit
SMc01561,SMc01561,noHit
SMc01562,SMc01562,noHit
SMc01563,SMc01563,noHit
SMc01564,SMc01564,noHit
SMc01565,SMc01565,SMa0972
SMc01566,SMc01566,noHit
SMc01567,SMc01567,noHit
SMc01568,SMc01568,noHit
SMc01569,SMc01569,noHit
SMc01570,SMc01570,noHit
SMc01571,SMc01571,SM_b20871
SMc01572,SMc01572,noHit
SMc01577,SMc01577,noHit
SMc01578,SMc01578,noHit
SMc01580,SMc01580,noHit
SMc01581,SMc01581,noHit
SMc01583,SMc01583,SM_b20301
SMc01584,SMc01584,noHit
SMc01585,SMc01585,noHit
SMc01586,SMc01586,noHit
SMc01587,SMc01587,noHit
SMc01589,SMc01589,noHit
SMc01590,SMc01590,noHit
SMc01591,SMc01591,noHit
SMc01592,SMc01592,noHit
SMc01593,SMc01593,SM_b20219
SMc01595,SMc01595,noHit
SMc04456,SMc04456,noHit
SMc02677,SMc02677,noHit
SMc02678,SMc02678,noHit
SMc03744,SMc03744,noHit
SMc02681,SMc02681,noHit
SMc02682,SMc02682,noHit
SMc02683,SMc02683,noHit
SMc02684,SMc02684,noHit
SMc02685,SMc02685,noHit
SMc02686,SMc02686,noHit
SMc02687,SMc02687,noHit
SMc02688,SMc02688,noHit
SMc02689,SMc02689,noHit
SMc02690,SMc02690,noHit
SMc02691,SMc02691,noHit
SMc02692,SMc02692,noHit
SMc02693,SMc02693,noHit
SMc02694,SMc02694,noHit
SMc02695,SMc02695,noHit
SMc02696,SMc02696,noHit
SMc02697,SMc02697,noHit
SMc02698,SMc02698,noHit
SMc02699,SMc02699,noHit
SMc02700,SMc02700,noHit
SMc02701,SMc02701,noHit
SMc02702,SMc02702,noHit
SMc02703,SMc02703,noHit
SMc02704,SMc02704,noHit
SMc02705,SMc02705,noHit
SMc02706,SMc02706,noHit
SMc02707,SMc02707,noHit
SMc02708,SMc02708,noHit
SMc02709,SMc02709,noHit
SMc02710,SMc02710,noHit
SMc02711,SMc02711,noHit
SMc02712,SMc02712,noHit
SMc02713,SMc02713,SMa0143
SMc02714,SMc02714,noHit
SMc02715,SMc02715,noHit
SMc02716,SMc02716,noHit
SMc02717,SMc02717,noHit
SMc02718,SMc02718,noHit
SMc02719,SMc02719,noHit
SMc02720,SMc02720,noHit
SMc02721,SMc02721,noHit
SMc02722,SMc02722,noHit
SMc02723,SMc02723,noHit
SMc02724,SMc02724,noHit
SMc02725,SMc02725,noHit
SMc02726,SMc02726,noHit
SMc02727,SMc02727,noHit
SMc02728,SMc02728,noHit
SMc02729,SMc02729,noHit
SMc02730,SMc02730,noHit
SMc02731,noHit,noHit
SMc02732,SMc02732,noHit
SMc02733,SMc02733,noHit
SMc02734,SMc02734,noHit
SMc02735,SMc02735,noHit
SMc02736,SMc02736,noHit
SMc02737,SMc02737,SM_b20410
SMc02738,SMc02738,noHit
SMc02739,SMc02739,noHit
SMc04457,SMc04457,noHit
SMc01535,SMc01535,noHit
SMc01534,SMc01534,SMa1855
SMc01533,SMc01533,SMa1715
SMc01532,SMc01532,SM_b20099
SMc01531,SMc01531,noHit
SMc01530,SMc01530,noHit
SMc01529,SMc01529,noHit
SMc01528,SMc01528,noHit
SMc01527,SMc01527,noHit
SMc01526,SMc01526,noHit
SMc01525,SMc01525,noHit
SMc01524,SMc01524,noHit
SMc01523,SMc01523,noHit
SMc01522,SMc01522,noHit
SMc03949,SMc03949,noHit
SMc01521,SMc01521,SMa0981
SMc01520,SMc01520,noHit
SMc01519,SMc01519,noHit
SMc01748,SMc01748,noHit
SMc01518,SMc01518,noHit
SMc01517,SMc01517,noHit
SMc01516,SMc01516,noHit
SMc01515,SMc01515,noHit
SMc01514,SMc01514,noHit
SMc01747,SMc01747,noHit
SMc01513,SMc01513,noHit
SMc01512,SMc01512,noHit
SMc01511,SMc01511,SMa1745
SMc01510,SMc01510,SMa1741
SMc01509,SMc01509,noHit
SMc01508,SMc01508,noHit
SMc01507,SMc01507,noHit
SMc01506,SMc01506,SM_b21484
SMc01505,SMc01505,noHit
SMc01504,SMc01504,noHit
SMc01503,SMc01503,noHit
SMc01502,SMc01502,noHit
SMc01501,SMc01501,SM_b20749
SMc01500,SMc01500,noHit
SMc01499,SMc01499,noHit
SMc01498,SMc01498,noHit
SMc01497,SMc01497,noHit
SMc01496,SMc01496,noHit
SMc01495,SMc01495,noHit
SMc01814,SMc01814,noHit
SMc01815,SMc01815,noHit
SMc01816,SMc01816,noHit
SMc01817,SMc01817,SMa0039
SMc01818,SMc01818,noHit
SMc01819,SMc01819,noHit
SMc01820,SMc01820,SM_b21435
SMc01821,SMc01821,noHit
SMc01822,SMc01822,noHit
SMc01823,SMc01823,noHit
SMc01824,SMc01824,noHit
SMc01825,SMc01825,noHit
SMc01826,SMc01826,noHit
SMc01827,SMc01827,noHit
SMc01828,SMc01828,noHit
SMc01829,SMc01829,SMa0875
SMc01830,SMc01830,noHit
SMc01831,SMc01831,noHit
SMc01832,SMc01832,noHit
SMc01833,SMc01833,SMa0325
SMc01834,SMc01834,noHit
SMc01995,SMc01995,noHit
SMc01836,SMc01836,SMa2151
SMc01837,SMc01837,noHit
SMc01838,SMc01838,noHit
SMc02046,SMc02046,noHit
SMc01939,SMc01939,noHit
SMc01940,SMc01940,noHit
SMc01941,SMc01941,noHit
SMc01942,SMc01942,noHit
SMc01943,SMc01943,SMa2137
SMc01944,SMc01944,SM_b20054
SMc01945,SMc01945,SMa2020
SMc01946,SMc01946,SMa0576
SMc01947,SMc01947,noHit
SMc01948,SMc01948,noHit
SMc01949,SMc01949,noHit
SMc01950,SMc01950,noHit
SMc01951,SMc01951,noHit
SMc01952,SMc01952,SM_b21225
SMc01953,SMc01953,SMa0114
SMc01954,SMc01954,SM_b21079
SMc01955,SMc01955,noHit
SMc01956,SMc01956,noHit
SMc01957,SMc01957,noHit
SMc01994,SMc01994,SM_b21233
SMc01959,noHit,noHit
SMc01960,SMc01960,noHit
SMc01961,SMc01961,SMa0374
SMc01962,SMc01962,noHit
SMc01963,SMc01963,noHit
SMc01964,SMc01964,noHit
SMc01965,SMc01965,SM_b20363
SMc01966,SMc01966,noHit
SMc01967,SMc01967,noHit
SMc01968,SMc01968,SMa0179
SMc01969,SMc01969,noHit
SMc01970,SMc01970,noHit
SMc01971,SMc01971,noHit
SMc01972,SMc01972,SM_b21529
SMc01973,SMc01973,noHit
SMc01974,SMc01974,SMa0955
SMc01975,SMc01975,noHit
SMc01976,SMc01976,noHit
SMc01977,SMc01977,noHit
SMc01978,SMc01978,SM_b20659
SMc01979,SMc01979,SM_b20327
SMc01980,SMc01980,noHit
SMc01981,SMc01981,SM_b20172
SMc01982,SMc01982,noHit
SMc01983,SMc01983,noHit
SMc01984,SMc01984,noHit
SMc01985,SMc01985,SM_b21489
SMc01986,SMc01986,noHit
SMc01987,SMc01987,noHit
SMc01988,SMc01988,noHit
SMc01989,SMc01989,noHit
SMc01990,SMc01990,noHit
SMc01991,SMc01991,noHit
SMc01992,SMc01992,SMa0512
SMc01993,SMc01993,SM_b20819
SMc02016,SMc02016,SM_b20820
SMc02017,SMc02017,SMa2051
SMc02018,SMc02018,noHit
SMc02019,SMc02019,noHit
SMc02020,SMc02020,noHit
SMc02021,SMc02021,noHit
SMc02022,SMc02022,SMa2049
SMc02023,SMc02023,noHit
SMc02024,SMc02024,noHit
SMc02025,SMc02025,noHit
SMc02026,SMc02026,noHit
SMc02027,SMc02027,noHit
SMc02028,SMc02028,noHit
SMc02029,SMc02029,noHit
SMc02030,SMc02030,noHit
SMc02031,SMc02031,SM_b20352
SMc02032,SMc02032,noHit
SMc02033,SMc02033,noHit
SMc02034,SMc02034,SM_b20692
SMc02035,SMc02035,SMa0265
SMc02036,SMc02036,noHit
SMc02037,SMc02037,SMa0389
SMc02038,SMc02038,noHit
SMc02039,SMc02039,noHit
SMc02040,SMc02040,noHit
SMc02041,SMc02041,noHit
SMc02042,SMc02042,SM_b20857
SMc02043,SMc02043,noHit
SMc02044,SMc02044,noHit
SMc02045,SMc02045,noHit
SMc02332,SMc02332,noHit
SMc02460,SMc02460,SM_b21158
SMc02333,SMc02333,noHit
SMc02334,SMc02334,noHit
SMc02335,SMc02335,noHit
SMc02336,SMc02336,SM_b21348
